WINDOW	CHROM	CHROM_WINDOW	STRAIN	GROUP	MEAN_COVERAGE	MEDIAN_COVERAGE	GENE_COUNT
1	Supercontig_1.1	0	A10.L4C	A10.L4C	1.21	1.20	20
1	Supercontig_1.1	0	A11.L11G	A11.L11G	1.27	1.25	20
1	Supercontig_1.1	0	A12.L10B	A12.L10B	1.50	1.47	20
1	Supercontig_1.1	0	A13.L3B	A13.L3B	1.04	1.02	20
1	Supercontig_1.1	0	A14.L4E	A14.L4E	1.04	1.03	20
1	Supercontig_1.1	0	A15.L4G	A15.L4G	1.33	1.35	20
1	Supercontig_1.1	0	A16.L7C	A16.L7C	1.35	1.36	20
1	Supercontig_1.1	0	A17.L1B	A17.L1B	1.08	1.09	20
1	Supercontig_1.1	0	A18.S4H	A18.S4H	0.95	0.95	20
1	Supercontig_1.1	0	A19.S3B	A19.S3B	1.21	1.21	20
1	Supercontig_1.1	0	A2.U10A	A2.U10A	1.34	1.34	20
1	Supercontig_1.1	0	A20.S1E	A20.S1E	0.87	0.87	20
1	Supercontig_1.1	0	A21.S8A	A21.S8A	1.05	1.05	20
1	Supercontig_1.1	0	A22.UpperP	A22.UpperP	1.18	1.17	20
1	Supercontig_1.1	0	A23.LowerP	A23.LowerP	1.16	1.15	20
1	Supercontig_1.1	0	A24.SputuP	A24.SputuP	1.05	1.04	20
1	Supercontig_1.1	0	A3.U3G	A3.U3G	1.40	1.38	20
1	Supercontig_1.1	0	A4.U3B	A4.U3B	0.97	0.97	20
1	Supercontig_1.1	0	A5.U10D	A5.U10D	1.03	1.02	20
1	Supercontig_1.1	0	A6.U5C	A6.U5C	1.24	1.24	20
1	Supercontig_1.1	0	A7.U3E	A7.U3E	1.49	1.49	20
1	Supercontig_1.1	0	A8.U2E	A8.U2E	0.92	0.91	20
1	Supercontig_1.1	0	A9.L3D	A9.L3D	1.38	1.36	20
1	Supercontig_1.1	0	ATCC42720	ATCC42720	1.50	1.48	20
1	Supercontig_1.1	0	B16.1310D	B16.1310D	0.79	0.78	20
1	Supercontig_1.1	0	B17.1311G	B17.1311G	1.06	1.06	20
1	Supercontig_1.1	0	B18.1312G	B18.1312G	0.87	0.86	20
1	Supercontig_1.1	0	B19.1310A	B19.1310A	0.92	0.92	20
1	Supercontig_1.1	0	B20.1311A	B20.1311A	1.21	1.20	20
1	Supercontig_1.1	0	B21.1312A	B21.1312A	0.86	0.86	20
1	Supercontig_1.1	0	B22.134E	B22.134E	0.85	0.85	20
1	Supercontig_1.1	0	B23.133H	B23.133H	0.96	0.96	20
1	Supercontig_1.1	0	B24.133F	B24.133F	0.85	0.86	20
1	Supercontig_1.1	0	B25.135C	B25.135C	0.82	0.81	20
1	Supercontig_1.1	0	B26.131A	B26.131A	0.85	0.85	20
1	Supercontig_1.1	0	B27.136A	B27.136A	0.92	0.93	20
1	Supercontig_1.1	0	B28.13UM	B28.13UM	0.86	0.84	20
1	Supercontig_1.1	0	B29.13MM	B29.13MM	0.86	0.84	20
1	Supercontig_1.1	0	C10.9M3	C10.9M3	1.10	1.10	20
1	Supercontig_1.1	0	C11.9M41	C11.9M41	0.90	0.90	20
1	Supercontig_1.1	0	C12.9U1	C12.9U1	1.55	1.55	20
1	Supercontig_1.1	0	C13.9U2	C13.9U2	0.97	0.97	20
1	Supercontig_1.1	0	C14.9U3	C14.9U3	1.42	1.42	20
1	Supercontig_1.1	0	C15.9U4s	C15.9U4s	1.32	1.33	20
1	Supercontig_1.1	0	C30.13LM	C30.13LM	0.86	0.86	20
1	Supercontig_1.1	0	C31.13MP	C31.13MP	0.98	0.97	20
1	Supercontig_1.1	0	C4.9L1	C4.9L1	1.19	1.18	20
1	Supercontig_1.1	0	C5.9L2	C5.9L2	1.03	1.02	20
1	Supercontig_1.1	0	C6.9L3	C6.9L3	1.16	1.16	20
1	Supercontig_1.1	0	C7.9L4	C7.9L4	1.02	1.02	20
1	Supercontig_1.1	0	C8.9M1	C8.9M1	0.94	0.95	20
1	Supercontig_1.1	0	C9.9M2	C9.9M2	0.99	1.00	20
1	Supercontig_1.1	0	ctl1.AL1B	ctl1.AL1B	1.05	1.04	20
1	Supercontig_1.1	0	ctl2.AL1B	ctl2.AL1B	1.05	1.04	20
1	Supercontig_1.1	0	ctl3.C9L1	ctl3.C9L1	1.03	1.03	20
2	Supercontig_1.1	1	A10.L4C	A10.L4C	1.06	1.09	20
2	Supercontig_1.1	1	A11.L11G	A11.L11G	1.15	1.15	20
2	Supercontig_1.1	1	A12.L10B	A12.L10B	1.24	1.25	20
2	Supercontig_1.1	1	A13.L3B	A13.L3B	1.03	1.04	20
2	Supercontig_1.1	1	A14.L4E	A14.L4E	1.01	1.02	20
2	Supercontig_1.1	1	A15.L4G	A15.L4G	1.07	1.09	20
2	Supercontig_1.1	1	A16.L7C	A16.L7C	1.09	1.08	20
2	Supercontig_1.1	1	A17.L1B	A17.L1B	1.02	1.02	20
2	Supercontig_1.1	1	A18.S4H	A18.S4H	0.92	0.93	20
2	Supercontig_1.1	1	A19.S3B	A19.S3B	1.09	1.10	20
2	Supercontig_1.1	1	A2.U10A	A2.U10A	1.12	1.13	20
2	Supercontig_1.1	1	A20.S1E	A20.S1E	0.86	0.86	20
2	Supercontig_1.1	1	A21.S8A	A21.S8A	0.99	1.00	20
2	Supercontig_1.1	1	A22.UpperP	A22.UpperP	1.08	1.10	20
2	Supercontig_1.1	1	A23.LowerP	A23.LowerP	1.05	1.05	20
2	Supercontig_1.1	1	A24.SputuP	A24.SputuP	0.99	0.98	20
2	Supercontig_1.1	1	A3.U3G	A3.U3G	1.24	1.26	20
2	Supercontig_1.1	1	A4.U3B	A4.U3B	0.95	0.95	20
2	Supercontig_1.1	1	A5.U10D	A5.U10D	0.96	0.97	20
2	Supercontig_1.1	1	A6.U5C	A6.U5C	1.08	1.12	20
2	Supercontig_1.1	1	A7.U3E	A7.U3E	1.26	1.25	20
2	Supercontig_1.1	1	A8.U2E	A8.U2E	0.89	0.89	20
2	Supercontig_1.1	1	A9.L3D	A9.L3D	1.21	1.24	20
2	Supercontig_1.1	1	ATCC42720	ATCC42720	1.38	1.41	20
2	Supercontig_1.1	1	B16.1310D	B16.1310D	0.83	0.85	20
2	Supercontig_1.1	1	B17.1311G	B17.1311G	1.00	1.02	20
2	Supercontig_1.1	1	B18.1312G	B18.1312G	0.88	0.90	20
2	Supercontig_1.1	1	B19.1310A	B19.1310A	0.90	0.92	20
2	Supercontig_1.1	1	B20.1311A	B20.1311A	1.11	1.14	20
2	Supercontig_1.1	1	B21.1312A	B21.1312A	0.87	0.88	20
2	Supercontig_1.1	1	B22.134E	B22.134E	0.87	0.88	20
2	Supercontig_1.1	1	B23.133H	B23.133H	0.94	0.96	20
2	Supercontig_1.1	1	B24.133F	B24.133F	0.88	0.89	20
2	Supercontig_1.1	1	B25.135C	B25.135C	0.81	0.83	20
2	Supercontig_1.1	1	B26.131A	B26.131A	0.86	0.88	20
2	Supercontig_1.1	1	B27.136A	B27.136A	0.93	0.95	20
2	Supercontig_1.1	1	B28.13UM	B28.13UM	0.90	0.91	20
2	Supercontig_1.1	1	B29.13MM	B29.13MM	0.87	0.87	20
2	Supercontig_1.1	1	C10.9M3	C10.9M3	1.07	1.06	20
2	Supercontig_1.1	1	C11.9M41	C11.9M41	0.88	0.88	20
2	Supercontig_1.1	1	C12.9U1	C12.9U1	1.41	1.43	20
2	Supercontig_1.1	1	C13.9U2	C13.9U2	1.00	0.98	20
2	Supercontig_1.1	1	C14.9U3	C14.9U3	1.31	1.30	20
