CHROM,BIN,MEDIAN_INSERT_SIZE,GC,OBSERVATIONS
Supercontig_1.6,0,187,0.383450034698125,1441
Supercontig_1.6,1,201,0.386187465564739,726
Supercontig_1.6,2,209,0.39223156199678,621
Supercontig_1.6,3,214,0.46549001367989,731
Supercontig_1.6,4,208,0.400278422619048,672
Supercontig_1.6,5,208,0.418065836298932,562
Supercontig_1.6,6,204,0.371664821428572,560
Supercontig_1.6,7,210,0.374117884615386,520
Supercontig_1.6,8,209,0.449875826446281,484
Supercontig_1.6,9,211,0.388011525423729,590
Supercontig_1.6,10,211.5,0.409133778625954,524
Supercontig_1.6,11,210,0.354165000000001,500
Supercontig_1.6,12,207,0.382735621521336,539
Supercontig_1.6,13,211,0.370655220883535,498
Supercontig_1.6,14,203,0.370479125248509,503
Supercontig_1.6,15,207,0.408052079207922,505
Supercontig_1.6,16,207,0.392529316546763,556
Supercontig_1.6,17,210,0.368131485148515,505
Supercontig_1.6,18,200,0.39242644320298,537
Supercontig_1.6,19,183,0.446216472114138,771
Supercontig_1.6,20,202,0.445292539964477,563
Supercontig_1.6,21,208,0.381915236427322,571
Supercontig_1.6,22,214.5,0.363120318725101,502
Supercontig_1.6,23,210,0.435507933194155,479
Supercontig_1.6,24,209,0.501898454746136,453
Supercontig_1.6,25,220,0.490220042643923,469
Supercontig_1.6,26,209,0.467972009029346,443
Supercontig_1.6,27,205,0.469589575289575,518
Supercontig_1.6,28,217,0.458487321063395,489
Supercontig_1.6,29,216,0.412652878464819,469
Supercontig_1.6,30,208,0.421675938189847,453
Supercontig_1.6,31,201,0.382313218390805,522
Supercontig_1.6,32,214.5,0.382753804347827,552
Supercontig_1.6,33,215,0.349576630434783,552
Supercontig_1.6,34,213,0.469324744376278,489
Supercontig_1.6,35,214,0.47477898089172,471
Supercontig_1.6,36,210,0.400581451612903,496
Supercontig_1.6,37,215,0.384544285714286,490
Supercontig_1.6,38,211,0.452370251716247,437
Supercontig_1.6,39,215,0.43787991169978,453
Supercontig_1.6,40,206,0.391009183673469,490
Supercontig_1.6,41,210,0.402742714570859,501
Supercontig_1.6,42,213,0.436033198380568,494
Supercontig_1.6,43,209,0.460868398268399,462
Supercontig_1.6,44,211,0.459556800000001,500
Supercontig_1.6,45,214,0.404541235059761,502
Supercontig_1.6,46,208,0.390891522157997,519
Supercontig_1.6,47,208,0.425833615221988,473
Supercontig_1.6,48,208.5,0.422739473684211,494
Supercontig_1.6,49,214,0.38256160164271,487
Supercontig_1.6,50,205.5,0.423848364485982,428
Supercontig_1.6,51,213,0.4688,444
Supercontig_1.6,52,219,0.470867096774194,465
Supercontig_1.6,53,202,0.428233186813187,455
Supercontig_1.6,54,214,0.438602564102565,468
Supercontig_1.6,55,206,0.455947142857143,350
Supercontig_1.6,56,213,0.391495127118645,472
Supercontig_1.6,57,210,0.445064665127021,433
Supercontig_1.6,58,210,0.445934862385321,436
Supercontig_1.6,59,214,0.455501674641149,418
Supercontig_1.6,60,209,0.453194089834515,423
Supercontig_1.6,61,219,0.426867526881721,465
Supercontig_1.6,62,210,0.401480972515857,473
Supercontig_1.6,63,206,0.405071153846154,468
Supercontig_1.6,64,210,0.413258980044346,451
Supercontig_1.6,65,211,0.481829302325581,430
Supercontig_1.6,66,206,0.474038669950739,406
Supercontig_1.6,67,211,0.465763316582915,398
Supercontig_1.6,68,206,0.405627611940299,402
Supercontig_1.6,69,215,0.425891154791155,407
Supercontig_1.6,70,212,0.477489002557545,391
Supercontig_1.6,71,209,0.380218518518519,459
Supercontig_1.6,72,213,0.419380510440836,431
Supercontig_1.6,73,206,0.475063613231553,393
Supercontig_1.6,74,212,0.408375,484
Supercontig_1.6,75,212.5,0.407571040723982,442
Supercontig_1.6,76,211.5,0.458801404494383,356
Supercontig_1.6,77,213,0.395010024449878,409
Supercontig_1.6,78,216,0.396506680584551,479
Supercontig_1.6,79,214,0.405917006802721,441
Supercontig_1.6,80,210,0.494579395604396,364
Supercontig_1.6,81,206,0.425643707093822,437
Supercontig_1.6,82,212,0.584895290858726,361
Supercontig_1.6,83,214,0.521339106145252,358
Supercontig_1.6,84,218.5,0.420992211055277,398
Supercontig_1.6,85,215,0.415489821882952,393
Supercontig_1.6,86,208,0.370652488687783,442
Supercontig_1.6,87,195.5,0.468356976744186,430
Supercontig_1.6,88,200.5,0.361147544642857,448
Supercontig_1.6,89,213,0.49418743718593,398
Supercontig_1.6,90,206,0.419014123006834,439
Supercontig_1.6,91,205,0.469768905472637,402
Supercontig_1.6,92,204,0.431444866071429,448
Supercontig_1.6,93,216,0.458406683804627,389
Supercontig_1.6,94,212,0.431375524475524,429
Supercontig_1.6,95,211,0.397241371681416,452
Supercontig_1.6,96,210,0.372722247191012,445
