CHROM,BIN,MEDIAN_INSERT_SIZE,GC,OBSERVATIONS
Supercontig_1.1,0,272,0.339429270833332,960
Supercontig_1.1,1,280,0.379064122807017,1140
Supercontig_1.1,2,281.5,0.429743718592964,1194
Supercontig_1.1,3,290,0.440969568822553,1206
Supercontig_1.1,4,283,0.445245244444444,1125
Supercontig_1.1,5,295,0.421170688190314,1177
Supercontig_1.1,6,282,0.461689599317988,1173
Supercontig_1.1,7,283,0.438559348837209,1075
Supercontig_1.1,8,282,0.448056514788168,1251
Supercontig_1.1,9,286,0.421703238866395,1235
Supercontig_1.1,10,284,0.401410185185184,1188
Supercontig_1.1,11,288,0.425478290025147,1193
Supercontig_1.1,12,291.5,0.38987085514834,1146
Supercontig_1.1,13,291,0.409863960749329,1121
Supercontig_1.1,14,294,0.391222957867582,1163
Supercontig_1.1,15,292,0.453544055944056,1144
Supercontig_1.1,16,289,0.434762008368199,1195
Supercontig_1.1,17,298,0.400118316831681,1212
Supercontig_1.1,18,284,0.455825217391304,1150
Supercontig_1.1,19,284,0.445698248540449,1199
Supercontig_1.1,20,288,0.444263106796114,1133
Supercontig_1.1,21,292,0.397907174490698,1129
Supercontig_1.1,22,290,0.404405094494657,1217
Supercontig_1.1,23,293,0.428561604831753,1159
Supercontig_1.1,24,302,0.353485789473684,1140
Supercontig_1.1,25,279,0.462554202401372,1166
Supercontig_1.1,26,291,0.425048187808893,1214
Supercontig_1.1,27,279,0.42588797250859,1164
Supercontig_1.1,28,288,0.43183932172319,1091
Supercontig_1.1,29,283.5,0.463508375634517,1182
Supercontig_1.1,30,280,0.427332134480062,1279
Supercontig_1.1,31,281,0.421951665166515,1111
Supercontig_1.1,32,286,0.463947497725205,1099
Supercontig_1.1,33,285,0.463807848101266,1185
Supercontig_1.1,34,274.5,0.46643756302521,1190
Supercontig_1.1,35,282,0.446730985915494,1136
Supercontig_1.1,36,290,0.42608684429642,1201
Supercontig_1.1,37,298,0.389235353535353,1188
Supercontig_1.1,38,284,0.401205605935696,1213
Supercontig_1.1,39,289,0.399819967532466,1232
Supercontig_1.1,40,293,0.419649323181047,1182
Supercontig_1.1,41,296.5,0.402608571428571,1260
Supercontig_1.1,42,286,0.412250124688278,1203
