CHROM,BIN,MEAN_INSERT_SIZE,GC,OBSERVATIONS
Supercontig_1.6,0,192,0.382844409448818,1905
Supercontig_1.6,1,204,0.38396766595289,934
Supercontig_1.6,2,210,0.393715850515464,776
Supercontig_1.6,3,212,0.466790070093457,856
Supercontig_1.6,4,199,0.396432183908046,783
Supercontig_1.6,5,210,0.418379694656489,655
Supercontig_1.6,6,206,0.372570270270271,629
Supercontig_1.6,7,209,0.371658002936858,681
Supercontig_1.6,8,212,0.449926181818182,550
Supercontig_1.6,9,208,0.387951617873651,649
Supercontig_1.6,10,209,0.407119370078741,635
Supercontig_1.6,11,208,0.352443247863249,585
Supercontig_1.6,12,214.5,0.38313421875,640
Supercontig_1.6,13,212,0.374422098569158,629
Supercontig_1.6,14,208,0.373127097902099,572
Supercontig_1.6,15,207,0.407831802721089,588
Supercontig_1.6,16,209.5,0.395731518151816,606
Supercontig_1.6,17,206.5,0.369400000000001,636
Supercontig_1.6,18,203.5,0.395004558404559,702
Supercontig_1.6,19,185,0.445483276450513,879
Supercontig_1.6,20,202,0.444908452722063,698
Supercontig_1.6,21,211,0.38471575562701,622
Supercontig_1.6,22,207,0.364940873634945,641
Supercontig_1.6,23,212,0.436922487223168,587
Supercontig_1.6,24,207,0.501125369978858,473
Supercontig_1.6,25,210,0.485729140461216,477
Supercontig_1.6,26,209,0.475421703853956,493
Supercontig_1.6,27,209.5,0.468920172413793,580
Supercontig_1.6,28,211,0.461249407114624,506
Supercontig_1.6,29,211,0.409816027874564,574
Supercontig_1.6,30,204.5,0.417638132295721,514
Supercontig_1.6,31,207,0.382091905564924,593
Supercontig_1.6,32,212.5,0.384238817891375,626
Supercontig_1.6,33,204,0.350139545454546,660
Supercontig_1.6,34,211,0.47058418079096,531
Supercontig_1.6,35,213,0.477663319672131,488
Supercontig_1.6,36,206,0.400882130584193,582
Supercontig_1.6,37,215.5,0.38221884057971,552
Supercontig_1.6,38,209,0.454677657266811,461
Supercontig_1.6,39,208,0.438786561264823,506
Supercontig_1.6,40,208,0.390041446208113,567
Supercontig_1.6,41,216,0.401428057553957,556
Supercontig_1.6,42,207,0.431305263157896,513
Supercontig_1.6,43,205,0.460878904665315,493
Supercontig_1.6,44,212,0.466127121771219,542
Supercontig_1.6,45,213,0.403603888888889,540
Supercontig_1.6,46,205,0.390027992633518,543
Supercontig_1.6,47,212,0.428491206543968,489
Supercontig_1.6,48,208,0.421207874015748,508
Supercontig_1.6,49,211.5,0.382356655290103,586
Supercontig_1.6,50,209,0.424354291044777,536
Supercontig_1.6,51,212,0.468841491841492,429
Supercontig_1.6,52,203,0.473803854389723,467
Supercontig_1.6,53,207.5,0.431696153846154,468
Supercontig_1.6,54,211,0.437239447731756,507
Supercontig_1.6,55,212,0.456809160305344,393
Supercontig_1.6,56,213,0.392257005758159,521
Supercontig_1.6,57,206,0.444653968253969,441
Supercontig_1.6,58,212,0.442316263736264,455
Supercontig_1.6,59,211,0.452191666666667,468
Supercontig_1.6,60,204,0.455566067415731,445
Supercontig_1.6,61,204,0.427010112359551,445
Supercontig_1.6,62,204,0.399257844990549,529
Supercontig_1.6,63,212,0.402592307692308,481
Supercontig_1.6,64,206,0.412245078740157,508
Supercontig_1.6,65,205.5,0.474520487804878,410
Supercontig_1.6,66,221,0.468214442013129,457
Supercontig_1.6,67,202,0.467018850574713,435
Supercontig_1.6,68,212,0.400991466083152,457
Supercontig_1.6,69,203,0.419967951807229,415
Supercontig_1.6,70,218,0.478131884057971,414
Supercontig_1.6,71,207,0.374250478011473,523
Supercontig_1.6,72,210,0.419127510917031,458
Supercontig_1.6,73,198,0.478230208333333,384
Supercontig_1.6,74,213,0.408997764227642,492
Supercontig_1.6,75,208.5,0.408619456066946,478
Supercontig_1.6,76,209,0.458298437500001,384
Supercontig_1.6,77,208,0.405481555555556,450
Supercontig_1.6,78,210,0.391050000000001,508
Supercontig_1.6,79,206,0.408430666666667,450
Supercontig_1.6,80,208.5,0.497173933649289,422
Supercontig_1.6,81,204,0.426770066518848,451
Supercontig_1.6,82,223,0.597492533333334,375
Supercontig_1.6,83,215,0.518112719298247,456
Supercontig_1.6,84,208.5,0.419284210526316,494
Supercontig_1.6,85,218,0.414317353579177,461
Supercontig_1.6,86,212,0.372570553359684,506
Supercontig_1.6,87,201,0.461191868131868,455
Supercontig_1.6,88,206,0.358520900900901,555
Supercontig_1.6,89,208,0.495128476821192,453
Supercontig_1.6,90,209,0.422838995215311,418
Supercontig_1.6,91,212,0.467153246753247,385
Supercontig_1.6,92,206,0.430613663366337,505
Supercontig_1.6,93,213.5,0.458245215311005,418
Supercontig_1.6,94,214.5,0.434464418604651,430
Supercontig_1.6,95,210,0.396594777562863,517
Supercontig_1.6,96,216,0.368679591836735,490
Supercontig_1.6,97,208,0.61611815920398,402
Supercontig_1.6,98,206.5,0.588006783919598,398
Supercontig_1.6,99,208,0.478608732394366,355
Supercontig_1.6,100,215,0.428754362416108,447
Supercontig_1.6,101,212,0.573425348189415,359
Supercontig_1.6,102,217,0.666088918918919,370
Supercontig_1.6,103,209,0.558324619289341,394
Supercontig_1.6,104,209,0.391032038834952,515
Supercontig_1.6,105,203,0.43584425531915,470
Supercontig_1.6,106,220,0.45320695443645,417
Supercontig_1.6,107,207.5,0.470515217391304,414
Supercontig_1.6,108,207,0.458754606741573,445
Supercontig_1.6,109,211,0.392706748466258,489
Supercontig_1.6,110,206.5,0.42903119047619,420
Supercontig_1.6,111,208,0.514088126649076,379
Supercontig_1.6,112,211,0.388992022263451,539
Supercontig_1.6,113,208.5,0.523521111111111,360
Supercontig_1.6,114,215,0.596574177215189,395
Supercontig_1.6,115,223,0.640533591731266,387
Supercontig_1.6,116,206.5,0.514121028037384,428
Supercontig_1.6,117,178,0.400344893617022,470
Supercontig_1.6,118,181,0.380469866071428,448
Supercontig_1.6,119,187,0.447117176470588,425
Supercontig_1.6,120,208,0.474607459207459,429
Supercontig_1.6,121,186,0.381248919449902,509
Supercontig_1.6,122,201,0.460803139013453,446
Supercontig_1.6,123,192,0.434311353711791,458
Supercontig_1.6,124,183.5,0.360401831501831,546
Supercontig_1.6,125,207,0.527936458333333,384
Supercontig_1.6,126,179,0.384735376044568,359
Supercontig_1.6,127,191,0.557616519174041,339
Supercontig_1.6,128,215,0.598972802197801,364
Supercontig_1.6,129,207.5,0.565539655172413,348
Supercontig_1.6,130,196,0.373125471698113,424
Supercontig_1.6,131,113,0.423794827586207,58
Supercontig_1.6,132,,0,0
Supercontig_1.6,133,19,0.324070731707317,41
Supercontig_1.6,134,198,0.508849859943978,357
Supercontig_1.6,135,208,0.602379886685552,353
Supercontig_1.6,136,207,0.501512664907652,379
Supercontig_1.6,137,214,0.485410941475827,393
Supercontig_1.6,138,207,0.463917048346056,393
Supercontig_1.6,139,207,0.34488953722334,497
Supercontig_1.6,140,212,0.392874089935761,467
Supercontig_1.6,141,198,0.365204415011038,453
Supercontig_1.6,142,193,0.381531355932203,472
Supercontig_1.6,143,201,0.422627692307693,325
Supercontig_1.6,144,20,0.460957142857143,7
Supercontig_1.6,145,,0,0
Supercontig_1.6,146,,0,0
Supercontig_1.6,147,184.5,0.384203409090909,352
Supercontig_1.6,148,221,0.653686072423398,359
Supercontig_1.6,149,195.5,0.468236111111111,72
Supercontig_1.6,150,155,0.345968563685637,369
Supercontig_1.6,151,196.5,0.419966981132076,424
Supercontig_1.6,152,208,0.455705112474438,489
Supercontig_1.6,153,206,0.372700860215055,465
Supercontig_1.6,154,199,0.385889119170985,386
