Chromosome	Position	Mutation Type	Gene
MT_CBS_6936	2204	intergenic	nad2
MT_CBS_6936	6047	missense_variant	nad4
MT_CBS_6936	8875	intergenic	orf102
MT_CBS_6936	9323	intergenic	orf102
MT_CBS_6936	14965	synonymous_variant	trnQ(uug)
MT_CBS_6936	19167	intergenic	atp6
Supercontig_1.1	38256	missense_variant	CLUG_00025
Supercontig_1.1	79480	intergenic	CLUG_00039
Supercontig_1.1	99612	missense_variant	CLUG_00052
Supercontig_1.1	109073	missense_variant	CLUG_00056
Supercontig_1.1	136788	synonymous_variant	CLUG_00072
Supercontig_1.1	186206	missense_variant	CLUG_00096
Supercontig_1.1	232489	intergenic	CLUG_00117
Supercontig_1.1	282098	synonymous_variant	CLUG_00145
Supercontig_1.1	323637	missense_variant	CLUG_00166
Supercontig_1.1	357353	stop_gained	CLUG_00180
Supercontig_1.1	384848	intergenic	CLUG_00193
Supercontig_1.1	402146	missense_variant	CLUG_00201
Supercontig_1.1	402400	missense_variant	CLUG_00201
Supercontig_1.1	409729	missense_variant	CLUG_00204
Supercontig_1.1	502242	missense_variant	CLUG_00253
Supercontig_1.1	523710	missense_variant	CLUG_00264
Supercontig_1.1	529447	intergenic	CLUG_00265
Supercontig_1.1	532617	missense_variant	CLUG_00269
Supercontig_1.1	561360	missense_variant	CLUG_00285
Supercontig_1.1	564140	intergenic	CLUG_00284
Supercontig_1.1	571030	missense_variant	CLUG_00290
Supercontig_1.1	652846	missense_variant	CLUG_00328
Supercontig_1.1	669586	stop_gained	CLUG_00335
Supercontig_1.1	692526	missense_variant	CLUG_00347
Supercontig_1.1	703894	intergenic	CLUG_00350
Supercontig_1.1	748855	missense_variant	CLUG_00378
Supercontig_1.1	750114	missense_variant	CLUG_00379
Supercontig_1.1	811146	missense_variant	CLUG_00412
Supercontig_1.1	887221	synonymous_variant	CLUG_00442
Supercontig_1.1	938700	missense_variant	CLUG_00463
Supercontig_1.1	968704	intergenic	CLUG_00476
Supercontig_1.1	1017765	intergenic	CLUG_00504
Supercontig_1.1	1038474	missense_variant	CLUG_00511
Supercontig_1.1	1094594	stop_gained	CLUG_00542
Supercontig_1.1	1094696	stop_gained	CLUG_00542
Supercontig_1.1	1094713	missense_variant	CLUG_00542
Supercontig_1.1	1094909	missense_variant	CLUG_00542
Supercontig_1.1	1095087	missense_variant	CLUG_00542
Supercontig_1.1	1095102	stop_gained	CLUG_00542
Supercontig_1.1	1095847	missense_variant	CLUG_00542
Supercontig_1.1	1095848	missense_variant	CLUG_00542
Supercontig_1.1	1096121	missense_variant	CLUG_00542
Supercontig_1.1	1096636	missense_variant	CLUG_00542
Supercontig_1.1	1096673	missense_variant	CLUG_00542
Supercontig_1.1	1096885	missense_variant	CLUG_00542
Supercontig_1.1	1097209	stop_gained	CLUG_00542
Supercontig_1.1	1118887	intergenic	CLUG_00554
Supercontig_1.1	1142634	intergenic	CLUG_00562
Supercontig_1.1	1144812	missense_variant	CLUG_00563
Supercontig_1.1	1149336	intergenic	CLUG_00565
Supercontig_1.1	1160657	synonymous_variant	CLUG_00570
Supercontig_1.1	1204177	missense_variant	CLUG_00597
Supercontig_1.1	1412864	missense_variant	CLUG_00705
Supercontig_1.1	1443586	intergenic	CLUG_00718
Supercontig_1.1	1525871	missense_variant	CLUG_00757
Supercontig_1.1	1532064	synonymous_variant	CLUG_00759
Supercontig_1.1	1534068	missense_variant	CLUG_00760
Supercontig_1.1	1546677	stop_gained	CLUG_00763
Supercontig_1.1	1675861	synonymous_variant	CLUG_00827
Supercontig_1.1	1751374	intergenic	CLUG_00863
Supercontig_1.1	1760348	intergenic	CLUG_00864
