#LOCUS	LENGTH	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A3.U3G	A4.U3B	A5.U10D	A7.U3E	A8.U2E	A9.L3D	ATCC42720
5SrRNA-1_BG_Supercontig_1.5_245830	169	47.66	62.50	43.43	91.09	71.52	57.29	28.56	49.28	50.22	72.34	133.85	40.49	89.75	35.43	49.51	28.63	82.94	105.63	44.36	104.96
A-rich_Supercontig_1.3_1310390	104	57.38	158.33	91.94	141.33	168.77	174.76	68.84	82.89	65.50	168.12	180.86	77.61	141.42	49.91	84.96	91.45	166.09	163.99	69.06	174.90
CACTA-1_Ccinerea_Supercontig_1.2_1747654	25	90.80	202.00	96.80	167.24	177.76	203.48	94.16	87.92	81.56	207.80	218.40	72.20	210.48	98.00	80.96	80.88	204.60	176.68	121.28	166.20
CT-rich_Supercontig_1.5_1310470	174	164.99	314.44	139.46	341.26	353.45	260.97	142.24	168.29	173.64	341.75	285.52	149.18	365.42	159.64	124.40	184.82	313.17	368.22	158.93	270.46
CT-rich_Supercontig_1.6_212742	167	28.02	35.80	21.62	55.51	60.28	51.20	27.25	24.41	22.78	57.05	106.00	34.79	52.51	19.26	30.75	30.81	54.86	52.51	23.39	247.18
Copia-12_MLP-I_Supercontig_1.1_255308	32	351.16	1088.44	277.12	690.91	656.91	649.50	324.03	302.78	342.66	679.88	673.28	312.06	636.25	372.03	322.22	379.09	736.72	640.00	377.78	305.16
Copia-12_TMe-I_Supercontig_1.1_813454	51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	229.39
Copia-12_TMe-I_Supercontig_1.2_1060265	51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	371.67
Copia-12_TMe-I_Supercontig_1.4_417389	51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	378.78
Copia-12_TMe-I_Supercontig_1.8_607573	51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	155.31
Copia-14_BG-I_Supercontig_1.3_594506	120	118.20	241.22	167.73	304.64	305.73	266.86	142.87	141.32	130.94	278.81	258.26	146.29	247.05	119.56	132.51	120.97	267.45	233.69	178.62	269.68
Copia-1_BFB-I_Supercontig_1.1_1804562	37	139.00	225.49	161.35	247.65	210.76	216.35	121.57	122.65	142.00	254.03	297.78	109.14	261.22	115.86	134.57	112.65	226.24	284.30	102.59	213.81
Copia-1_CDC-I_Supercontig_1.1_254631	261	322.16	1048.22	320.11	655.29	631.77	613.22	311.84	331.39	300.14	591.20	672.10	303.33	577.09	336.97	296.41	334.71	692.37	596.58	337.98	329.28
Copia-1_CDC-I_Supercontig_1.1_254978	63	301.70	1025.71	351.94	680.37	647.65	627.79	327.10	368.52	343.08	646.41	607.94	285.59	675.78	384.95	282.75	373.00	670.05	647.17	309.51	320.17
Copia-1_PAD-I_Supercontig_1.1_252630	128	332.70	1100.55	300.50	656.07	629.97	664.76	320.33	292.56	312.09	657.17	714.06	281.28	716.43	403.75	319.40	376.58	719.05	625.54	359.74	267.44
Copia-1_PAD-I_Supercontig_1.1_253864	482	360.63	1055.87	376.44	713.97	675.01	616.55	331.97	333.14	312.88	645.18	729.45	357.97	705.43	364.04	345.83	317.36	733.24	695.82	358.73	354.03
Copia-1_PAD-I_Supercontig_1.1_254440	119	326.63	981.74	343.71	570.83	572.30	585.08	334.79	268.08	285.65	586.24	713.28	314.31	596.55	347.46	321.20	321.23	723.39	593.08	346.47	315.06
Copia-1_SPDB-I_Supercontig_1.8_685386	392	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	260.80
Copia-1_SPDB-I_Supercontig_1.8_688745	91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	713.35
Copia-1_SPDB-I_Supercontig_1.8_690275	673	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	622.38
Copia-1_Trm-I_Supercontig_1.8_124638	51	183.29	618.88	145.67	378.24	403.49	293.37	173.51	180.16	178.29	332.41	344.94	173.57	371.22	206.31	201.53	187.24	358.04	338.12	203.37	352.63
Copia-20_PGr-I_Supercontig_1.4_857095	55	81.51	242.09	114.35	237.24	206.62	275.51	112.56	90.75	101.02	239.02	283.93	97.29	252.65	126.56	138.33	95.44	193.11	233.85	144.98	167.53
Copia-24_MLP-I_Supercontig_1.5_678423	68	118.96	271.41	147.04	255.62	242.68	258.69	118.13	121.12	124.15	204.65	247.71	109.29	306.34	138.60	109.90	103.84	225.90	264.59	128.29	267.07
Copia-26_MLP-I_Supercontig_1.1_2014622	34	145.06	272.35	162.65	297.71	262.62	291.97	136.18	118.62	147.56	254.21	285.26	148.24	296.94	118.79	132.06	163.68	280.29	309.12	163.41	306.62
Copia-26_MLP-I_Supercontig_1.3_103806	13	101.54	306.00	112.46	199.15	179.62	245.08	110.31	141.54	147.08	172.38	299.31	121.08	200.46	120.00	93.62	129.85	215.46	261.23	148.85	265.85
Copia-2_CDC-I_Supercontig_1.6_739971	46	114.30	244.93	137.02	233.98	223.87	445.33	81.07	165.39	234.26	559.20	244.72	245.48	479.17	266.72	122.70	232.91	268.65	522.85	140.37	369.43
Copia-2_CH_Supercontig_1.4_299176	138	37.83	58.78	28.29	58.96	58.38	52.67	27.98	39.64	34.36	68.01	64.66	38.68	67.12	29.34	39.59	34.37	68.80	67.29	34.98	153.51
Copia-2_LBS-I_Supercontig_1.3_1580754	36	131.47	235.78	148.06	267.25	297.44	292.58	131.89	94.39	130.58	263.08	287.64	165.61	272.08	115.06	132.94	190.00	295.22	341.61	146.22	310.61
Copia-2_PSt-I_Supercontig_1.4_738980	42	153.19	234.69	127.14	257.71	210.98	222.00	137.86	105.26	122.14	191.71	205.95	165.31	214.62	106.98	125.45	92.95	218.52	225.88	134.14	204.67
Copia-2_SLL-I_Supercontig_1.5_1281984	52	135.27	273.00	148.58	312.27	322.27	226.13	122.35	136.52	168.87	286.29	288.85	139.63	313.40	153.38	142.83	177.42	283.62	276.23	137.23	259.60
Copia-2_Trm-I_Supercontig_1.2_520751	43	108.72	253.93	126.95	240.21	245.28	242.40	123.79	132.70	113.12	215.16	203.40	105.42	239.33	120.93	136.77	125.40	274.58	257.60	133.12	240.77
Copia-3_CCO-I_Supercontig_1.6_127450	36	87.81	211.83	88.42	235.78	243.69	188.83	95.00	86.14	131.03	235.94	421.47	82.00	203.19	106.92	122.08	114.67	185.53	197.67	114.42	251.86
Copia-3_SCH-I_Supercontig_1.1_1409108	32	161.12	219.78	131.22	259.97	247.28	219.88	132.06	122.91	132.44	270.38	265.09	139.12	219.88	104.19	117.69	100.28	239.31	261.94	102.84	200.28
Copia-3_SCH-I_Supercontig_1.1_314251	69	115.29	262.99	163.17	222.75	259.04	279.26	126.43	138.59	152.94	257.94	257.26	113.78	229.93	128.10	138.54	97.30	261.78	200.32	117.96	271.57
Copia-3_SCH-I_Supercontig_1.4_101400	56	158.80	258.09	122.64	331.38	240.75	226.07	137.93	132.89	158.82	276.34	265.46	139.04	341.32	183.46	167.61	152.25	255.95	258.79	123.14	310.96
Copia-53_MLP-I_Supercontig_1.1_475175	14	114.14	221.86	126.29	243.50	175.93	208.07	115.79	102.07	103.57	228.79	224.21	88.21	205.07	101.79	119.50	123.36	243.64	209.64	140.79	185.86
Copia-53_MLP-I_Supercontig_1.1_475396	36	136.42	248.47	130.42	307.19	269.14	313.64	125.47	120.53	113.67	265.17	259.72	139.64	271.94	147.67	109.28	132.50	329.03	213.67	119.78	314.83
Copia-58_BG-I_Supercontig_1.1_1002241	246	61.94	103.44	68.52	122.75	118.65	94.37	52.89	52.60	51.89	104.00	154.03	64.05	123.82	44.56	61.55	35.77	132.91	125.88	59.03	135.53
Copia-58_BG-I_Supercontig_1.1_1108561	97	93.63	169.36	104.20	220.74	245.56	247.08	110.63	105.23	106.42	195.48	217.74	104.26	188.60	81.97	116.08	88.95	220.40	172.72	97.31	187.23
Copia-58_BG-I_Supercontig_1.1_1934173	102	146.38	318.99	180.35	293.95	389.60	306.58	144.64	151.93	142.75	286.83	287.41	145.21	330.65	132.49	157.56	143.71	319.41	284.51	180.50	286.12
Copia-58_BG-I_Supercontig_1.1_2277916	214	137.47	305.54	157.58	313.83	315.67	311.06	143.67	188.95	173.48	271.17	301.96	145.24	317.10	148.26	155.23	185.45	304.31	319.41	144.78	369.78
Copia-58_BG-I_Supercontig_1.1_359620	126	116.02	256.76	138.75	264.02	272.51	219.02	91.69	115.08	95.94	217.67	265.60	109.92	284.01	138.49	117.64	126.79	307.31	225.88	130.25	315.58
Copia-58_BG-I_Supercontig_1.1_550981	249	112.83	232.18	129.03	242.18	258.21	235.67	123.22	91.64	94.52	200.92	260.98	120.58	164.27	91.93	118.14	101.68	212.30	165.35	92.59	245.45
Copia-58_BG-I_Supercontig_1.2_1044136	256	118.25	273.44	131.12	215.64	230.52	239.43	110.05	137.03	114.96	234.01	252.38	113.20	182.17	109.41	137.21	109.66	244.97	248.82	124.21	203.56
Copia-58_BG-I_Supercontig_1.2_281839	76	126.59	295.79	149.12	292.86	332.16	291.37	158.29	153.29	149.62	280.43	267.45	130.78	319.07	158.97	132.38	164.07	320.32	284.54	143.28	269.00
Copia-58_BG-I_Supercontig_1.2_631894	96	99.74	225.48	101.05	212.09	236.40	212.51	122.14	90.30	93.39	163.50	193.33	100.84	199.38	87.53	104.81	91.96	228.61	204.58	106.99	236.86
Copia-58_BG-I_Supercontig_1.3_1539108	175	72.72	157.79	78.01	157.93	148.91	146.39	74.85	87.83	77.04	146.16	161.84	76.88	158.34	67.05	77.09	76.76	162.87	149.23	59.13	214.83
Copia-58_BG-I_Supercontig_1.3_359111	123	159.34	270.52	171.10	316.17	271.67	244.59	155.59	139.16	157.29	253.89	217.06	134.99	240.70	113.28	129.42	124.38	298.59	302.10	135.72	276.76
Copia-58_BG-I_Supercontig_1.3_448721	145	99.46	239.53	123.77	240.34	236.64	257.50	107.12	132.23	125.69	266.84	257.89	117.68	296.29	136.17	126.46	125.95	265.84	291.52	132.39	235.30
