WINDOW	CHROM	CHROM_WINDOW	STRAIN	STRAIN_GROUP	LOCALE	MEAN_COVERAGE	MEDIAN_COVERAGE	GENE_COUNT
1	Supercontig_1.1	0	A10.L4C	A	L	1.12	1.12	20
1	Supercontig_1.1	0	A11.L11G	A	L	1.23	1.21	20
1	Supercontig_1.1	0	A12.L10B	A	L	1.34	1.32	20
1	Supercontig_1.1	0	A13.L3B	A	L	0.95	0.94	20
1	Supercontig_1.1	0	A14.L4E	A	L	0.95	0.94	20
1	Supercontig_1.1	0	A15.L4G	A	L	1.23	1.24	20
1	Supercontig_1.1	0	A16.L7C	A	L	1.20	1.22	20
1	Supercontig_1.1	0	A17.L1B	A	L	0.99	1.00	20
1	Supercontig_1.1	0	A18.S4H	A	S	0.88	0.88	20
1	Supercontig_1.1	0	A19.S3B	A	S	1.19	1.19	20
1	Supercontig_1.1	0	A2.U10A	A	U	1.33	1.33	20
1	Supercontig_1.1	0	A20.S1E	A	S	0.80	0.80	20
1	Supercontig_1.1	0	A21.S8A	A	S	1.00	1.00	20
1	Supercontig_1.1	0	A22.UpperP	A	U	1.16	1.15	20
1	Supercontig_1.1	0	A23.LowerP	A	L	1.16	1.15	20
1	Supercontig_1.1	0	A24.SputuP	A	S	0.96	0.94	20
1	Supercontig_1.1	0	A3.U3G	A	U	1.28	1.27	20
1	Supercontig_1.1	0	A4.U3B	A	U	0.95	0.95	20
1	Supercontig_1.1	0	A5.U10D	A	U	0.94	0.93	20
1	Supercontig_1.1	0	A6.U5C	A	U	1.26	1.27	20
1	Supercontig_1.1	0	A7.U3E	A	U	1.38	1.38	20
1	Supercontig_1.1	0	A8.U2E	A	U	0.87	0.87	20
1	Supercontig_1.1	0	A9.L3D	A	L	1.26	1.24	20
1	Supercontig_1.1	0	ATCC42720	REF	Blood	1.44	1.42	20
1	Supercontig_1.1	0	B16.1310D	B	L	0.79	0.79	20
1	Supercontig_1.1	0	B17.1311G	B	L	1.08	1.08	20
1	Supercontig_1.1	0	B18.1312G	B	L	0.88	0.88	20
1	Supercontig_1.1	0	B19.1310A	B	L	0.93	0.93	20
1	Supercontig_1.1	0	B20.1311A	B	L	1.22	1.22	20
1	Supercontig_1.1	0	B21.1312A	B	L	0.86	0.86	20
1	Supercontig_1.1	0	B22.134E	B	U	0.84	0.85	20
1	Supercontig_1.1	0	B23.133H	B	U	0.95	0.96	20
1	Supercontig_1.1	0	B24.133F	B	U	0.85	0.85	20
1	Supercontig_1.1	0	B25.135C	B	U	0.82	0.81	20
1	Supercontig_1.1	0	B26.131A	B	U	0.87	0.86	20
1	Supercontig_1.1	0	B27.136A	B	U	0.91	0.92	20
1	Supercontig_1.1	0	B28.13UM	B	U	0.85	0.83	20
1	Supercontig_1.1	0	B29.13MM	B	M	0.86	0.85	20
1	Supercontig_1.1	0	C10.9M3	C	M	1.13	1.13	20
1	Supercontig_1.1	0	C11.9M41	C	M	0.92	0.91	20
1	Supercontig_1.1	0	C12.9U1	C	U	1.61	1.61	20
1	Supercontig_1.1	0	C13.9U2	C	U	0.96	0.97	20
1	Supercontig_1.1	0	C14.9U3	C	U	1.44	1.44	20
1	Supercontig_1.1	0	C15.9U4s	C	U	1.33	1.33	20
1	Supercontig_1.1	0	C30.13LM	C	L	0.87	0.87	20
1	Supercontig_1.1	0	C31.13MP	C	Stock	1.04	1.04	20
1	Supercontig_1.1	0	C4.9L1	C	L	1.20	1.20	20
1	Supercontig_1.1	0	C5.9L2	C	L	1.08	1.07	20
1	Supercontig_1.1	0	C6.9L3	C	L	1.20	1.19	20
1	Supercontig_1.1	0	C7.9L4	C	L	1.04	1.04	20
1	Supercontig_1.1	0	C8.9M1	C	M	0.99	0.99	20
1	Supercontig_1.1	0	C9.9M2	C	M	0.99	1.00	20
1	Supercontig_1.1	0	ctl1.AL1B	A	L	1.04	1.04	20
1	Supercontig_1.1	0	ctl2.AL1B	A	L	1.04	1.03	20
1	Supercontig_1.1	0	ctl3.C9L1	C	L	1.04	1.04	20
2	Supercontig_1.1	1	A10.L4C	A	L	0.99	1.01	20
2	Supercontig_1.1	1	A11.L11G	A	L	1.11	1.11	20
2	Supercontig_1.1	1	A12.L10B	A	L	1.11	1.12	20
2	Supercontig_1.1	1	A13.L3B	A	L	0.94	0.95	20
2	Supercontig_1.1	1	A14.L4E	A	L	0.93	0.94	20
2	Supercontig_1.1	1	A15.L4G	A	L	0.99	1.01	20
2	Supercontig_1.1	1	A16.L7C	A	L	0.97	0.96	20
2	Supercontig_1.1	1	A17.L1B	A	L	0.94	0.93	20
2	Supercontig_1.1	1	A18.S4H	A	S	0.86	0.86	20
2	Supercontig_1.1	1	A19.S3B	A	S	1.07	1.08	20
2	Supercontig_1.1	1	A2.U10A	A	U	1.11	1.13	20
2	Supercontig_1.1	1	A20.S1E	A	S	0.80	0.80	20
2	Supercontig_1.1	1	A21.S8A	A	S	0.94	0.94	20
2	Supercontig_1.1	1	A22.UpperP	A	U	1.06	1.08	20
2	Supercontig_1.1	1	A23.LowerP	A	L	1.05	1.06	20
2	Supercontig_1.1	1	A24.SputuP	A	S	0.90	0.90	20
2	Supercontig_1.1	1	A3.U3G	A	U	1.14	1.15	20
2	Supercontig_1.1	1	A4.U3B	A	U	0.92	0.93	20
2	Supercontig_1.1	1	A5.U10D	A	U	0.88	0.89	20
2	Supercontig_1.1	1	A6.U5C	A	U	1.10	1.15	20
2	Supercontig_1.1	1	A7.U3E	A	U	1.17	1.16	20
2	Supercontig_1.1	1	A8.U2E	A	U	0.85	0.84	20
2	Supercontig_1.1	1	A9.L3D	A	L	1.11	1.14	20
