Gene	Pn	Ps	Pn_Ps	Total_Variants
CLUG_00003	0	0	Undef	0
CLUG_00004	0	0	Undef	0
CLUG_00005	0	0	Undef	0
CLUG_00006	0	1	0.0000	1
CLUG_00007	0	1	0.0000	1
CLUG_00008	0	0	Undef	0
CLUG_00009	0	0	Undef	0
CLUG_00010	0	0	Undef	0
CLUG_00011	0	0	Undef	0
CLUG_00012	0	0	Undef	0
CLUG_00013	0	0	Undef	0
CLUG_00014	0	0	Undef	0
CLUG_00015	0	0	Undef	0
CLUG_00016	0	1	0.0000	1
CLUG_00017	0	0	Undef	0
CLUG_00018	0	0	Undef	0
CLUG_00019	0	0	Undef	0
CLUG_00034	0	0	Undef	0
CLUG_00035	1	0	Undef	1
CLUG_00036	0	0	Undef	0
CLUG_00052	0	0	Undef	0
CLUG_00053	0	0	Undef	0
CLUG_00054	0	0	Undef	0
CLUG_00055	0	1	0.0000	1
CLUG_00056	0	0	Undef	0
CLUG_00057	0	1	0.0000	1
CLUG_00058	0	0	Undef	0
CLUG_00059	0	0	Undef	0
CLUG_00060	0	0	Undef	0
CLUG_00061	0	0	Undef	0
CLUG_00127	0	0	Undef	0
CLUG_00128	0	0	Undef	0
CLUG_00129	0	0	Undef	0
CLUG_00130	0	0	Undef	0
CLUG_00131	1	0	Undef	1
CLUG_00132	1	0	Undef	1
CLUG_00133	0	0	Undef	0
CLUG_00134	0	0	Undef	0
CLUG_00135	0	0	Undef	0
CLUG_00143	0	0	Undef	0
CLUG_00144	0	0	Undef	0
CLUG_00145	0	1	0.0000	1
CLUG_00146	0	0	Undef	0
CLUG_00147	0	0	Undef	0
CLUG_00148	0	0	Undef	0
CLUG_00149	0	0	Undef	0
CLUG_00176	0	0	Undef	0
CLUG_00177	0	1	0.0000	1
CLUG_00178	0	0	Undef	0
CLUG_00179	0	0	Undef	0
CLUG_00191	0	0	Undef	0
CLUG_00192	0	0	Undef	0
CLUG_00193	0	0	Undef	0
CLUG_00194	0	0	Undef	0
CLUG_00195	0	0	Undef	0
CLUG_00197	0	0	Undef	0
CLUG_00198	0	0	Undef	0
CLUG_00199	0	0	Undef	0
CLUG_00200	0	0	Undef	0
CLUG_00201	0	0	Undef	0
CLUG_00204	0	0	Undef	0
CLUG_00205	0	0	Undef	0
CLUG_00206	0	1	0.0000	1
CLUG_00207	0	0	Undef	0
CLUG_00208	0	0	Undef	0
CLUG_00209	0	0	Undef	0
CLUG_00210	0	0	Undef	0
CLUG_00219	0	0	Undef	0
CLUG_00220	0	0	Undef	0
CLUG_00221	0	0	Undef	0
CLUG_00222	0	0	Undef	0
CLUG_00223	0	0	Undef	0
CLUG_00266	0	0	Undef	0
CLUG_00267	0	0	Undef	0
CLUG_00268	0	0	Undef	0
CLUG_00269	1	0	Undef	1
CLUG_00270	0	0	Undef	0
CLUG_00271	0	0	Undef	0
CLUG_00272	0	0	Undef	0
CLUG_00289	0	0	Undef	0
CLUG_00290	0	0	Undef	0
CLUG_00291	0	0	Undef	0
CLUG_00292	0	0	Undef	0
CLUG_00293	0	0	Undef	0
CLUG_00294	0	0	Undef	0
CLUG_00295	0	0	Undef	0
CLUG_00296	0	1	0.0000	1
CLUG_00297	0	0	Undef	0
CLUG_00298	0	0	Undef	0
CLUG_00299	0	0	Undef	0
CLUG_00317	0	1	0.0000	1
CLUG_00318	0	0	Undef	0
CLUG_00319	0	0	Undef	0
CLUG_00320	0	1	0.0000	1
CLUG_00321	0	0	Undef	0
CLUG_00322	0	0	Undef	0
CLUG_00330	0	0	Undef	0
CLUG_00331	1	0	Undef	1
CLUG_00332	0	0	Undef	0
CLUG_00333	0	0	Undef	0
CLUG_00435	0	0	Undef	0
CLUG_00436	0	0	Undef	0
CLUG_00437	0	0	Undef	0
CLUG_00438	0	0	Undef	0
CLUG_00490	0	0	Undef	0
CLUG_00491	0	0	Undef	0
CLUG_00492	0	0	Undef	0
CLUG_00493	0	0	Undef	0
CLUG_00494	0	0	Undef	0
CLUG_00495	0	0	Undef	0
CLUG_00496	0	0	Undef	0
CLUG_00497	0	0	Undef	0
CLUG_00498	0	0	Undef	0
CLUG_00499	0	0	Undef	0
CLUG_00500	0	0	Undef	0
CLUG_00501	0	0	Undef	0
CLUG_00544	0	0	Undef	0
CLUG_00545	0	0	Undef	0
CLUG_00546	0	0	Undef	0
CLUG_00547	0	0	Undef	0
CLUG_00548	0	0	Undef	0
CLUG_00549	0	0	Undef	0
CLUG_00562	0	0	Undef	0
CLUG_00563	0	0	Undef	0
CLUG_00564	0	0	Undef	0
CLUG_00565	0	0	Undef	0
CLUG_00566	0	0	Undef	0
CLUG_00659	0	0	Undef	0
CLUG_00660	0	0	Undef	0
CLUG_00661	0	0	Undef	0
CLUG_00662	0	0	Undef	0
CLUG_00663	1	0	Undef	1
CLUG_00664	0	0	Undef	0
CLUG_00665	0	0	Undef	0
CLUG_00666	0	0	Undef	0
CLUG_00700	0	0	Undef	0
CLUG_00701	0	0	Undef	0
CLUG_00702	0	0	Undef	0
CLUG_00703	0	0	Undef	0
CLUG_00704	0	0	Undef	0
CLUG_00705	0	0	Undef	0
CLUG_00748	0	0	Undef	0
CLUG_00749	0	0	Undef	0
CLUG_00750	0	0	Undef	0
CLUG_00751	0	2	0.0000	2
CLUG_00752	0	0	Undef	0
CLUG_00753	0	0	Undef	0
CLUG_00772	0	0	Undef	0
CLUG_00773	0	1	0.0000	1
CLUG_00774	0	0	Undef	0
CLUG_00775	0	0	Undef	0
CLUG_00776	0	0	Undef	0
