Gene	Pn	Ps	Pn_Ps	Total_Variants
CLUG_00001	4	7	0.5714	11
CLUG_00002	1	3	0.3333	4
CLUG_00003	13	12	1.0833	25
CLUG_00004	5	15	0.3333	20
CLUG_00005	1	16	0.0625	17
CLUG_00006	1	15	0.0667	16
CLUG_00007	7	26	0.2692	33
CLUG_00008	2	15	0.1333	17
CLUG_00009	3	5	0.6000	8
CLUG_00010	0	3	0.0000	3
CLUG_00011	8	20	0.4000	28
CLUG_00012	1	3	0.3333	4
CLUG_00013	1	1	1.0000	2
CLUG_00014	1	1	1.0000	2
CLUG_00015	9	15	0.6000	24
CLUG_00016	2	10	0.2000	12
CLUG_00017	5	8	0.6250	13
CLUG_00018	3	20	0.1500	23
CLUG_00019	4	12	0.3333	16
CLUG_00020	0	8	0.0000	8
CLUG_00021	0	4	0.0000	4
CLUG_00022	6	8	0.7500	14
CLUG_00023	2	6	0.3333	8
CLUG_00024	3	5	0.6000	8
CLUG_00025	3	6	0.5000	9
CLUG_00026	11	20	0.5500	31
CLUG_00027	1	3	0.3333	4
CLUG_00028	12	4	3.0000	16
CLUG_00029	1	15	0.0667	16
CLUG_00030	1	1	1.0000	2
CLUG_00031	0	1	0.0000	1
CLUG_00032	0	12	0.0000	12
CLUG_00033	2	14	0.1429	16
CLUG_00034	11	17	0.6471	28
CLUG_00035	8	35	0.2286	43
CLUG_00036	34	67	0.5075	101
CLUG_00037	3	18	0.1667	21
CLUG_00038	0	11	0.0000	11
CLUG_00039	3	15	0.2000	18
CLUG_00040	0	0	Undef	0
CLUG_00041	1	8	0.1250	9
CLUG_00042	2	10	0.2000	12
CLUG_00043	14	34	0.4118	48
CLUG_00044	7	19	0.3684	26
CLUG_00045	0	10	0.0000	10
CLUG_00046	9	13	0.6923	22
CLUG_00047	10	23	0.4348	33
CLUG_00048	0	17	0.0000	17
CLUG_00049	0	9	0.0000	9
CLUG_00050	6	13	0.4615	19
CLUG_00051	2	6	0.3333	8
CLUG_00052	18	56	0.3214	74
CLUG_00053	6	18	0.3333	24
CLUG_00054	5	16	0.3125	21
CLUG_00055	4	9	0.4444	13
CLUG_00056	7	30	0.2333	37
