#STRAIN	BASECT	READCT	AVG_COVERAGE
A10.L4C	12083021	1525153547	126.22
A11.L11G	12083021	1894591913	156.80
A12.L10B	12083021	1422694088	117.74
A13.L3B	12083021	1808185227	149.65
A14.L4E	12083021	1723805513	142.66
A15.L4G	12083021	1706868947	141.26
A16.L7C	12083021	1503815709	124.46
A17.L1B	12083021	1222137799	101.15
A18.S4H	12083021	1573622936	130.23
A19.S3B	12083021	2656842449	219.88
A2.U10A	12083021	1677880100	138.86
A20.S1E	12083021	1469481883	121.62
A21.S8A	12083021	1728897395	143.08
A22.UpperP	12083021	3287736946	272.10
A23.LowerP	12083021	4730181809	391.47
A24.SputuP	12083021	1446509342	119.71
A3.U3G	12083021	1263848301	104.60
A4.U3B	12083021	1364842380	112.96
A5.U10D	12083021	1342683583	111.12
A6.U5C	12083021	6039059650	499.80
A7.U3E	12083021	2135522747	176.74
A8.U2E	12083021	1946788929	161.12
A9.L3D	12083021	1563709140	129.41
ATCC42720	12083021	1979040481	163.79
B16.1310D	12083021	4040432856	334.39
B17.1311G	12083021	4177289443	345.72
B18.1312G	12083021	4452442065	368.49
B19.1310A	12083021	4324555372	357.90
B20.1311A	12083021	3749806969	310.34
B21.1312A	12083021	3742092221	309.70
B22.134E	12083021	3761769621	311.33
B23.133H	12083021	3909887820	323.59
B24.133F	12083021	3940249247	326.10
B25.135C	12083021	3438875116	284.60
B26.131A	12083021	3984432982	329.75
B27.136A	12083021	4016503376	332.41
B28.13UM	12083021	2999992159	248.28
B29.13MM	12083021	3208560663	265.54
C10.9M3	12083021	3061314339	253.36
C11.9M41	12083021	3443179234	284.96
C12.9U1	12083021	4076696883	337.39
C13.9U2	12083021	4289274127	354.98
C14.9U3	12083021	4578107178	378.89
C15.9U4s	12083021	4130691981	341.86
C30.13LM	12083021	3941498366	326.20
C31.13MP	12083021	4208936834	348.33
C4.9L1	12083021	3346648030	276.97
C5.9L2	12083021	3746010416	310.02
C6.9L3	12083021	4124098890	341.31
C7.9L4	12083021	3527705127	291.96
C8.9M1	12083021	3733304626	308.97
C9.9M2	12083021	3372776735	279.13
ctl1.AL1B	12083021	3833365651	317.25
ctl2.AL1B	12083021	3782946904	313.08
ctl3.C9L1	12083021	3608908167	298.68
