GENE	POSITION	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_00001	1941	1.1389	POSITION	UNK	P
CLUG_00001	1941	1.2011	A10.L4C	L	A
CLUG_00001	1941	1.4991	A11.L11G	L	A
CLUG_00001	1941	0.9152	A12.L10B	L	A
CLUG_00001	1941	0.9371	A13.L3B	L	A
CLUG_00001	1941	1.3451	A14.L4E	L	A
CLUG_00001	1941	1.3072	A15.L4G	L	A
CLUG_00001	1941	0.9173	A16.L7C	L	A
CLUG_00001	1941	0.8515	A17.L1B	L	A
CLUG_00001	1941	1.2173	A18.S4H	S	A
CLUG_00001	1941	1.4526	A19.S3B	S	A
CLUG_00001	1941	0.7449	A2.U10A	U	A
CLUG_00001	1941	1.0153	A20.S1E	S	A
CLUG_00001	1941	1.1916	A21.S8A	S	A
CLUG_00001	1941	1.1453	A22.UpperP	U	A
CLUG_00001	1941	0.9392	A23.LowerP	L	A
CLUG_00001	1941	1.2731	A24.SputuP	S	A
CLUG_00001	1941	0.9471	A3.U3G	U	A
CLUG_00001	1941	0.9012	A4.U3B	U	A
CLUG_00001	1941	1.3026	A5.U10D	U	A
CLUG_00001	1941	1.4273	A6.U5C	U	A
CLUG_00001	1941	0.8301	A7.U3E	U	A
CLUG_00001	1941	1.3155	A8.U2E	U	A
CLUG_00001	1941	1.4222	A9.L3D	L	A
CLUG_00001	1941	0.7261	ATCC42720	Blood	ATCC42720
CLUG_00001	1941	1.0702	B16.1310D	L	B
CLUG_00001	1941	0.8509	B17.1311G	L	B
CLUG_00001	1941	0.9208	B18.1312G	L	B
CLUG_00001	1941	1.3077	B19.1310A	L	B
CLUG_00001	1941	0.8654	B20.1311A	L	B
CLUG_00001	1941	0.7977	B21.1312A	L	B
CLUG_00001	1941	0.9009	B22.134E	U	B
CLUG_00001	1941	0.8122	B23.133H	U	B
CLUG_00001	1941	0.8280	B24.133F	U	B
CLUG_00001	1941	0.8593	B25.135C	U	B
CLUG_00001	1941	0.8484	B26.131A	U	B
CLUG_00001	1941	0.8065	B27.136A	U	B
CLUG_00001	1941	0.7986	B28.13UM	U	B
CLUG_00001	1941	1.2111	B29.13MM	M	B
CLUG_00001	1941	0.8990	C10.9M3	M	C
CLUG_00001	1941	1.6669	C11.9M41	M	C
CLUG_00001	1941	0.8799	C12.9U1	U	C
CLUG_00001	1941	1.5095	C13.9U2	U	C
CLUG_00001	1941	1.3800	C14.9U3	U	C
CLUG_00001	1941	0.8516	C15.9U4s	U	C
CLUG_00001	1941	1.0349	C30.13LM	L	C
CLUG_00001	1941	1.2354	C31.13MP	U	C
CLUG_00001	1941	1.1124	C4.9L1	L	C
CLUG_00001	1941	1.2401	C5.9L2	L	C
CLUG_00001	1941	1.0537	C6.9L3	L	C
CLUG_00001	1941	0.9801	C7.9L4	L	C
CLUG_00001	1941	1.0056	C8.9M1	M	C
CLUG_00001	1941	1.0221	C9.9M2	M	C
CLUG_00001	1941	1.0270	ctl1.AL1B	L	A
CLUG_00001	1941	1.0710	ctl2.AL1B	L	A
CLUG_00002	3922	1.1112	POSITION	UNK	P
CLUG_00002	3922	1.2246	A10.L4C	L	A
CLUG_00002	3922	1.3926	A11.L11G	L	A
CLUG_00002	3922	0.8793	A12.L10B	L	A
CLUG_00002	3922	0.8524	A13.L3B	L	A
CLUG_00002	3922	1.2930	A14.L4E	L	A
CLUG_00002	3922	1.2233	A15.L4G	L	A
CLUG_00002	3922	0.9331	A16.L7C	L	A
CLUG_00002	3922	0.8175	A17.L1B	L	A
CLUG_00002	3922	1.1978	A18.S4H	S	A
CLUG_00002	3922	1.4314	A19.S3B	S	A
CLUG_00002	3922	0.6932	A2.U10A	U	A
CLUG_00002	3922	0.9687	A20.S1E	S	A
CLUG_00002	3922	1.1316	A21.S8A	S	A
CLUG_00002	3922	1.1393	A22.UpperP	U	A
CLUG_00002	3922	0.9376	A23.LowerP	L	A
CLUG_00002	3922	1.2122	A24.SputuP	S	A
CLUG_00002	3922	0.9564	A3.U3G	U	A
CLUG_00002	3922	0.8541	A4.U3B	U	A
CLUG_00002	3922	1.2861	A5.U10D	U	A
CLUG_00002	3922	1.4585	A6.U5C	U	A
CLUG_00002	3922	0.8319	A7.U3E	U	A
CLUG_00002	3922	1.2852	A8.U2E	U	A
CLUG_00002	3922	1.3893	A9.L3D	L	A
CLUG_00002	3922	0.7218	ATCC42720	Blood	ATCC42720
CLUG_00002	3922	1.0413	B16.1310D	L	B
CLUG_00002	3922	0.8409	B17.1311G	L	B
CLUG_00002	3922	0.8818	B18.1312G	L	B
CLUG_00002	3922	1.2011	B19.1310A	L	B
CLUG_00002	3922	0.8218	B20.1311A	L	B
CLUG_00002	3922	0.7719	B21.1312A	L	B
CLUG_00002	3922	0.9429	B22.134E	U	B
CLUG_00002	3922	0.8144	B23.133H	U	B
CLUG_00002	3922	0.7754	B24.133F	U	B
CLUG_00002	3922	0.7967	B25.135C	U	B
CLUG_00002	3922	0.9048	B26.131A	U	B
CLUG_00002	3922	0.7790	B27.136A	U	B
CLUG_00002	3922	0.7575	B28.13UM	U	B
CLUG_00002	3922	1.1514	B29.13MM	M	B
CLUG_00002	3922	0.8899	C10.9M3	M	C
CLUG_00002	3922	1.6509	C11.9M41	M	C
CLUG_00002	3922	0.8949	C12.9U1	U	C
CLUG_00002	3922	1.4463	C13.9U2	U	C
CLUG_00002	3922	1.3344	C14.9U3	U	C
CLUG_00002	3922	0.8615	C15.9U4s	U	C
CLUG_00002	3922	1.0011	C30.13LM	L	C
CLUG_00002	3922	1.1964	C31.13MP	U	C
CLUG_00002	3922	1.0735	C4.9L1	L	C
CLUG_00002	3922	1.1761	C5.9L2	L	C
CLUG_00002	3922	1.0551	C6.9L3	L	C
CLUG_00002	3922	0.9934	C7.9L4	L	C
CLUG_00002	3922	0.9656	C8.9M1	M	C
CLUG_00002	3922	1.0348	C9.9M2	M	C
CLUG_00002	3922	1.0131	ctl1.AL1B	L	A
CLUG_00002	3922	1.0380	ctl2.AL1B	L	A
CLUG_00003	5729	1.1049	POSITION	UNK	P
CLUG_00003	5729	1.1381	A10.L4C	L	A
