GENE	POSITION	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	B29.13MM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C30.13LM	C31.13MP	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_00001	1941	143.75	188.33	176.50	136.96	133.69	190.01	162.70	92.78	110.89	267.65	201.71	90.59	145.27	324.23	448.34	112.43	133.17	106.99	100.14	651.05	252.26	133.75	170.24	232.95	242.79	370.00	313.56	329.56	405.83	268.01	248.35	291.53	264.87	235.64	283.36	282.03	200.23	212.07	306.84	256.18	562.39	312.33	571.95	471.77	277.79	360.50	342.16	344.87	423.27	307.65	302.83	280.68	324.25	321.54	319.90
CLUG_00002	3922	140.25	192.01	163.96	131.58	121.61	182.65	152.25	94.38	106.46	263.38	198.76	84.31	138.60	307.92	445.99	112.24	126.80	108.03	94.91	642.80	257.78	134.03	166.32	227.55	241.36	359.99	309.85	315.61	372.75	254.52	240.32	305.11	265.59	220.68	262.72	300.76	193.40	201.14	291.72	253.59	557.01	317.66	547.97	456.18	281.01	348.70	331.37	332.82	401.40	308.06	306.93	269.52	328.28	317.18	310.02
CLUG_00003	5729	139.46	178.45	145.24	138.60	124.76	181.09	151.90	86.75	109.70	248.80	182.36	86.81	137.44	299.05	425.26	99.30	128.43	100.51	114.92	604.95	224.61	129.53	157.77	214.30	253.08	359.98	312.61	321.98	375.22	250.44	228.30	284.26	259.19	223.21	283.01	295.28	223.82	235.23	276.99	241.88	537.16	318.27	543.33	455.98	270.38	361.22	330.86	321.60	396.28	292.81	294.88	256.39	311.10	304.87	302.15
CLUG_00004	8045	147.27	202.92	163.73	149.27	139.67	176.19	152.28	101.25	118.91	274.97	201.89	98.30	144.42	329.21	470.70	121.62	131.91	112.18	107.70	677.61	254.12	142.24	174.49	246.26	272.34	394.68	323.79	344.38	391.09	289.07	261.60	312.28	275.13	247.79	285.44	324.41	234.81	247.50	315.45	282.66	588.85	347.09	570.98	466.58	283.38	376.25	357.39	353.67	430.16	318.50	314.32	281.00	340.64	338.11	338.93
CLUG_00005	10224	155.50	189.00	177.16	142.14	133.28	185.83	152.19	106.88	128.48	284.59	194.22	89.90	140.79	334.60	488.58	117.76	144.22	110.11	103.77	671.25	266.55	143.38	176.02	247.55	265.71	390.17	342.96	338.93	388.52	264.83	254.81	312.66	284.30	240.67	286.28	312.31	206.52	223.81	300.46	275.52	579.20	365.74	576.00	460.30	283.91	358.67	346.57	349.67	432.00	313.44	319.76	277.95	342.47	317.76	314.02
CLUG_00006	11347	138.64	182.54	173.43	141.63	132.37	168.79	152.54	102.13	110.09	264.99	183.88	90.50	140.93	304.30	439.65	108.28	137.52	97.84	101.26	637.95	241.85	136.47	163.83	229.57	257.45	382.60	304.53	320.77	384.81	252.99	257.35	295.92	263.54	227.79	282.98	288.66	204.56	222.59	291.44	252.68	543.03	326.40	529.85	454.01	267.22	349.07	324.00	326.76	405.98	277.95	309.60	266.81	336.70	319.27	303.57
CLUG_00007	13298	146.44	214.29	165.80	149.02	138.86	196.46	164.80	108.51	113.26	283.72	201.69	107.07	152.80	349.30	482.27	128.79	142.20	117.43	107.52	664.44	260.89	143.68	175.15	239.55	256.83	379.60	321.61	338.54	389.56	266.72	268.13	312.44	278.90	241.42	298.88	294.73	181.91	203.43	289.60	246.67	555.91	342.48	568.47	454.31	290.52	379.60	326.98	331.76	408.48	311.38	307.45	269.65	320.28	337.02	309.43
CLUG_00008	14654	132.46	191.74	174.10	153.47	141.15	176.20	152.36	99.96	114.46	268.28	189.56	95.61	121.14	314.11	452.59	109.03	137.08	102.28	101.88	626.91	233.93	136.79	160.46	224.27	262.97	389.63	319.55	325.81	373.10	268.28	262.76	309.71	271.31	234.52	273.11	290.89	202.10	216.51	275.06	258.88	541.59	331.75	563.40	439.27	278.34	371.58	330.94	325.53	412.79	304.56	300.62	273.87	351.35	331.10	324.65
CLUG_00009	15879	144.84	202.03	152.96	135.81	132.44	170.45	153.47	101.73	106.08	252.40	181.85	91.86	138.18	302.17	440.97	116.04	131.89	96.97	113.28	618.73	236.69	137.28	161.02	244.19	258.24	360.87	325.85	333.98	381.51	275.64	259.17	309.08	266.17	218.01	271.56	310.19	195.02	209.68	287.57	265.18	541.59	338.75	532.42	460.80	281.72	367.24	351.80	344.57	407.00	299.85	295.31	280.58	320.02	308.71	299.92
CLUG_00010	16801	151.86	206.82	162.84	155.41	137.93	174.21	160.27	109.21	123.12	273.47	196.99	104.00	155.17	338.58	486.60	119.06	146.31	104.79	108.42	660.26	280.86	139.59	177.61	254.33	269.57	370.83	338.07	346.89	399.90	269.53	271.70	330.60	278.14	239.27	306.97	323.87	213.21	233.35	296.90	269.57	568.60	348.31	561.46	462.53	302.88	375.23	360.99	338.95	445.00	323.46	308.07	296.76	338.99	338.70	317.15
