GENE	POSITION	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_01210	602	1.4818	POSITION	UNK	P
CLUG_01210	602	1.3071	A10.L4C	L	A
CLUG_01210	602	1.5777	A11.L11G	L	A
CLUG_01210	602	1.4032	A12.L10B	L	A
CLUG_01210	602	1.3154	A13.L3B	L	A
CLUG_01210	602	1.4200	A14.L4E	L	A
CLUG_01210	602	1.4765	A15.L4G	L	A
CLUG_01210	602	1.3232	A16.L7C	L	A
CLUG_01210	602	1.3359	A17.L1B	L	A
CLUG_01210	602	1.4125	A18.S4H	S	A
CLUG_01210	602	1.6514	A19.S3B	S	A
CLUG_01210	602	1.4034	A2.U10A	U	A
CLUG_01210	602	1.3143	A20.S1E	S	A
CLUG_01210	602	1.4783	A21.S8A	S	A
CLUG_01210	602	1.5477	A22.UpperP	U	A
CLUG_01210	602	1.3639	A23.LowerP	L	A
CLUG_01210	602	1.4034	A24.SputuP	S	A
CLUG_01210	602	1.3781	A3.U3G	U	A
CLUG_01210	602	1.4132	A4.U3B	U	A
CLUG_01210	602	1.4199	A5.U10D	U	A
CLUG_01210	602	1.5445	A6.U5C	U	A
CLUG_01210	602	1.4019	A7.U3E	U	A
CLUG_01210	602	1.5220	A8.U2E	U	A
CLUG_01210	602	1.5425	A9.L3D	L	A
CLUG_01210	602	1.4850	ATCC42720	Blood	ATCC42720
CLUG_01210	602	1.5320	B16.1310D	L	B
CLUG_01210	602	1.5273	B17.1311G	L	B
CLUG_01210	602	1.3141	B18.1312G	L	B
CLUG_01210	602	1.6073	B19.1310A	L	B
CLUG_01210	602	1.4069	B20.1311A	L	B
CLUG_01210	602	1.3901	B21.1312A	L	B
CLUG_01210	602	1.5769	B22.134E	U	B
CLUG_01210	602	1.4190	B23.133H	U	B
CLUG_01210	602	1.4145	B24.133F	U	B
CLUG_01210	602	1.4379	B25.135C	U	B
CLUG_01210	602	1.4048	B26.131A	U	B
CLUG_01210	602	1.2459	B27.136A	U	B
CLUG_01210	602	1.2794	B28.13UM	U	B
CLUG_01210	602	1.6580	B29.13MM	M	B
CLUG_01210	602	1.7004	C10.9M3	M	C
CLUG_01210	602	1.8729	C11.9M41	M	C
CLUG_01210	602	1.4141	C12.9U1	U	C
CLUG_01210	602	1.6014	C13.9U2	U	C
CLUG_01210	602	1.3686	C14.9U3	U	C
CLUG_01210	602	1.3971	C15.9U4s	U	C
CLUG_01210	602	1.7744	C30.13LM	L	C
CLUG_01210	602	1.5131	C31.13MP	U	C
CLUG_01210	602	1.6045	C4.9L1	L	C
CLUG_01210	602	1.5743	C5.9L2	L	C
CLUG_01210	602	1.6510	C6.9L3	L	C
CLUG_01210	602	1.8005	C7.9L4	L	C
CLUG_01210	602	1.4952	C8.9M1	M	C
CLUG_01210	602	1.3100	C9.9M2	M	C
CLUG_01210	602	1.3702	ctl1.AL1B	L	A
CLUG_01210	602	1.4713	ctl2.AL1B	L	A
CLUG_01211	3191	1.5311	POSITION	UNK	P
CLUG_01211	3191	1.2737	A10.L4C	L	A
