Window	Chr	Chr_start	Chr_end	Track	Density
0	Supercontig_1.1	0	10000	Genes	4
0	Supercontig_1.1	0	10000	PopA.INDEL.lungonly	1
0	Supercontig_1.1	0	10000	PopA.INDEL.lungonly_curated	1
0	Supercontig_1.1	0	10000	PopA.SNP.lungonly	0
0	Supercontig_1.1	0	10000	PopA.SNP.lungonly_curated	0
0	Supercontig_1.1	0	10000	repeats	0
1	Supercontig_1.1	10000	20000	Genes	8
1	Supercontig_1.1	10000	20000	PopA.INDEL.lungonly	0
1	Supercontig_1.1	10000	20000	PopA.INDEL.lungonly_curated	0
1	Supercontig_1.1	10000	20000	PopA.SNP.lungonly	0
1	Supercontig_1.1	10000	20000	PopA.SNP.lungonly_curated	0
1	Supercontig_1.1	10000	20000	repeats	0
2	Supercontig_1.1	20000	30000	Genes	7
2	Supercontig_1.1	20000	30000	PopA.INDEL.lungonly	1
2	Supercontig_1.1	20000	30000	PopA.INDEL.lungonly_curated	1
2	Supercontig_1.1	20000	30000	PopA.SNP.lungonly	0
2	Supercontig_1.1	20000	30000	PopA.SNP.lungonly_curated	0
2	Supercontig_1.1	20000	30000	repeats	0
3	Supercontig_1.1	30000	40000	Genes	8
3	Supercontig_1.1	30000	40000	PopA.INDEL.lungonly	1
3	Supercontig_1.1	30000	40000	PopA.INDEL.lungonly_curated	0
3	Supercontig_1.1	30000	40000	PopA.SNP.lungonly	1
3	Supercontig_1.1	30000	40000	PopA.SNP.lungonly_curated	1
3	Supercontig_1.1	30000	40000	repeats	0
4	Supercontig_1.1	40000	50000	Genes	3
4	Supercontig_1.1	40000	50000	PopA.INDEL.lungonly	4
4	Supercontig_1.1	40000	50000	PopA.INDEL.lungonly_curated	0
4	Supercontig_1.1	40000	50000	PopA.SNP.lungonly	0
4	Supercontig_1.1	40000	50000	PopA.SNP.lungonly_curated	0
4	Supercontig_1.1	40000	50000	repeats	0
5	Supercontig_1.1	50000	60000	Genes	7
5	Supercontig_1.1	50000	60000	PopA.INDEL.lungonly	2
5	Supercontig_1.1	50000	60000	PopA.INDEL.lungonly_curated	0
5	Supercontig_1.1	50000	60000	PopA.SNP.lungonly	1
5	Supercontig_1.1	50000	60000	PopA.SNP.lungonly_curated	0
5	Supercontig_1.1	50000	60000	repeats	0
6	Supercontig_1.1	60000	70000	Genes	3
6	Supercontig_1.1	60000	70000	PopA.INDEL.lungonly	0
6	Supercontig_1.1	60000	70000	PopA.INDEL.lungonly_curated	0
6	Supercontig_1.1	60000	70000	PopA.SNP.lungonly	0
6	Supercontig_1.1	60000	70000	PopA.SNP.lungonly_curated	0
6	Supercontig_1.1	60000	70000	repeats	0
7	Supercontig_1.1	70000	80000	Genes	7
7	Supercontig_1.1	70000	80000	PopA.INDEL.lungonly	0
7	Supercontig_1.1	70000	80000	PopA.INDEL.lungonly_curated	0
7	Supercontig_1.1	70000	80000	PopA.SNP.lungonly	1
7	Supercontig_1.1	70000	80000	PopA.SNP.lungonly_curated	1
7	Supercontig_1.1	70000	80000	repeats	0
8	Supercontig_1.1	80000	90000	Genes	6
8	Supercontig_1.1	80000	90000	PopA.INDEL.lungonly	0
8	Supercontig_1.1	80000	90000	PopA.INDEL.lungonly_curated	0
8	Supercontig_1.1	80000	90000	PopA.SNP.lungonly	0
8	Supercontig_1.1	80000	90000	PopA.SNP.lungonly_curated	0
8	Supercontig_1.1	80000	90000	repeats	0
9	Supercontig_1.1	90000	100000	Genes	6
9	Supercontig_1.1	90000	100000	PopA.INDEL.lungonly	1
9	Supercontig_1.1	90000	100000	PopA.INDEL.lungonly_curated	1
9	Supercontig_1.1	90000	100000	PopA.SNP.lungonly	1
9	Supercontig_1.1	90000	100000	PopA.SNP.lungonly_curated	1
9	Supercontig_1.1	90000	100000	repeats	0
10	Supercontig_1.1	100000	110000	Genes	5
10	Supercontig_1.1	100000	110000	PopA.INDEL.lungonly	1
10	Supercontig_1.1	100000	110000	PopA.INDEL.lungonly_curated	1
10	Supercontig_1.1	100000	110000	PopA.SNP.lungonly	1
10	Supercontig_1.1	100000	110000	PopA.SNP.lungonly_curated	1
10	Supercontig_1.1	100000	110000	repeats	0
11	Supercontig_1.1	110000	120000	Genes	6
11	Supercontig_1.1	110000	120000	PopA.INDEL.lungonly	0
11	Supercontig_1.1	110000	120000	PopA.INDEL.lungonly_curated	0
11	Supercontig_1.1	110000	120000	PopA.SNP.lungonly	0
11	Supercontig_1.1	110000	120000	PopA.SNP.lungonly_curated	0
11	Supercontig_1.1	110000	120000	repeats	0
12	Supercontig_1.1	120000	130000	Genes	6
12	Supercontig_1.1	120000	130000	PopA.INDEL.lungonly	0
12	Supercontig_1.1	120000	130000	PopA.INDEL.lungonly_curated	0
12	Supercontig_1.1	120000	130000	PopA.SNP.lungonly	0
12	Supercontig_1.1	120000	130000	PopA.SNP.lungonly_curated	0
12	Supercontig_1.1	120000	130000	repeats	0
13	Supercontig_1.1	130000	140000	Genes	5
13	Supercontig_1.1	130000	140000	PopA.INDEL.lungonly	0
13	Supercontig_1.1	130000	140000	PopA.INDEL.lungonly_curated	0
13	Supercontig_1.1	130000	140000	PopA.SNP.lungonly	1
13	Supercontig_1.1	130000	140000	PopA.SNP.lungonly_curated	1
13	Supercontig_1.1	130000	140000	repeats	0
14	Supercontig_1.1	140000	150000	Genes	4
14	Supercontig_1.1	140000	150000	PopA.INDEL.lungonly	0
14	Supercontig_1.1	140000	150000	PopA.INDEL.lungonly_curated	0
14	Supercontig_1.1	140000	150000	PopA.SNP.lungonly	0
14	Supercontig_1.1	140000	150000	PopA.SNP.lungonly_curated	0
14	Supercontig_1.1	140000	150000	repeats	0
15	Supercontig_1.1	150000	160000	Genes	6
15	Supercontig_1.1	150000	160000	PopA.INDEL.lungonly	0
15	Supercontig_1.1	150000	160000	PopA.INDEL.lungonly_curated	0
15	Supercontig_1.1	150000	160000	PopA.SNP.lungonly	0
15	Supercontig_1.1	150000	160000	PopA.SNP.lungonly_curated	0
15	Supercontig_1.1	150000	160000	repeats	0
16	Supercontig_1.1	160000	170000	Genes	6
16	Supercontig_1.1	160000	170000	PopA.INDEL.lungonly	0
16	Supercontig_1.1	160000	170000	PopA.INDEL.lungonly_curated	0
16	Supercontig_1.1	160000	170000	PopA.SNP.lungonly	0
16	Supercontig_1.1	160000	170000	PopA.SNP.lungonly_curated	0
16	Supercontig_1.1	160000	170000	repeats	0
17	Supercontig_1.1	170000	180000	Genes	5
17	Supercontig_1.1	170000	180000	PopA.INDEL.lungonly	0
17	Supercontig_1.1	170000	180000	PopA.INDEL.lungonly_curated	0
17	Supercontig_1.1	170000	180000	PopA.SNP.lungonly	0
17	Supercontig_1.1	170000	180000	PopA.SNP.lungonly_curated	0
17	Supercontig_1.1	170000	180000	repeats	0
18	Supercontig_1.1	180000	190000	Genes	6
18	Supercontig_1.1	180000	190000	PopA.INDEL.lungonly	1
18	Supercontig_1.1	180000	190000	PopA.INDEL.lungonly_curated	1
18	Supercontig_1.1	180000	190000	PopA.SNP.lungonly	1
18	Supercontig_1.1	180000	190000	PopA.SNP.lungonly_curated	1
18	Supercontig_1.1	180000	190000	repeats	2
19	Supercontig_1.1	190000	200000	Genes	5
19	Supercontig_1.1	190000	200000	PopA.INDEL.lungonly	0
19	Supercontig_1.1	190000	200000	PopA.INDEL.lungonly_curated	0
19	Supercontig_1.1	190000	200000	PopA.SNP.lungonly	0
19	Supercontig_1.1	190000	200000	PopA.SNP.lungonly_curated	0
19	Supercontig_1.1	190000	200000	repeats	0
20	Supercontig_1.1	200000	210000	Genes	6
20	Supercontig_1.1	200000	210000	PopA.INDEL.lungonly	2
20	Supercontig_1.1	200000	210000	PopA.INDEL.lungonly_curated	0
20	Supercontig_1.1	200000	210000	PopA.SNP.lungonly	0
20	Supercontig_1.1	200000	210000	PopA.SNP.lungonly_curated	0
20	Supercontig_1.1	200000	210000	repeats	0
21	Supercontig_1.1	210000	220000	Genes	6
21	Supercontig_1.1	210000	220000	PopA.INDEL.lungonly	0
21	Supercontig_1.1	210000	220000	PopA.INDEL.lungonly_curated	0
21	Supercontig_1.1	210000	220000	PopA.SNP.lungonly	0
21	Supercontig_1.1	210000	220000	PopA.SNP.lungonly_curated	0
21	Supercontig_1.1	210000	220000	repeats	0
22	Supercontig_1.1	220000	230000	Genes	6
22	Supercontig_1.1	220000	230000	PopA.INDEL.lungonly	0
22	Supercontig_1.1	220000	230000	PopA.INDEL.lungonly_curated	0
22	Supercontig_1.1	220000	230000	PopA.SNP.lungonly	0
22	Supercontig_1.1	220000	230000	PopA.SNP.lungonly_curated	0
22	Supercontig_1.1	220000	230000	repeats	0
23	Supercontig_1.1	230000	240000	Genes	6
23	Supercontig_1.1	230000	240000	PopA.INDEL.lungonly	0
23	Supercontig_1.1	230000	240000	PopA.INDEL.lungonly_curated	0
23	Supercontig_1.1	230000	240000	PopA.SNP.lungonly	1
23	Supercontig_1.1	230000	240000	PopA.SNP.lungonly_curated	1
23	Supercontig_1.1	230000	240000	repeats	0
24	Supercontig_1.1	240000	250000	Genes	7
24	Supercontig_1.1	240000	250000	PopA.INDEL.lungonly	0
24	Supercontig_1.1	240000	250000	PopA.INDEL.lungonly_curated	0
24	Supercontig_1.1	240000	250000	PopA.SNP.lungonly	0
24	Supercontig_1.1	240000	250000	PopA.SNP.lungonly_curated	0
24	Supercontig_1.1	240000	250000	repeats	0
25	Supercontig_1.1	250000	260000	Genes	6
25	Supercontig_1.1	250000	260000	PopA.INDEL.lungonly	2
25	Supercontig_1.1	250000	260000	PopA.INDEL.lungonly_curated	2
25	Supercontig_1.1	250000	260000	PopA.SNP.lungonly	1
25	Supercontig_1.1	250000	260000	PopA.SNP.lungonly_curated	0
25	Supercontig_1.1	250000	260000	repeats	6
26	Supercontig_1.1	260000	270000	Genes	5
26	Supercontig_1.1	260000	270000	PopA.INDEL.lungonly	1
26	Supercontig_1.1	260000	270000	PopA.INDEL.lungonly_curated	1
26	Supercontig_1.1	260000	270000	PopA.SNP.lungonly	0
26	Supercontig_1.1	260000	270000	PopA.SNP.lungonly_curated	0
26	Supercontig_1.1	260000	270000	repeats	0
27	Supercontig_1.1	270000	280000	Genes	6
27	Supercontig_1.1	270000	280000	PopA.INDEL.lungonly	0
27	Supercontig_1.1	270000	280000	PopA.INDEL.lungonly_curated	0
27	Supercontig_1.1	270000	280000	PopA.SNP.lungonly	0
27	Supercontig_1.1	270000	280000	PopA.SNP.lungonly_curated	0
27	Supercontig_1.1	270000	280000	repeats	0
28	Supercontig_1.1	280000	290000	Genes	7
28	Supercontig_1.1	280000	290000	PopA.INDEL.lungonly	0
28	Supercontig_1.1	280000	290000	PopA.INDEL.lungonly_curated	0
28	Supercontig_1.1	280000	290000	PopA.SNP.lungonly	1
28	Supercontig_1.1	280000	290000	PopA.SNP.lungonly_curated	1
28	Supercontig_1.1	280000	290000	repeats	0
29	Supercontig_1.1	290000	300000	Genes	8
29	Supercontig_1.1	290000	300000	PopA.INDEL.lungonly	0
29	Supercontig_1.1	290000	300000	PopA.INDEL.lungonly_curated	0
29	Supercontig_1.1	290000	300000	PopA.SNP.lungonly	1
29	Supercontig_1.1	290000	300000	PopA.SNP.lungonly_curated	0
29	Supercontig_1.1	290000	300000	repeats	1
30	Supercontig_1.1	300000	310000	Genes	6
30	Supercontig_1.1	300000	310000	PopA.INDEL.lungonly	0
30	Supercontig_1.1	300000	310000	PopA.INDEL.lungonly_curated	0
30	Supercontig_1.1	300000	310000	PopA.SNP.lungonly	0
30	Supercontig_1.1	300000	310000	PopA.SNP.lungonly_curated	0
30	Supercontig_1.1	300000	310000	repeats	0
31	Supercontig_1.1	310000	320000	Genes	4
31	Supercontig_1.1	310000	320000	PopA.INDEL.lungonly	1
31	Supercontig_1.1	310000	320000	PopA.INDEL.lungonly_curated	1
31	Supercontig_1.1	310000	320000	PopA.SNP.lungonly	0
31	Supercontig_1.1	310000	320000	PopA.SNP.lungonly_curated	0
31	Supercontig_1.1	310000	320000	repeats	2
32	Supercontig_1.1	320000	330000	Genes	5
32	Supercontig_1.1	320000	330000	PopA.INDEL.lungonly	1
32	Supercontig_1.1	320000	330000	PopA.INDEL.lungonly_curated	0
32	Supercontig_1.1	320000	330000	PopA.SNP.lungonly	1
32	Supercontig_1.1	320000	330000	PopA.SNP.lungonly_curated	1
32	Supercontig_1.1	320000	330000	repeats	0
33	Supercontig_1.1	330000	340000	Genes	4
33	Supercontig_1.1	330000	340000	PopA.INDEL.lungonly	0
33	Supercontig_1.1	330000	340000	PopA.INDEL.lungonly_curated	0
33	Supercontig_1.1	330000	340000	PopA.SNP.lungonly	0
33	Supercontig_1.1	330000	340000	PopA.SNP.lungonly_curated	0
33	Supercontig_1.1	330000	340000	repeats	0
34	Supercontig_1.1	340000	350000	Genes	5
34	Supercontig_1.1	340000	350000	PopA.INDEL.lungonly	0
34	Supercontig_1.1	340000	350000	PopA.INDEL.lungonly_curated	0
34	Supercontig_1.1	340000	350000	PopA.SNP.lungonly	0
34	Supercontig_1.1	340000	350000	PopA.SNP.lungonly_curated	0
34	Supercontig_1.1	340000	350000	repeats	0
35	Supercontig_1.1	350000	360000	Genes	4
35	Supercontig_1.1	350000	360000	PopA.INDEL.lungonly	0
35	Supercontig_1.1	350000	360000	PopA.INDEL.lungonly_curated	0
35	Supercontig_1.1	350000	360000	PopA.SNP.lungonly	1
35	Supercontig_1.1	350000	360000	PopA.SNP.lungonly_curated	1
35	Supercontig_1.1	350000	360000	repeats	1
36	Supercontig_1.1	360000	370000	Genes	4
36	Supercontig_1.1	360000	370000	PopA.INDEL.lungonly	1
36	Supercontig_1.1	360000	370000	PopA.INDEL.lungonly_curated	0
36	Supercontig_1.1	360000	370000	PopA.SNP.lungonly	0
36	Supercontig_1.1	360000	370000	PopA.SNP.lungonly_curated	0
36	Supercontig_1.1	360000	370000	repeats	0
37	Supercontig_1.1	370000	380000	Genes	7
37	Supercontig_1.1	370000	380000	PopA.INDEL.lungonly	2
37	Supercontig_1.1	370000	380000	PopA.INDEL.lungonly_curated	2
37	Supercontig_1.1	370000	380000	PopA.SNP.lungonly	0
37	Supercontig_1.1	370000	380000	PopA.SNP.lungonly_curated	0
37	Supercontig_1.1	370000	380000	repeats	0
38	Supercontig_1.1	380000	390000	Genes	4
38	Supercontig_1.1	380000	390000	PopA.INDEL.lungonly	6
38	Supercontig_1.1	380000	390000	PopA.INDEL.lungonly_curated	0
38	Supercontig_1.1	380000	390000	PopA.SNP.lungonly	2
38	Supercontig_1.1	380000	390000	PopA.SNP.lungonly_curated	1
38	Supercontig_1.1	380000	390000	repeats	0
39	Supercontig_1.1	390000	400000	Genes	5
39	Supercontig_1.1	390000	400000	PopA.INDEL.lungonly	0
39	Supercontig_1.1	390000	400000	PopA.INDEL.lungonly_curated	0
39	Supercontig_1.1	390000	400000	PopA.SNP.lungonly	0
39	Supercontig_1.1	390000	400000	PopA.SNP.lungonly_curated	0
39	Supercontig_1.1	390000	400000	repeats	0
40	Supercontig_1.1	400000	410000	Genes	4
40	Supercontig_1.1	400000	410000	PopA.INDEL.lungonly	0
40	Supercontig_1.1	400000	410000	PopA.INDEL.lungonly_curated	0
40	Supercontig_1.1	400000	410000	PopA.SNP.lungonly	3
40	Supercontig_1.1	400000	410000	PopA.SNP.lungonly_curated	3
40	Supercontig_1.1	400000	410000	repeats	0
41	Supercontig_1.1	410000	420000	Genes	4
41	Supercontig_1.1	410000	420000	PopA.INDEL.lungonly	1
41	Supercontig_1.1	410000	420000	PopA.INDEL.lungonly_curated	0
41	Supercontig_1.1	410000	420000	PopA.SNP.lungonly	2
41	Supercontig_1.1	410000	420000	PopA.SNP.lungonly_curated	0
41	Supercontig_1.1	410000	420000	repeats	0
42	Supercontig_1.1	420000	430000	Genes	5
42	Supercontig_1.1	420000	430000	PopA.INDEL.lungonly	1
42	Supercontig_1.1	420000	430000	PopA.INDEL.lungonly_curated	1
42	Supercontig_1.1	420000	430000	PopA.SNP.lungonly	2
42	Supercontig_1.1	420000	430000	PopA.SNP.lungonly_curated	0
42	Supercontig_1.1	420000	430000	repeats	1
43	Supercontig_1.1	430000	440000	Genes	6
43	Supercontig_1.1	430000	440000	PopA.INDEL.lungonly	1
43	Supercontig_1.1	430000	440000	PopA.INDEL.lungonly_curated	0
43	Supercontig_1.1	430000	440000	PopA.SNP.lungonly	0
43	Supercontig_1.1	430000	440000	PopA.SNP.lungonly_curated	0
43	Supercontig_1.1	430000	440000	repeats	0
44	Supercontig_1.1	440000	450000	Genes	5
44	Supercontig_1.1	440000	450000	PopA.INDEL.lungonly	0
44	Supercontig_1.1	440000	450000	PopA.INDEL.lungonly_curated	0
44	Supercontig_1.1	440000	450000	PopA.SNP.lungonly	0
44	Supercontig_1.1	440000	450000	PopA.SNP.lungonly_curated	0
44	Supercontig_1.1	440000	450000	repeats	0
45	Supercontig_1.1	450000	460000	Genes	7
45	Supercontig_1.1	450000	460000	PopA.INDEL.lungonly	1
45	Supercontig_1.1	450000	460000	PopA.INDEL.lungonly_curated	1
45	Supercontig_1.1	450000	460000	PopA.SNP.lungonly	0
45	Supercontig_1.1	450000	460000	PopA.SNP.lungonly_curated	0
45	Supercontig_1.1	450000	460000	repeats	0
46	Supercontig_1.1	460000	470000	Genes	8
46	Supercontig_1.1	460000	470000	PopA.INDEL.lungonly	0
46	Supercontig_1.1	460000	470000	PopA.INDEL.lungonly_curated	0
46	Supercontig_1.1	460000	470000	PopA.SNP.lungonly	0
46	Supercontig_1.1	460000	470000	PopA.SNP.lungonly_curated	0
46	Supercontig_1.1	460000	470000	repeats	0
47	Supercontig_1.1	470000	480000	Genes	8
47	Supercontig_1.1	470000	480000	PopA.INDEL.lungonly	0
47	Supercontig_1.1	470000	480000	PopA.INDEL.lungonly_curated	0
47	Supercontig_1.1	470000	480000	PopA.SNP.lungonly	0
47	Supercontig_1.1	470000	480000	PopA.SNP.lungonly_curated	0
47	Supercontig_1.1	470000	480000	repeats	2
48	Supercontig_1.1	480000	490000	Genes	4
48	Supercontig_1.1	480000	490000	PopA.INDEL.lungonly	1
48	Supercontig_1.1	480000	490000	PopA.INDEL.lungonly_curated	0
48	Supercontig_1.1	480000	490000	PopA.SNP.lungonly	0
48	Supercontig_1.1	480000	490000	PopA.SNP.lungonly_curated	0
48	Supercontig_1.1	480000	490000	repeats	1
49	Supercontig_1.1	490000	500000	Genes	6
49	Supercontig_1.1	490000	500000	PopA.INDEL.lungonly	0
49	Supercontig_1.1	490000	500000	PopA.INDEL.lungonly_curated	0
49	Supercontig_1.1	490000	500000	PopA.SNP.lungonly	0
49	Supercontig_1.1	490000	500000	PopA.SNP.lungonly_curated	0
49	Supercontig_1.1	490000	500000	repeats	1
50	Supercontig_1.1	500000	510000	Genes	8
50	Supercontig_1.1	500000	510000	PopA.INDEL.lungonly	0
50	Supercontig_1.1	500000	510000	PopA.INDEL.lungonly_curated	0
50	Supercontig_1.1	500000	510000	PopA.SNP.lungonly	1
50	Supercontig_1.1	500000	510000	PopA.SNP.lungonly_curated	1
50	Supercontig_1.1	500000	510000	repeats	0
51	Supercontig_1.1	510000	520000	Genes	4
51	Supercontig_1.1	510000	520000	PopA.INDEL.lungonly	0
51	Supercontig_1.1	510000	520000	PopA.INDEL.lungonly_curated	0
51	Supercontig_1.1	510000	520000	PopA.SNP.lungonly	0
51	Supercontig_1.1	510000	520000	PopA.SNP.lungonly_curated	0
51	Supercontig_1.1	510000	520000	repeats	0
52	Supercontig_1.1	520000	530000	Genes	5
52	Supercontig_1.1	520000	530000	PopA.INDEL.lungonly	0
52	Supercontig_1.1	520000	530000	PopA.INDEL.lungonly_curated	0
52	Supercontig_1.1	520000	530000	PopA.SNP.lungonly	2
52	Supercontig_1.1	520000	530000	PopA.SNP.lungonly_curated	2
52	Supercontig_1.1	520000	530000	repeats	0
53	Supercontig_1.1	530000	540000	Genes	8
53	Supercontig_1.1	530000	540000	PopA.INDEL.lungonly	0
53	Supercontig_1.1	530000	540000	PopA.INDEL.lungonly_curated	0
53	Supercontig_1.1	530000	540000	PopA.SNP.lungonly	1
53	Supercontig_1.1	530000	540000	PopA.SNP.lungonly_curated	1
53	Supercontig_1.1	530000	540000	repeats	0
54	Supercontig_1.1	540000	550000	Genes	7
54	Supercontig_1.1	540000	550000	PopA.INDEL.lungonly	0
54	Supercontig_1.1	540000	550000	PopA.INDEL.lungonly_curated	0
54	Supercontig_1.1	540000	550000	PopA.SNP.lungonly	0
54	Supercontig_1.1	540000	550000	PopA.SNP.lungonly_curated	0
54	Supercontig_1.1	540000	550000	repeats	0
55	Supercontig_1.1	550000	560000	Genes	5
55	Supercontig_1.1	550000	560000	PopA.INDEL.lungonly	0
55	Supercontig_1.1	550000	560000	PopA.INDEL.lungonly_curated	0
55	Supercontig_1.1	550000	560000	PopA.SNP.lungonly	0
55	Supercontig_1.1	550000	560000	PopA.SNP.lungonly_curated	0
55	Supercontig_1.1	550000	560000	repeats	1
56	Supercontig_1.1	560000	570000	Genes	6
56	Supercontig_1.1	560000	570000	PopA.INDEL.lungonly	2
56	Supercontig_1.1	560000	570000	PopA.INDEL.lungonly_curated	2
56	Supercontig_1.1	560000	570000	PopA.SNP.lungonly	3
56	Supercontig_1.1	560000	570000	PopA.SNP.lungonly_curated	2
56	Supercontig_1.1	560000	570000	repeats	0
57	Supercontig_1.1	570000	580000	Genes	8
57	Supercontig_1.1	570000	580000	PopA.INDEL.lungonly	0
57	Supercontig_1.1	570000	580000	PopA.INDEL.lungonly_curated	0
57	Supercontig_1.1	570000	580000	PopA.SNP.lungonly	1
57	Supercontig_1.1	570000	580000	PopA.SNP.lungonly_curated	1
57	Supercontig_1.1	570000	580000	repeats	0
58	Supercontig_1.1	580000	590000	Genes	6
58	Supercontig_1.1	580000	590000	PopA.INDEL.lungonly	1
58	Supercontig_1.1	580000	590000	PopA.INDEL.lungonly_curated	0
58	Supercontig_1.1	580000	590000	PopA.SNP.lungonly	0
58	Supercontig_1.1	580000	590000	PopA.SNP.lungonly_curated	0
58	Supercontig_1.1	580000	590000	repeats	0
59	Supercontig_1.1	590000	600000	Genes	5
59	Supercontig_1.1	590000	600000	PopA.INDEL.lungonly	1
59	Supercontig_1.1	590000	600000	PopA.INDEL.lungonly_curated	0
59	Supercontig_1.1	590000	600000	PopA.SNP.lungonly	0
59	Supercontig_1.1	590000	600000	PopA.SNP.lungonly_curated	0
59	Supercontig_1.1	590000	600000	repeats	0
60	Supercontig_1.1	600000	610000	Genes	7
60	Supercontig_1.1	600000	610000	PopA.INDEL.lungonly	1
60	Supercontig_1.1	600000	610000	PopA.INDEL.lungonly_curated	0
60	Supercontig_1.1	600000	610000	PopA.SNP.lungonly	0
60	Supercontig_1.1	600000	610000	PopA.SNP.lungonly_curated	0
60	Supercontig_1.1	600000	610000	repeats	0
61	Supercontig_1.1	610000	620000	Genes	3
61	Supercontig_1.1	610000	620000	PopA.INDEL.lungonly	2
61	Supercontig_1.1	610000	620000	PopA.INDEL.lungonly_curated	0
61	Supercontig_1.1	610000	620000	PopA.SNP.lungonly	0
61	Supercontig_1.1	610000	620000	PopA.SNP.lungonly_curated	0
61	Supercontig_1.1	610000	620000	repeats	0
62	Supercontig_1.1	620000	630000	Genes	3
62	Supercontig_1.1	620000	630000	PopA.INDEL.lungonly	1
62	Supercontig_1.1	620000	630000	PopA.INDEL.lungonly_curated	0
62	Supercontig_1.1	620000	630000	PopA.SNP.lungonly	0
62	Supercontig_1.1	620000	630000	PopA.SNP.lungonly_curated	0
62	Supercontig_1.1	620000	630000	repeats	1
63	Supercontig_1.1	630000	640000	Genes	5
63	Supercontig_1.1	630000	640000	PopA.INDEL.lungonly	0
63	Supercontig_1.1	630000	640000	PopA.INDEL.lungonly_curated	0
63	Supercontig_1.1	630000	640000	PopA.SNP.lungonly	0
63	Supercontig_1.1	630000	640000	PopA.SNP.lungonly_curated	0
63	Supercontig_1.1	630000	640000	repeats	0
64	Supercontig_1.1	640000	650000	Genes	6
64	Supercontig_1.1	640000	650000	PopA.INDEL.lungonly	1
64	Supercontig_1.1	640000	650000	PopA.INDEL.lungonly_curated	1
