Window	Chr	Chr_start	Chr_end	Track	Density
0	Supercontig_1.1	0	50000	Genes	28
0	Supercontig_1.1	0	50000	PopA.INDEL.lungonly	7
0	Supercontig_1.1	0	50000	PopA.INDEL.lungonly_curated	2
0	Supercontig_1.1	0	50000	PopA.SNP.lungonly	1
0	Supercontig_1.1	0	50000	PopA.SNP.lungonly_curated	1
0	Supercontig_1.1	0	50000	repeats	0
1	Supercontig_1.1	50000	100000	Genes	25
1	Supercontig_1.1	50000	100000	PopA.INDEL.lungonly	3
1	Supercontig_1.1	50000	100000	PopA.INDEL.lungonly_curated	1
1	Supercontig_1.1	50000	100000	PopA.SNP.lungonly	3
1	Supercontig_1.1	50000	100000	PopA.SNP.lungonly_curated	2
1	Supercontig_1.1	50000	100000	repeats	0
2	Supercontig_1.1	100000	150000	Genes	25
2	Supercontig_1.1	100000	150000	PopA.INDEL.lungonly	1
2	Supercontig_1.1	100000	150000	PopA.INDEL.lungonly_curated	1
2	Supercontig_1.1	100000	150000	PopA.SNP.lungonly	2
2	Supercontig_1.1	100000	150000	PopA.SNP.lungonly_curated	2
2	Supercontig_1.1	100000	150000	repeats	0
3	Supercontig_1.1	150000	200000	Genes	26
3	Supercontig_1.1	150000	200000	PopA.INDEL.lungonly	1
3	Supercontig_1.1	150000	200000	PopA.INDEL.lungonly_curated	1
3	Supercontig_1.1	150000	200000	PopA.SNP.lungonly	1
3	Supercontig_1.1	150000	200000	PopA.SNP.lungonly_curated	1
3	Supercontig_1.1	150000	200000	repeats	2
4	Supercontig_1.1	200000	250000	Genes	28
4	Supercontig_1.1	200000	250000	PopA.INDEL.lungonly	2
4	Supercontig_1.1	200000	250000	PopA.INDEL.lungonly_curated	0
4	Supercontig_1.1	200000	250000	PopA.SNP.lungonly	1
4	Supercontig_1.1	200000	250000	PopA.SNP.lungonly_curated	1
4	Supercontig_1.1	200000	250000	repeats	0
5	Supercontig_1.1	250000	300000	Genes	28
5	Supercontig_1.1	250000	300000	PopA.INDEL.lungonly	3
5	Supercontig_1.1	250000	300000	PopA.INDEL.lungonly_curated	3
5	Supercontig_1.1	250000	300000	PopA.SNP.lungonly	3
5	Supercontig_1.1	250000	300000	PopA.SNP.lungonly_curated	1
5	Supercontig_1.1	250000	300000	repeats	7
6	Supercontig_1.1	300000	350000	Genes	21
6	Supercontig_1.1	300000	350000	PopA.INDEL.lungonly	2
6	Supercontig_1.1	300000	350000	PopA.INDEL.lungonly_curated	1
6	Supercontig_1.1	300000	350000	PopA.SNP.lungonly	1
6	Supercontig_1.1	300000	350000	PopA.SNP.lungonly_curated	1
6	Supercontig_1.1	300000	350000	repeats	2
7	Supercontig_1.1	350000	400000	Genes	23
7	Supercontig_1.1	350000	400000	PopA.INDEL.lungonly	9
7	Supercontig_1.1	350000	400000	PopA.INDEL.lungonly_curated	2
7	Supercontig_1.1	350000	400000	PopA.SNP.lungonly	3
7	Supercontig_1.1	350000	400000	PopA.SNP.lungonly_curated	2
7	Supercontig_1.1	350000	400000	repeats	1
8	Supercontig_1.1	400000	450000	Genes	23
8	Supercontig_1.1	400000	450000	PopA.INDEL.lungonly	3
8	Supercontig_1.1	400000	450000	PopA.INDEL.lungonly_curated	1
8	Supercontig_1.1	400000	450000	PopA.SNP.lungonly	7
8	Supercontig_1.1	400000	450000	PopA.SNP.lungonly_curated	3
8	Supercontig_1.1	400000	450000	repeats	1
9	Supercontig_1.1	450000	500000	Genes	30
9	Supercontig_1.1	450000	500000	PopA.INDEL.lungonly	2
9	Supercontig_1.1	450000	500000	PopA.INDEL.lungonly_curated	1
9	Supercontig_1.1	450000	500000	PopA.SNP.lungonly	0
9	Supercontig_1.1	450000	500000	PopA.SNP.lungonly_curated	0
9	Supercontig_1.1	450000	500000	repeats	4
10	Supercontig_1.1	500000	550000	Genes	29
10	Supercontig_1.1	500000	550000	PopA.INDEL.lungonly	0
10	Supercontig_1.1	500000	550000	PopA.INDEL.lungonly_curated	0
10	Supercontig_1.1	500000	550000	PopA.SNP.lungonly	4
10	Supercontig_1.1	500000	550000	PopA.SNP.lungonly_curated	4
10	Supercontig_1.1	500000	550000	repeats	0
11	Supercontig_1.1	550000	600000	Genes	26
11	Supercontig_1.1	550000	600000	PopA.INDEL.lungonly	4
11	Supercontig_1.1	550000	600000	PopA.INDEL.lungonly_curated	2
11	Supercontig_1.1	550000	600000	PopA.SNP.lungonly	4
11	Supercontig_1.1	550000	600000	PopA.SNP.lungonly_curated	3
11	Supercontig_1.1	550000	600000	repeats	1
12	Supercontig_1.1	600000	650000	Genes	23
12	Supercontig_1.1	600000	650000	PopA.INDEL.lungonly	5
12	Supercontig_1.1	600000	650000	PopA.INDEL.lungonly_curated	1
12	Supercontig_1.1	600000	650000	PopA.SNP.lungonly	0
12	Supercontig_1.1	600000	650000	PopA.SNP.lungonly_curated	0
12	Supercontig_1.1	600000	650000	repeats	1
13	Supercontig_1.1	650000	700000	Genes	25
13	Supercontig_1.1	650000	700000	PopA.INDEL.lungonly	2
13	Supercontig_1.1	650000	700000	PopA.INDEL.lungonly_curated	2
13	Supercontig_1.1	650000	700000	PopA.SNP.lungonly	3
13	Supercontig_1.1	650000	700000	PopA.SNP.lungonly_curated	3
13	Supercontig_1.1	650000	700000	repeats	2
14	Supercontig_1.1	700000	750000	Genes	29
14	Supercontig_1.1	700000	750000	PopA.INDEL.lungonly	9
14	Supercontig_1.1	700000	750000	PopA.INDEL.lungonly_curated	4
14	Supercontig_1.1	700000	750000	PopA.SNP.lungonly	3
14	Supercontig_1.1	700000	750000	PopA.SNP.lungonly_curated	2
14	Supercontig_1.1	700000	750000	repeats	0
15	Supercontig_1.1	750000	800000	Genes	26
15	Supercontig_1.1	750000	800000	PopA.INDEL.lungonly	6
15	Supercontig_1.1	750000	800000	PopA.INDEL.lungonly_curated	1
15	Supercontig_1.1	750000	800000	PopA.SNP.lungonly	4
15	Supercontig_1.1	750000	800000	PopA.SNP.lungonly_curated	1
15	Supercontig_1.1	750000	800000	repeats	1
16	Supercontig_1.1	800000	850000	Genes	24
16	Supercontig_1.1	800000	850000	PopA.INDEL.lungonly	3
16	Supercontig_1.1	800000	850000	PopA.INDEL.lungonly_curated	0
16	Supercontig_1.1	800000	850000	PopA.SNP.lungonly	2
16	Supercontig_1.1	800000	850000	PopA.SNP.lungonly_curated	1
16	Supercontig_1.1	800000	850000	repeats	3
17	Supercontig_1.1	850000	900000	Genes	19
17	Supercontig_1.1	850000	900000	PopA.INDEL.lungonly	11
17	Supercontig_1.1	850000	900000	PopA.INDEL.lungonly_curated	3
17	Supercontig_1.1	850000	900000	PopA.SNP.lungonly	2
17	Supercontig_1.1	850000	900000	PopA.SNP.lungonly_curated	1
17	Supercontig_1.1	850000	900000	repeats	0
18	Supercontig_1.1	900000	950000	Genes	22
18	Supercontig_1.1	900000	950000	PopA.INDEL.lungonly	23
18	Supercontig_1.1	900000	950000	PopA.INDEL.lungonly_curated	5
18	Supercontig_1.1	900000	950000	PopA.SNP.lungonly	3
18	Supercontig_1.1	900000	950000	PopA.SNP.lungonly_curated	1
18	Supercontig_1.1	900000	950000	repeats	1
19	Supercontig_1.1	950000	1000000	Genes	26
19	Supercontig_1.1	950000	1000000	PopA.INDEL.lungonly	15
19	Supercontig_1.1	950000	1000000	PopA.INDEL.lungonly_curated	2
19	Supercontig_1.1	950000	1000000	PopA.SNP.lungonly	2
19	Supercontig_1.1	950000	1000000	PopA.SNP.lungonly_curated	1
19	Supercontig_1.1	950000	1000000	repeats	1
20	Supercontig_1.1	1000000	1050000	Genes	27
20	Supercontig_1.1	1000000	1050000	PopA.INDEL.lungonly	9
20	Supercontig_1.1	1000000	1050000	PopA.INDEL.lungonly_curated	5
20	Supercontig_1.1	1000000	1050000	PopA.SNP.lungonly	2
20	Supercontig_1.1	1000000	1050000	PopA.SNP.lungonly_curated	2
20	Supercontig_1.1	1000000	1050000	repeats	2
21	Supercontig_1.1	1050000	1100000	Genes	24
21	Supercontig_1.1	1050000	1100000	PopA.INDEL.lungonly	9
21	Supercontig_1.1	1050000	1100000	PopA.INDEL.lungonly_curated	4
21	Supercontig_1.1	1050000	1100000	PopA.SNP.lungonly	14
21	Supercontig_1.1	1050000	1100000	PopA.SNP.lungonly_curated	14
21	Supercontig_1.1	1050000	1100000	repeats	3
22	Supercontig_1.1	1100000	1150000	Genes	23
22	Supercontig_1.1	1100000	1150000	PopA.INDEL.lungonly	24
22	Supercontig_1.1	1100000	1150000	PopA.INDEL.lungonly_curated	7
22	Supercontig_1.1	1100000	1150000	PopA.SNP.lungonly	6
22	Supercontig_1.1	1100000	1150000	PopA.SNP.lungonly_curated	4
22	Supercontig_1.1	1100000	1150000	repeats	2
23	Supercontig_1.1	1150000	1200000	Genes	31
23	Supercontig_1.1	1150000	1200000	PopA.INDEL.lungonly	7
23	Supercontig_1.1	1150000	1200000	PopA.INDEL.lungonly_curated	2
23	Supercontig_1.1	1150000	1200000	PopA.SNP.lungonly	1
23	Supercontig_1.1	1150000	1200000	PopA.SNP.lungonly_curated	1
23	Supercontig_1.1	1150000	1200000	repeats	0
24	Supercontig_1.1	1200000	1250000	Genes	28
24	Supercontig_1.1	1200000	1250000	PopA.INDEL.lungonly	8
24	Supercontig_1.1	1200000	1250000	PopA.INDEL.lungonly_curated	2
24	Supercontig_1.1	1200000	1250000	PopA.SNP.lungonly	1
24	Supercontig_1.1	1200000	1250000	PopA.SNP.lungonly_curated	1
24	Supercontig_1.1	1200000	1250000	repeats	0
25	Supercontig_1.1	1250000	1300000	Genes	30
25	Supercontig_1.1	1250000	1300000	PopA.INDEL.lungonly	1
25	Supercontig_1.1	1250000	1300000	PopA.INDEL.lungonly_curated	0
25	Supercontig_1.1	1250000	1300000	PopA.SNP.lungonly	1
25	Supercontig_1.1	1250000	1300000	PopA.SNP.lungonly_curated	0
25	Supercontig_1.1	1250000	1300000	repeats	0
26	Supercontig_1.1	1300000	1350000	Genes	24
26	Supercontig_1.1	1300000	1350000	PopA.INDEL.lungonly	2
26	Supercontig_1.1	1300000	1350000	PopA.INDEL.lungonly_curated	0
26	Supercontig_1.1	1300000	1350000	PopA.SNP.lungonly	1
26	Supercontig_1.1	1300000	1350000	PopA.SNP.lungonly_curated	0
26	Supercontig_1.1	1300000	1350000	repeats	1
27	Supercontig_1.1	1350000	1400000	Genes	24
27	Supercontig_1.1	1350000	1400000	PopA.INDEL.lungonly	3
27	Supercontig_1.1	1350000	1400000	PopA.INDEL.lungonly_curated	1
27	Supercontig_1.1	1350000	1400000	PopA.SNP.lungonly	0
27	Supercontig_1.1	1350000	1400000	PopA.SNP.lungonly_curated	0
27	Supercontig_1.1	1350000	1400000	repeats	0
28	Supercontig_1.1	1400000	1450000	Genes	24
28	Supercontig_1.1	1400000	1450000	PopA.INDEL.lungonly	2
