Window	Chr	Chr_start	Chr_end	Track	Density
0	Supercontig_1.1	0	20000	Genes	12
0	Supercontig_1.1	0	20000	PopA.INDEL.lungonly	1
0	Supercontig_1.1	0	20000	PopA.INDEL.lungonly_curated	1
0	Supercontig_1.1	0	20000	PopA.SNP.lungonly	0
0	Supercontig_1.1	0	20000	PopA.SNP.lungonly_curated	0
0	Supercontig_1.1	0	20000	repeats	0
1	Supercontig_1.1	20000	40000	Genes	15
1	Supercontig_1.1	20000	40000	PopA.INDEL.lungonly	2
1	Supercontig_1.1	20000	40000	PopA.INDEL.lungonly_curated	1
1	Supercontig_1.1	20000	40000	PopA.SNP.lungonly	1
1	Supercontig_1.1	20000	40000	PopA.SNP.lungonly_curated	1
1	Supercontig_1.1	20000	40000	repeats	0
2	Supercontig_1.1	40000	60000	Genes	9
2	Supercontig_1.1	40000	60000	PopA.INDEL.lungonly	6
2	Supercontig_1.1	40000	60000	PopA.INDEL.lungonly_curated	0
2	Supercontig_1.1	40000	60000	PopA.SNP.lungonly	1
2	Supercontig_1.1	40000	60000	PopA.SNP.lungonly_curated	0
2	Supercontig_1.1	40000	60000	repeats	0
3	Supercontig_1.1	60000	80000	Genes	9
3	Supercontig_1.1	60000	80000	PopA.INDEL.lungonly	0
3	Supercontig_1.1	60000	80000	PopA.INDEL.lungonly_curated	0
3	Supercontig_1.1	60000	80000	PopA.SNP.lungonly	1
3	Supercontig_1.1	60000	80000	PopA.SNP.lungonly_curated	1
3	Supercontig_1.1	60000	80000	repeats	0
4	Supercontig_1.1	80000	100000	Genes	11
4	Supercontig_1.1	80000	100000	PopA.INDEL.lungonly	1
4	Supercontig_1.1	80000	100000	PopA.INDEL.lungonly_curated	1
4	Supercontig_1.1	80000	100000	PopA.SNP.lungonly	1
4	Supercontig_1.1	80000	100000	PopA.SNP.lungonly_curated	1
4	Supercontig_1.1	80000	100000	repeats	0
5	Supercontig_1.1	100000	120000	Genes	11
5	Supercontig_1.1	100000	120000	PopA.INDEL.lungonly	1
5	Supercontig_1.1	100000	120000	PopA.INDEL.lungonly_curated	1
5	Supercontig_1.1	100000	120000	PopA.SNP.lungonly	1
5	Supercontig_1.1	100000	120000	PopA.SNP.lungonly_curated	1
5	Supercontig_1.1	100000	120000	repeats	0
6	Supercontig_1.1	120000	140000	Genes	10
6	Supercontig_1.1	120000	140000	PopA.INDEL.lungonly	0
6	Supercontig_1.1	120000	140000	PopA.INDEL.lungonly_curated	0
6	Supercontig_1.1	120000	140000	PopA.SNP.lungonly	1
6	Supercontig_1.1	120000	140000	PopA.SNP.lungonly_curated	1
6	Supercontig_1.1	120000	140000	repeats	0
7	Supercontig_1.1	140000	160000	Genes	10
7	Supercontig_1.1	140000	160000	PopA.INDEL.lungonly	0
7	Supercontig_1.1	140000	160000	PopA.INDEL.lungonly_curated	0
7	Supercontig_1.1	140000	160000	PopA.SNP.lungonly	0
7	Supercontig_1.1	140000	160000	PopA.SNP.lungonly_curated	0
7	Supercontig_1.1	140000	160000	repeats	0
8	Supercontig_1.1	160000	180000	Genes	11
8	Supercontig_1.1	160000	180000	PopA.INDEL.lungonly	0
8	Supercontig_1.1	160000	180000	PopA.INDEL.lungonly_curated	0
8	Supercontig_1.1	160000	180000	PopA.SNP.lungonly	0
8	Supercontig_1.1	160000	180000	PopA.SNP.lungonly_curated	0
8	Supercontig_1.1	160000	180000	repeats	0
9	Supercontig_1.1	180000	200000	Genes	11
9	Supercontig_1.1	180000	200000	PopA.INDEL.lungonly	1
9	Supercontig_1.1	180000	200000	PopA.INDEL.lungonly_curated	1
9	Supercontig_1.1	180000	200000	PopA.SNP.lungonly	1
9	Supercontig_1.1	180000	200000	PopA.SNP.lungonly_curated	1
9	Supercontig_1.1	180000	200000	repeats	2
10	Supercontig_1.1	200000	220000	Genes	11
10	Supercontig_1.1	200000	220000	PopA.INDEL.lungonly	2
10	Supercontig_1.1	200000	220000	PopA.INDEL.lungonly_curated	0
10	Supercontig_1.1	200000	220000	PopA.SNP.lungonly	0
10	Supercontig_1.1	200000	220000	PopA.SNP.lungonly_curated	0
10	Supercontig_1.1	200000	220000	repeats	0
11	Supercontig_1.1	220000	240000	Genes	11
11	Supercontig_1.1	220000	240000	PopA.INDEL.lungonly	0
11	Supercontig_1.1	220000	240000	PopA.INDEL.lungonly_curated	0
11	Supercontig_1.1	220000	240000	PopA.SNP.lungonly	1
11	Supercontig_1.1	220000	240000	PopA.SNP.lungonly_curated	1
11	Supercontig_1.1	220000	240000	repeats	0
12	Supercontig_1.1	240000	260000	Genes	12
12	Supercontig_1.1	240000	260000	PopA.INDEL.lungonly	2
12	Supercontig_1.1	240000	260000	PopA.INDEL.lungonly_curated	2
12	Supercontig_1.1	240000	260000	PopA.SNP.lungonly	1
12	Supercontig_1.1	240000	260000	PopA.SNP.lungonly_curated	0
12	Supercontig_1.1	240000	260000	repeats	6
13	Supercontig_1.1	260000	280000	Genes	10
13	Supercontig_1.1	260000	280000	PopA.INDEL.lungonly	1
13	Supercontig_1.1	260000	280000	PopA.INDEL.lungonly_curated	1
13	Supercontig_1.1	260000	280000	PopA.SNP.lungonly	0
13	Supercontig_1.1	260000	280000	PopA.SNP.lungonly_curated	0
13	Supercontig_1.1	260000	280000	repeats	0
14	Supercontig_1.1	280000	300000	Genes	14
14	Supercontig_1.1	280000	300000	PopA.INDEL.lungonly	0
14	Supercontig_1.1	280000	300000	PopA.INDEL.lungonly_curated	0
14	Supercontig_1.1	280000	300000	PopA.SNP.lungonly	2
14	Supercontig_1.1	280000	300000	PopA.SNP.lungonly_curated	1
14	Supercontig_1.1	280000	300000	repeats	1
15	Supercontig_1.1	300000	320000	Genes	9
15	Supercontig_1.1	300000	320000	PopA.INDEL.lungonly	1
15	Supercontig_1.1	300000	320000	PopA.INDEL.lungonly_curated	1
15	Supercontig_1.1	300000	320000	PopA.SNP.lungonly	0
15	Supercontig_1.1	300000	320000	PopA.SNP.lungonly_curated	0
15	Supercontig_1.1	300000	320000	repeats	2
16	Supercontig_1.1	320000	340000	Genes	9
16	Supercontig_1.1	320000	340000	PopA.INDEL.lungonly	1
16	Supercontig_1.1	320000	340000	PopA.INDEL.lungonly_curated	0
16	Supercontig_1.1	320000	340000	PopA.SNP.lungonly	1
16	Supercontig_1.1	320000	340000	PopA.SNP.lungonly_curated	1
16	Supercontig_1.1	320000	340000	repeats	0
17	Supercontig_1.1	340000	360000	Genes	9
17	Supercontig_1.1	340000	360000	PopA.INDEL.lungonly	0
17	Supercontig_1.1	340000	360000	PopA.INDEL.lungonly_curated	0
17	Supercontig_1.1	340000	360000	PopA.SNP.lungonly	1
17	Supercontig_1.1	340000	360000	PopA.SNP.lungonly_curated	1
17	Supercontig_1.1	340000	360000	repeats	1
18	Supercontig_1.1	360000	380000	Genes	11
18	Supercontig_1.1	360000	380000	PopA.INDEL.lungonly	3
18	Supercontig_1.1	360000	380000	PopA.INDEL.lungonly_curated	2
18	Supercontig_1.1	360000	380000	PopA.SNP.lungonly	0
18	Supercontig_1.1	360000	380000	PopA.SNP.lungonly_curated	0
18	Supercontig_1.1	360000	380000	repeats	0
19	Supercontig_1.1	380000	400000	Genes	8
19	Supercontig_1.1	380000	400000	PopA.INDEL.lungonly	6
19	Supercontig_1.1	380000	400000	PopA.INDEL.lungonly_curated	0
19	Supercontig_1.1	380000	400000	PopA.SNP.lungonly	2
19	Supercontig_1.1	380000	400000	PopA.SNP.lungonly_curated	1
19	Supercontig_1.1	380000	400000	repeats	0
20	Supercontig_1.1	400000	420000	Genes	8
20	Supercontig_1.1	400000	420000	PopA.INDEL.lungonly	1
20	Supercontig_1.1	400000	420000	PopA.INDEL.lungonly_curated	0
20	Supercontig_1.1	400000	420000	PopA.SNP.lungonly	5
20	Supercontig_1.1	400000	420000	PopA.SNP.lungonly_curated	3
20	Supercontig_1.1	400000	420000	repeats	0
21	Supercontig_1.1	420000	440000	Genes	11
21	Supercontig_1.1	420000	440000	PopA.INDEL.lungonly	2
21	Supercontig_1.1	420000	440000	PopA.INDEL.lungonly_curated	1
21	Supercontig_1.1	420000	440000	PopA.SNP.lungonly	2
21	Supercontig_1.1	420000	440000	PopA.SNP.lungonly_curated	0
21	Supercontig_1.1	420000	440000	repeats	1
22	Supercontig_1.1	440000	460000	Genes	11
22	Supercontig_1.1	440000	460000	PopA.INDEL.lungonly	1
22	Supercontig_1.1	440000	460000	PopA.INDEL.lungonly_curated	1
22	Supercontig_1.1	440000	460000	PopA.SNP.lungonly	0
22	Supercontig_1.1	440000	460000	PopA.SNP.lungonly_curated	0
22	Supercontig_1.1	440000	460000	repeats	0
23	Supercontig_1.1	460000	480000	Genes	14
23	Supercontig_1.1	460000	480000	PopA.INDEL.lungonly	0
23	Supercontig_1.1	460000	480000	PopA.INDEL.lungonly_curated	0
23	Supercontig_1.1	460000	480000	PopA.SNP.lungonly	0
23	Supercontig_1.1	460000	480000	PopA.SNP.lungonly_curated	0
23	Supercontig_1.1	460000	480000	repeats	2
24	Supercontig_1.1	480000	500000	Genes	10
24	Supercontig_1.1	480000	500000	PopA.INDEL.lungonly	1
24	Supercontig_1.1	480000	500000	PopA.INDEL.lungonly_curated	0
24	Supercontig_1.1	480000	500000	PopA.SNP.lungonly	0
24	Supercontig_1.1	480000	500000	PopA.SNP.lungonly_curated	0
24	Supercontig_1.1	480000	500000	repeats	2
25	Supercontig_1.1	500000	520000	Genes	11
