Gene	Pn	Ps	Pn_Ps	Total_Variants
CLUG_00001	3	7	0.4286	10
CLUG_00002	3	3	1.0000	6
CLUG_00003	7	9	0.7778	16
CLUG_00004	3	15	0.2000	18
CLUG_00005	1	16	0.0625	17
CLUG_00006	0	7	0.0000	7
CLUG_00007	6	9	0.6667	15
CLUG_00008	2	15	0.1333	17
CLUG_00009	0	0	Undef	0
CLUG_00010	0	3	0.0000	3
CLUG_00011	6	11	0.5455	17
CLUG_00012	1	3	0.3333	4
CLUG_00013	1	1	1.0000	2
CLUG_00014	1	1	1.0000	2
CLUG_00015	5	12	0.4167	17
CLUG_00016	2	9	0.2222	11
CLUG_00017	4	8	0.5000	12
CLUG_00018	3	7	0.4286	10
CLUG_00019	4	12	0.3333	16
CLUG_00020	0	8	0.0000	8
CLUG_00021	0	4	0.0000	4
CLUG_00022	4	2	2.0000	6
CLUG_00023	2	6	0.3333	8
CLUG_00024	3	5	0.6000	8
CLUG_00025	3	6	0.5000	9
CLUG_00026	10	20	0.5000	30
CLUG_00027	0	3	0.0000	3
CLUG_00028	7	3	2.3333	10
CLUG_00029	1	15	0.0667	16
CLUG_00030	1	1	1.0000	2
CLUG_00031	0	1	0.0000	1
CLUG_00032	0	1	0.0000	1
CLUG_00033	0	1	0.0000	1
CLUG_00034	10	16	0.6250	26
CLUG_00035	2	25	0.0800	27
CLUG_00036	24	49	0.4898	73
CLUG_00037	3	5	0.6000	8
CLUG_00038	0	3	0.0000	3
CLUG_00039	1	11	0.0909	12
CLUG_00040	0	0	Undef	0
CLUG_00041	1	7	0.1429	8
CLUG_00042	2	10	0.2000	12
CLUG_00043	1	15	0.0667	16
CLUG_00044	6	19	0.3158	25
CLUG_00045	0	1	0.0000	1
CLUG_00046	3	9	0.3333	12
CLUG_00047	2	4	0.5000	6
CLUG_00048	0	14	0.0000	14
CLUG_00049	0	9	0.0000	9
CLUG_00050	2	7	0.2857	9
CLUG_00051	2	6	0.3333	8
CLUG_00052	13	28	0.4643	41
CLUG_00053	3	9	0.3333	12
CLUG_00054	3	11	0.2727	14
CLUG_00055	0	4	0.0000	4
CLUG_00056	6	17	0.3529	23
CLUG_00057	1	4	0.2500	5
CLUG_00058	2	3	0.6667	5
CLUG_00059	0	6	0.0000	6
CLUG_00060	0	2	0.0000	2
CLUG_00061	0	1	0.0000	1
CLUG_00062	4	11	0.3636	15
CLUG_00063	6	29	0.2069	35
CLUG_00064	1	8	0.1250	9
CLUG_00065	3	7	0.4286	10
CLUG_00066	6	19	0.3158	25
CLUG_00067	0	0	Undef	0
CLUG_00068	1	0	Undef	1
CLUG_00069	3	2	1.5000	5
CLUG_00070	3	3	1.0000	6
CLUG_00071	0	0	Undef	0
CLUG_00072	1	1	1.0000	2
CLUG_00073	1	0	Undef	1
CLUG_00074	0	0	Undef	0
CLUG_00075	0	0	Undef	0
CLUG_00076	1	0	Undef	1
CLUG_00077	0	0	Undef	0
CLUG_00078	0	0	Undef	0
CLUG_00079	1	0	Undef	1
CLUG_00080	0	0	Undef	0
CLUG_00081	0	0	Undef	0
CLUG_00082	0	0	Undef	0
CLUG_00083	0	0	Undef	0
CLUG_00084	0	0	Undef	0
CLUG_00085	1	0	Undef	1
CLUG_00086	1	0	Undef	1
CLUG_00087	0	0	Undef	0
CLUG_00088	1	0	Undef	1
CLUG_00089	1	0	Undef	1
CLUG_00090	0	0	Undef	0
CLUG_00091	0	0	Undef	0
CLUG_00092	0	0	Undef	0
CLUG_00093	0	0	Undef	0
CLUG_00094	0	0	Undef	0
CLUG_00095	1	0	Undef	1
CLUG_00096	0	0	Undef	0
CLUG_00097	0	2	0.0000	2
CLUG_00098	1	0	Undef	1
CLUG_00099	0	0	Undef	0
CLUG_00100	1	0	Undef	1
CLUG_00101	0	0	Undef	0
CLUG_00102	0	0	Undef	0
CLUG_00103	0	0	Undef	0
CLUG_00104	0	1	0.0000	1
CLUG_00105	0	0	Undef	0
CLUG_00106	0	0	Undef	0
CLUG_00109	0	0	Undef	0
CLUG_00110	0	0	Undef	0
CLUG_00111	0	0	Undef	0
CLUG_00112	0	0	Undef	0
CLUG_00113	0	0	Undef	0
CLUG_00117	0	0	Undef	0
CLUG_00118	0	0	Undef	0
CLUG_00119	0	0	Undef	0
CLUG_00120	0	0	Undef	0
CLUG_00121	0	1	0.0000	1
CLUG_00122	0	0	Undef	0
CLUG_00123	1	0	Undef	1
CLUG_00124	0	0	Undef	0
CLUG_00127	0	0	Undef	0
CLUG_00128	0	0	Undef	0
CLUG_00129	0	0	Undef	0
CLUG_00130	0	0	Undef	0
CLUG_00131	5	3	1.6667	8
CLUG_00132	1	0	Undef	1
CLUG_00133	0	0	Undef	0
CLUG_00134	0	0	Undef	0
CLUG_00135	1	0	Undef	1
CLUG_00136	1	0	Undef	1
CLUG_00137	1	0	Undef	1
CLUG_00138	0	0	Undef	0
CLUG_00139	0	0	Undef	0
CLUG_00140	0	0	Undef	0
CLUG_00141	1	0	Undef	1
CLUG_00142	1	1	1.0000	2
CLUG_00143	0	1	0.0000	1
CLUG_00144	1	0	Undef	1
CLUG_00145	0	0	Undef	0
CLUG_00146	0	0	Undef	0
CLUG_00147	0	1	0.0000	1
CLUG_00148	1	0	Undef	1
CLUG_00149	0	0	Undef	0
CLUG_00150	0	0	Undef	0
CLUG_00151	1	0	Undef	1
CLUG_00152	0	0	Undef	0
CLUG_00153	1	0	Undef	1
CLUG_00154	0	0	Undef	0
CLUG_00155	0	0	Undef	0
CLUG_00156	1	0	Undef	1
CLUG_00157	1	0	Undef	1
CLUG_00158	0	0	Undef	0
CLUG_00159	0	0	Undef	0
CLUG_00160	3	0	Undef	3
CLUG_00161	0	0	Undef	0
CLUG_00162	1	1	1.0000	2
CLUG_00163	0	1	0.0000	1
CLUG_00164	1	0	Undef	1
CLUG_00165	1	0	Undef	1
CLUG_00166	1	0	Undef	1
CLUG_00167	0	1	0.0000	1
CLUG_00168	0	0	Undef	0
CLUG_00169	0	0	Undef	0
CLUG_00170	0	0	Undef	0
CLUG_00171	0	0	Undef	0
CLUG_00172	1	0	Undef	1
CLUG_00173	0	0	Undef	0
CLUG_00174	0	0	Undef	0
CLUG_00175	0	0	Undef	0
CLUG_00176	0	0	Undef	0
CLUG_00177	0	7	0.0000	7
CLUG_00178	0	1	0.0000	1
CLUG_00179	1	3	0.3333	4
CLUG_00180	1	0	Undef	1
CLUG_00181	0	1	0.0000	1
CLUG_00182	0	0	Undef	0
CLUG_00183	0	3	0.0000	3
CLUG_00184	0	0	Undef	0
CLUG_00185	0	0	Undef	0
CLUG_00186	0	3	0.0000	3
CLUG_00187	0	0	Undef	0
CLUG_00188	0	0	Undef	0
CLUG_00189	0	1	0.0000	1
CLUG_00190	0	0	Undef	0
CLUG_00191	0	0	Undef	0
CLUG_00192	2	0	Undef	2
CLUG_00193	1	5	0.2000	6
CLUG_00194	0	2	0.0000	2
CLUG_00195	0	0	Undef	0
CLUG_00196	0	1	0.0000	1
CLUG_00197	5	13	0.3846	18
CLUG_00198	0	4	0.0000	4
CLUG_00199	0	0	Undef	0
CLUG_00200	0	0	Undef	0
CLUG_00201	5	23	0.2174	28
CLUG_00202	0	1	0.0000	1
CLUG_00203	2	2	1.0000	4
CLUG_00204	1	2	0.5000	3
CLUG_00205	1	9	0.1111	10
CLUG_00206	0	3	0.0000	3
CLUG_00207	1	6	0.1667	7
CLUG_00208	0	2	0.0000	2
CLUG_00209	0	0	Undef	0
CLUG_00210	2	2	1.0000	4
CLUG_00211	0	0	Undef	0
CLUG_00212	1	0	Undef	1
CLUG_00213	5	0	Undef	5
CLUG_00214	3	2	1.5000	5
CLUG_00215	0	2	0.0000	2
CLUG_00216	1	2	0.5000	3
CLUG_00217	1	1	1.0000	2
CLUG_00218	0	0	Undef	0
CLUG_00219	1	0	Undef	1
CLUG_00220	0	0	Undef	0
CLUG_00225	0	0	Undef	0
CLUG_00226	0	0	Undef	0
CLUG_00227	0	0	Undef	0
CLUG_00228	0	0	Undef	0
CLUG_00229	0	0	Undef	0
CLUG_00230	0	0	Undef	0
CLUG_00231	1	0	Undef	1
CLUG_00232	0	0	Undef	0
CLUG_00233	0	0	Undef	0
CLUG_00234	0	0	Undef	0
CLUG_00235	1	0	Undef	1
CLUG_00236	0	0	Undef	0
CLUG_00237	0	0	Undef	0
CLUG_00238	0	0	Undef	0
CLUG_00239	0	0	Undef	0
CLUG_00240	0	0	Undef	0
CLUG_00241	1	0	Undef	1
CLUG_00242	0	0	Undef	0
CLUG_00243	0	0	Undef	0
CLUG_00244	0	0	Undef	0
CLUG_00245	0	0	Undef	0
CLUG_00246	1	0	Undef	1
CLUG_00247	0	0	Undef	0
CLUG_00248	0	1	0.0000	1
CLUG_00249	0	0	Undef	0
CLUG_00250	0	0	Undef	0
CLUG_00251	0	0	Undef	0
CLUG_00252	0	0	Undef	0
CLUG_00253	1	0	Undef	1
CLUG_00254	0	0	Undef	0
CLUG_00255	0	0	Undef	0
CLUG_00256	0	0	Undef	0
CLUG_00257	0	0	Undef	0
CLUG_00258	1	1	1.0000	2
CLUG_00259	1	0	Undef	1
CLUG_00260	0	0	Undef	0
CLUG_00262	0	0	Undef	0
CLUG_00263	0	0	Undef	0
CLUG_00264	2	1	2.0000	3
CLUG_00265	0	0	Undef	0
CLUG_00266	0	0	Undef	0
CLUG_00267	2	0	Undef	2
CLUG_00268	0	0	Undef	0
CLUG_00269	0	0	Undef	0
CLUG_00270	0	0	Undef	0
CLUG_00271	0	0	Undef	0
CLUG_00272	0	0	Undef	0
CLUG_00273	0	0	Undef	0
CLUG_00274	0	0	Undef	0
CLUG_00275	0	0	Undef	0
