# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CLUG_00001	CLUG_00001	CLUT_00001T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00002	CLUG_00002	CLUT_00002T0	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00003	CLUG_00003	CLUT_00003T0	protein_coding	1	0	0	4	0	0	0	4	1	0	0	0	0	0	0	0	0	0
CLUG_00004	CLUG_00004	CLUT_00004T0	protein_coding	1	0	0	5	0	0	0	4	1	0	0	0	0	0	0	0	0	1
CLUG_00005	CLUG_00005	CLUT_00005T0	protein_coding	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	3
CLUG_00006	CLUG_00006	CLUT_00006T0	protein_coding	1	0	1	3	0	0	0	2	1	0	1	0	0	0	0	0	0	1
CLUG_00007	CLUG_00007	CLUT_00007T0	protein_coding	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	5
CLUG_00008	CLUG_00008	CLUT_00008T0	protein_coding	0	0	0	7	0	0	0	5	0	0	0	0	0	0	0	0	0	2
CLUG_00009	CLUG_00009	CLUT_00009T0	protein_coding	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	3
CLUG_00010	CLUG_00010	CLUT_00010T0	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2
CLUG_00011	CLUG_00011	CLUT_00011T0	protein_coding	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
CLUG_00012	CLUG_00012	CLUT_00012T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00013	CLUG_00013	CLUT_00013T0	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00014	CLUG_00014	CLUT_00014T0	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2
CLUG_00015	CLUG_00015	CLUT_00015T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00016	CLUG_00016	CLUT_00016T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00017	CLUG_00017	CLUT_00017T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00018	CLUG_00018	CLUT_00018T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00019	CLUG_00019	CLUT_00019T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00020	CLUG_00020	CLUT_00020T0	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00021	CLUG_00021	CLUT_00021T0	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00022	CLUG_00022	CLUT_00022T0	protein_coding	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2
CLUG_00023	CLUG_00023	CLUT_00023T0	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1
CLUG_00024	CLUG_00024	CLUT_00024T0	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2
CLUG_00025	CLUG_00025	CLUT_00025T0	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00026	CLUG_00026	CLUT_00026T0	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	2
CLUG_00027	CLUG_00027	CLUT_00027T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00028	CLUG_00028	CLUT_00028T0	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00037	CLUG_00037	CLUT_00037T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00038	CLUG_00038	CLUT_00038T0	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00039	CLUG_00039	CLUT_00039T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00040	CLUG_00040	CLUT_00040T0	protein_coding	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CLUG_00041	CLUG_00041	CLUT_00041T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00042	CLUG_00042	CLUT_00042T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00043	CLUG_00043	CLUT_00043T0	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00049	CLUG_00049	CLUT_00049T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00050	CLUG_00050	CLUT_00050T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00051	CLUG_00051	CLUT_00051T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00052	CLUG_00052	CLUT_00052T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00053	CLUG_00053	CLUT_00053T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00063	CLUG_00063	CLUT_00063T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00064	CLUG_00064	CLUT_00064T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00065	CLUG_00065	CLUT_00065T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00066	CLUG_00066	CLUT_00066T0	protein_coding	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CLUG_00067	CLUG_00067	CLUT_00067T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00068	CLUG_00068	CLUT_00068T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00089	CLUG_00089	CLUT_00089T0	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00090	CLUG_00090	CLUT_00090T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_00091	CLUG_00091	CLUT_00091T0	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
CLUG_00092	CLUG_00092	CLUT_00092T0	protein_coding	1	0	0	4	0	0	0	4	1	0	0	0	0	0	0	0	0	0
CLUG_00093	CLUG_00093	CLUT_00093T0	protein_coding	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	3
CLUG_00094	CLUG_00094	CLUT_00094T0	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
CLUG_00095	CLUG_00095	CLUT_00095T0	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
CLUG_00096	CLUG_00096	CLUT_00096T0	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00097	CLUG_00097	CLUT_00097T0	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00098	CLUG_00098	CLUT_00098T0	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7
CLUG_00099	CLUG_00099	CLUT_00099T0	protein_coding	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0
CLUG_00100	CLUG_00100	CLUT_00100T0	protein_coding	2	0	1	5	0	0	0	4	2	0	1	0	0	0	0	0	0	1
CLUG_00101	CLUG_00101	CLUT_00101T0	protein_coding	0	0	0	9	0	0	0	7	0	0	0	0	0	0	0	0	0	2
CLUG_00102	CLUG_00102	CLUT_00102T0	protein_coding	1	0	0	8	0	0	0	1	1	0	0	0	0	0	0	0	0	7
