GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	B29.13MM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C30.13LM	C31.13MP	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_04838	2.7502	2.5011	2.8467	2.6043	2.3993	2.6216	2.5044	2.6515	2.4357	2.7278	4.5934	2.6023	2.4992	2.7119	2.7474	2.6443	2.5376	2.4183	2.5469	2.4680	2.6982	2.6084	2.5898	1.6653	2.7422	2.7944	2.7902	2.4045	2.9821	2.7759	2.5810	2.6443	2.5719	2.5395	2.5146	2.4898	2.1749	1.8703	0.0000	0.0027	0.0005	0.0000	0.0000	0.0000	2.3347	3.2394	0.0000	0.0024	0.0033	0.0035	0.0000	0.0009	2.3576	2.3887	0.0000
CLUG_04839	1.9843	2.0184	2.0686	1.8627	1.9254	2.0784	1.9354	1.8910	2.0069	1.9814	3.6455	2.0467	1.8258	2.0223	1.9025	1.8625	2.0381	1.8449	2.0040	1.8786	2.0392	2.0197	1.9006	1.5897	2.1436	2.2390	2.1748	1.8649	2.4308	2.1406	1.9138	2.1158	2.0102	1.9617	1.9892	1.9551	2.0796	1.8356	0.0005	0.0030	0.0009	0.0000	0.0004	0.0000	1.8892	2.5928	0.0000	0.0037	0.0021	0.0088	0.0000	0.0000	2.0389	1.9178	0.0013
CLUG_04840	1.5685	1.5063	1.5009	1.4470	1.4013	1.5450	1.4710	1.6101	1.4070	1.5112	3.1219	1.5890	1.4256	1.3514	1.4681	1.4624	1.6800	1.4656	1.7154	1.4018	1.6157	1.5827	1.4875	1.5152	1.6366	1.7136	1.6028	1.4656	1.7791	1.6046	1.4892	1.7061	1.5249	1.5635	1.5405	1.4718	1.5032	1.3775	0.0936	0.0836	0.0000	0.0731	0.0784	0.0738	1.3717	2.0364	0.0720	0.0723	0.0788	0.0965	0.0909	0.0680	1.4896	1.4235	0.0720
CLUG_04841	1.3610	1.4031	1.3289	1.4729	1.4307	1.4411	1.4245	1.4387	1.3455	1.5379	3.1012	1.5536	1.3698	1.4360	1.4665	1.4125	1.5142	1.3174	1.5058	1.3353	1.5280	1.5427	1.5455	1.4991	1.5977	1.6229	1.5886	1.4768	1.8186	1.5865	1.4784	1.6010	1.4514	1.5030	1.4427	1.4268	1.3035	1.2294	0.0000	0.0017	0.0000	0.0000	0.0000	0.0011	1.4269	1.8925	0.0000	0.0000	0.0000	0.0029	0.0000	0.0000	1.4705	1.4235	0.0012
CLUG_04842	1.5240	1.6194	1.4851	1.5217	1.4693	1.5523	1.4900	1.4931	1.5612	1.5197	3.2123	1.5340	1.5106	1.5649	1.5506	1.5730	1.5923	1.4898	1.6181	1.4684	1.6215	1.6727	1.6280	1.5503	1.6002	1.6279	1.6550	1.4424	1.7740	1.6257	1.4817	1.6354	1.4919	1.5514	1.5457	1.4648	1.2913	1.1926	0.0000	0.0000	0.0001	0.0000	0.0023	0.0000	1.3633	1.8908	0.0000	0.0000	0.0029	0.0064	0.0010	0.0001	1.4517	1.4883	0.0025
CLUG_04843	1.4200	1.3950	1.3870	1.3376	1.4054	1.5639	1.3280	1.2765	1.5582	1.3327	2.9009	1.4049	1.4045	1.4580	1.4207	1.3578	1.4195	1.3844	1.3936	1.3310	1.3699	1.4491	1.4183	1.5314	1.4929	1.4015	1.5004	1.2696	1.6745	1.4606	1.4299	1.6047	1.3268	1.3939	1.4045	1.3159	1.2051	1.0722	0.0000	0.0000	0.0022	0.0000	0.0000	0.0000	1.2874	1.7823	0.0002	0.0021	0.0040	0.0057	0.0000	0.0000	1.3315	1.3632	0.0000
CLUG_04844	1.7104	1.7192	1.7269	1.6862	1.7748	1.7592	1.6472	1.7724	1.7324	1.8050	3.3828	1.8757	1.5900	1.6872	1.6866	1.7126	1.8678	1.6085	1.7948	1.6203	1.7141	1.7968	1.6697	1.5229	1.9411	2.0155	1.9820	1.8444	2.1216	1.9281	1.8307	1.9340	1.7973	1.5626	1.8791	1.7800	1.9626	1.8251	0.0009	0.0005	0.0008	0.0006	0.0025	0.0004	1.7399	2.2519	0.0000	0.0012	0.0017	0.0048	0.0000	0.0005	1.7741	1.7747	0.0008
CLUG_04845	1.0652	1.1327	1.2010	1.1170	1.1096	1.1314	1.0977	1.1644	1.1096	1.2348	2.4040	1.1634	1.1173	1.1456	1.1184	1.0862	1.1916	1.1564	1.2131	1.0945	1.1748	1.2061	1.2169	1.2004	1.4410	1.4802	1.4156	1.2708	1.5474	1.3839	1.2912	1.4150	1.2851	1.3451	1.2564	1.2695	1.4404	1.2850	0.0007	0.0013	0.0000	0.0003	0.0009	0.0002	1.2589	1.6280	0.0002	0.0000	0.0010	0.0051	0.0000	0.0002	1.2714	1.2504	0.0007
CLUG_04846	0.9512	0.9766	1.0664	0.9568	0.9285	1.0095	1.0271	1.1118	0.9132	1.0982	2.0979	1.0508	0.9513	1.0056	0.9777	0.9510	1.0593	0.9841	1.0642	0.9640	1.0602	1.0656	1.1407	1.0395	1.2974	1.3260	1.2850	1.1413	1.3923	1.2578	1.1380	1.2405	1.1655	1.2148	1.1359	1.1431	1.3430	1.2228	0.0011	0.0007	0.0000	0.0000	0.0009	0.0004	1.1530	1.4530	0.0006	0.0000	0.0011	0.0029	0.0000	0.0000	1.1520	1.1358	0.0005
CLUG_04847	1.3050	1.3063	1.2305	1.3021	1.3867	1.2634	1.2587	1.4192	1.3573	1.3284	2.5481	1.3117	1.3052	1.3497	1.3404	1.3224	1.4223	1.2742	1.4845	1.2692	1.2783	1.3920	1.4165	1.4212	1.5065	1.6110	1.5972	1.4659	1.7112	1.4807	1.4728	1.5134	1.4262	1.4144	1.4717	1.3704	1.5861	1.3935	1.8489	1.8121	2.0901	1.4164	1.6179	1.4550	1.4084	1.7103	1.6854	1.7135	1.7299	1.8147	1.9083	1.5550	1.3921	1.4004	1.4560
