GENE	COVERAGE	STRAIN	GROUP
CLUG_05234	1.4821	A10.L4C	A
CLUG_05234	1.4714	A11.L11G	A
CLUG_05234	1.5633	A12.L10B	A
CLUG_05234	1.5459	A13.L3B	A
CLUG_05234	1.5485	A14.L4E	A
CLUG_05234	1.5611	A15.L4G	A
CLUG_05234	1.4418	A16.L7C	A
CLUG_05234	1.5551	A17.L1B	A
CLUG_05234	1.4401	A18.S4H	A
CLUG_05234	1.5842	A19.S3B	A
CLUG_05234	1.6725	A2.U10A	A
CLUG_05234	1.4874	A20.S1E	A
CLUG_05234	1.3966	A21.S8A	A
CLUG_05234	1.4629	A22.UpperP	A
CLUG_05234	1.5279	A23.LowerP	A
CLUG_05234	1.4316	A24.SputuP	A
CLUG_05234	1.5373	A3.U3G	A
CLUG_05234	1.3745	A4.U3B	A
CLUG_05234	1.5380	A5.U10D	A
CLUG_05234	1.4077	A6.U5C	A
CLUG_05234	1.5363	A7.U3E	A
CLUG_05234	1.5668	A8.U2E	A
CLUG_05234	1.5433	A9.L3D	A
CLUG_05234	1.5456	ATCC42720	ATCC42720
CLUG_05234	1.6642	B16.1310D	B
CLUG_05234	1.7520	B17.1311G	B
CLUG_05234	1.6744	B18.1312G	B
CLUG_05234	1.5322	B19.1310A	B
CLUG_05234	1.8550	B20.1311A	B
CLUG_05234	1.6692	B21.1312A	B
CLUG_05234	1.6055	B22.134E	B
CLUG_05234	1.7675	B23.133H	B
CLUG_05234	1.5547	B24.133F	B
CLUG_05234	1.6213	B25.135C	B
CLUG_05234	1.4757	B26.131A	B
CLUG_05234	1.4928	B27.136A	B
CLUG_05234	1.4889	B28.13UM	B
CLUG_05234	2.0436	C10.9M3	C
CLUG_05234	2.0680	C11.9M41	C
CLUG_05234	2.2552	C12.9U1	C
CLUG_05234	1.5787	C13.9U2	C
CLUG_05234	1.7135	C14.9U3	C
CLUG_05234	1.5636	C15.9U4s	C
CLUG_05234	1.9193	C4.9L1	C
CLUG_05234	1.9028	C5.9L2	C
CLUG_05234	1.9209	C6.9L3	C
CLUG_05234	1.9388	C7.9L4	C
CLUG_05234	2.1813	C8.9M1	C
CLUG_05234	1.8065	C9.9M2	C
CLUG_05234	1.5247	ctl1.AL1B	A
CLUG_05234	1.4732	ctl2.AL1B	A
CLUG_05234	1.6671	ctl3.C9L1	C
CLUG_05235	1.5345	A10.L4C	A
CLUG_05235	1.5101	A11.L11G	A
CLUG_05235	1.6231	A12.L10B	A
CLUG_05235	1.5184	A13.L3B	A
CLUG_05235	1.5058	A14.L4E	A
CLUG_05235	1.5478	A15.L4G	A
CLUG_05235	1.5034	A16.L7C	A
CLUG_05235	1.5828	A17.L1B	A
CLUG_05235	1.5894	A18.S4H	A
CLUG_05235	1.4998	A19.S3B	A
CLUG_05235	1.5824	A2.U10A	A
CLUG_05235	1.5692	A20.S1E	A
CLUG_05235	1.3633	A21.S8A	A
CLUG_05235	1.5262	A22.UpperP	A
CLUG_05235	1.5518	A23.LowerP	A
CLUG_05235	1.4208	A24.SputuP	A
CLUG_05235	1.5888	A3.U3G	A
CLUG_05235	1.4769	A4.U3B	A
CLUG_05235	1.6967	A5.U10D	A
CLUG_05235	1.4393	A6.U5C	A
CLUG_05235	1.5530	A7.U3E	A
CLUG_05235	1.5739	A8.U2E	A
CLUG_05235	1.6895	A9.L3D	A
CLUG_05235	1.5841	ATCC42720	ATCC42720
CLUG_05235	1.6186	B16.1310D	B
CLUG_05235	1.6751	B17.1311G	B
CLUG_05235	1.6802	B18.1312G	B
CLUG_05235	1.5500	B19.1310A	B
CLUG_05235	1.8022	B20.1311A	B
CLUG_05235	1.6124	B21.1312A	B
CLUG_05235	1.5410	B22.134E	B
CLUG_05235	1.6862	B23.133H	B
CLUG_05235	1.4836	B24.133F	B
CLUG_05235	1.5572	B25.135C	B
CLUG_05235	1.5623	B26.131A	B
CLUG_05235	1.4698	B27.136A	B
CLUG_05235	1.4353	B28.13UM	B
CLUG_05235	1.9429	C10.9M3	C
CLUG_05235	1.9119	C11.9M41	C
CLUG_05235	2.1633	C12.9U1	C
CLUG_05235	1.4765	C13.9U2	C
CLUG_05235	1.6981	C14.9U3	C
CLUG_05235	1.5287	C15.9U4s	C
CLUG_05235	1.7214	C4.9L1	C
CLUG_05235	1.9036	C5.9L2	C
CLUG_05235	1.7799	C6.9L3	C
CLUG_05235	1.8503	C7.9L4	C
CLUG_05235	2.0314	C8.9M1	C
CLUG_05235	1.6130	C9.9M2	C
CLUG_05235	1.4404	ctl1.AL1B	A
CLUG_05235	1.4145	ctl2.AL1B	A
CLUG_05235	1.5839	ctl3.C9L1	C
CLUG_05236	1.5745	A10.L4C	A
CLUG_05236	1.4050	A11.L11G	A
CLUG_05236	1.5043	A12.L10B	A
CLUG_05236	1.5132	A13.L3B	A
CLUG_05236	1.3675	A14.L4E	A
CLUG_05236	1.5058	A15.L4G	A
CLUG_05236	1.4656	A16.L7C	A
CLUG_05236	1.5352	A17.L1B	A
CLUG_05236	1.4677	A18.S4H	A
CLUG_05236	1.5385	A19.S3B	A
CLUG_05236	1.5418	A2.U10A	A
CLUG_05236	1.5719	A20.S1E	A
CLUG_05236	1.3822	A21.S8A	A
CLUG_05236	1.5005	A22.UpperP	A
CLUG_05236	1.4969	A23.LowerP	A
CLUG_05236	1.4995	A24.SputuP	A
CLUG_05236	1.4783	A3.U3G	A
CLUG_05236	1.4101	A4.U3B	A
CLUG_05236	1.4857	A5.U10D	A
CLUG_05236	1.3873	A6.U5C	A
CLUG_05236	1.5684	A7.U3E	A
CLUG_05236	1.6136	A8.U2E	A
CLUG_05236	1.5051	A9.L3D	A
CLUG_05236	1.5440	ATCC42720	ATCC42720
CLUG_05236	1.6251	B16.1310D	B
CLUG_05236	1.6740	B17.1311G	B
CLUG_05236	1.6824	B18.1312G	B
CLUG_05236	1.5207	B19.1310A	B
CLUG_05236	1.8099	B20.1311A	B
CLUG_05236	1.6108	B21.1312A	B
CLUG_05236	1.5287	B22.134E	B
CLUG_05236	1.6576	B23.133H	B
CLUG_05236	1.4548	B24.133F	B
CLUG_05236	1.5904	B25.135C	B
CLUG_05236	1.5564	B26.131A	B
CLUG_05236	1.4376	B27.136A	B
CLUG_05236	1.3955	B28.13UM	B
CLUG_05236	1.9333	C10.9M3	C
CLUG_05236	1.9418	C11.9M41	C
CLUG_05236	2.1589	C12.9U1	C
CLUG_05236	1.5519	C13.9U2	C
CLUG_05236	1.7182	C14.9U3	C
CLUG_05236	1.5481	C15.9U4s	C
CLUG_05236	1.8102	C4.9L1	C
CLUG_05236	1.7578	C5.9L2	C
CLUG_05236	1.8190	C6.9L3	C
CLUG_05236	1.9741	C7.9L4	C
CLUG_05236	2.0552	C8.9M1	C
CLUG_05236	1.6138	C9.9M2	C
CLUG_05236	1.4146	ctl1.AL1B	A
CLUG_05236	1.3845	ctl2.AL1B	A
CLUG_05236	1.6038	ctl3.C9L1	C
CLUG_05237	1.0563	A10.L4C	A
CLUG_05237	1.0905	A11.L11G	A
CLUG_05237	1.2157	A12.L10B	A
CLUG_05237	1.1245	A13.L3B	A
CLUG_05237	1.1521	A14.L4E	A
CLUG_05237	1.2370	A15.L4G	A
CLUG_05237	1.1134	A16.L7C	A
CLUG_05237	1.2232	A17.L1B	A
CLUG_05237	1.1695	A18.S4H	A
CLUG_05237	1.2432	A19.S3B	A
CLUG_05237	1.2457	A2.U10A	A
CLUG_05237	1.2968	A20.S1E	A
CLUG_05237	1.0855	A21.S8A	A
CLUG_05237	1.1034	A22.UpperP	A
CLUG_05237	1.0882	A23.LowerP	A
CLUG_05237	1.0363	A24.SputuP	A
CLUG_05237	1.2614	A3.U3G	A
CLUG_05237	1.1840	A4.U3B	A
CLUG_05237	1.3588	A5.U10D	A
CLUG_05237	1.1244	A6.U5C	A
CLUG_05237	1.1611	A7.U3E	A
CLUG_05237	1.2681	A8.U2E	A
CLUG_05237	1.1877	A9.L3D	A
CLUG_05237	1.2627	ATCC42720	ATCC42720
CLUG_05237	1.4585	B16.1310D	B
CLUG_05237	1.5321	B17.1311G	B
CLUG_05237	1.4320	B18.1312G	B
CLUG_05237	1.4108	B19.1310A	B
CLUG_05237	1.7673	B20.1311A	B
CLUG_05237	1.5014	B21.1312A	B
CLUG_05237	1.3497	B22.134E	B
CLUG_05237	1.4505	B23.133H	B
CLUG_05237	1.3633	B24.133F	B
CLUG_05237	1.4308	B25.135C	B
CLUG_05237	1.3663	B26.131A	B
