GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_05601	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	1.1916	0.0042	0.0002	0.0002	0.0056	0.0000	0.0005	0.0000	0.0000	0.0000	0.0014	0.0000	0.0047	0.0003	1.7370	2.0780	1.7671	1.3754	1.4288	1.3095	1.5841	1.6942	1.6521	1.8943	2.0575	1.5462	0.0001	0.0004	1.4751
CLUG_05602	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4419	0.0066	0.0000	0.0000	0.0071	0.0000	0.0000	0.0000	0.0000	0.0000	0.0036	0.0000	0.0032	0.0000	1.7692	2.0601	1.7805	1.4409	1.4591	1.3469	1.6012	1.6789	1.7544	1.8754	2.0791	1.6279	0.0000	0.0000	1.4651
CLUG_05603	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	1.3522	0.0073	0.0000	0.0000	0.0046	0.0000	0.0000	0.0010	0.0000	0.0000	0.0032	0.0000	0.0032	0.0012	1.6270	1.9550	1.6368	1.3674	1.3610	1.2091	1.6299	1.5343	1.6215	1.8084	1.9923	1.5108	0.0000	0.0005	1.3704
CLUG_05604	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2911	0.0045	0.0000	0.0000	0.0013	0.0000	0.0011	0.0000	0.0000	0.0000	0.0037	0.0000	0.0024	0.0022	1.0040	1.1776	1.0398	0.8463	0.8276	0.6829	0.9688	0.9760	1.0458	1.1324	1.3407	0.9838	0.0000	0.0000	0.8769
CLUG_05605	0.0000	0.0000	0.0000	0.0025	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2256	0.0047	0.0000	0.0000	0.0064	0.0000	0.0000	0.0005	0.0000	0.0000	0.0013	0.0000	0.0046	0.0015	1.7902	2.1378	1.7910	1.5124	1.4521	1.3043	1.6837	1.7096	1.7460	1.8821	2.0578	1.7060	0.0000	0.0000	1.5066
CLUG_05606	0.0000	0.0000	0.0003	0.0001	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0002	0.0001	0.0002	0.0013	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	1.3066	0.0073	0.0001	0.0005	0.0042	0.0006	0.0000	0.0007	0.0000	0.0000	0.0016	0.0006	0.0018	0.0010	1.5591	1.7096	1.4740	1.2464	1.2682	1.1429	1.3712	1.4645	1.4414	1.5593	1.7336	1.3649	0.0000	0.0003	1.3140
CLUG_05607	1.2767	2.3197	1.2999	1.3146	1.2890	1.3204	1.3308	1.3643	1.2455	1.3159	1.2690	1.4855	1.2692	1.3421	1.4354	1.2524	1.2776	1.3002	1.4216	1.2047	1.2460	1.4789	1.2389	1.1834	1.7384	1.6873	1.7068	1.5403	1.7134	1.6599	1.5742	1.6190	1.5442	1.7317	1.5191	1.4629	1.4618	1.5449	1.7885	1.5103	1.2972	1.3017	1.2161	1.4871	1.4753	1.5349	1.6537	1.8464	1.3685	1.3696	1.3528	1.3318
CLUG_05608	1.3057	2.1724	1.2932	1.3175	1.2724	1.2883	1.1888	1.2422	1.2026	1.2456	1.3010	1.4775	1.1897	1.2603	1.3416	1.2751	1.1841	1.2025	1.3550	1.1722	1.2127	1.3749	1.2612	1.0847	1.5655	1.5244	1.5977	1.3941	1.5358	1.5707	1.4337	1.4691	1.3717	1.5375	1.4596	1.3135	1.5544	1.4318	1.6458	1.4874	1.2428	1.2699	1.1382	1.3138	1.4482	1.4373	1.5939	1.6450	1.3063	1.2299	1.2652	1.3354
CLUG_05609	1.2291	2.3457	1.2971	1.2861	1.2965	1.3040	1.2746	1.3332	1.3343	1.2523	1.3119	1.4390	1.2421	1.3418	1.4410	1.2919	1.1966	1.3280	1.5025	1.1907	1.3002	1.4003	1.2051	1.1161	1.6553	1.5445	1.5968	1.4980	1.5511	1.5821	1.4234	1.5120	1.4300	1.6525	1.5467	1.3603	1.3768	1.5420	1.7384	1.4865	1.2570	1.2835	1.1273	1.3121	1.5543	1.4415	1.5966	1.7506	1.3466	1.2721	1.2749	1.3275
CLUG_05610	1.2931	2.5727	1.3010	1.4647	1.3646	1.4313	1.3504	1.3848	1.3548	1.3335	1.4049	1.6079	1.2878	1.4508	1.5737	1.3693	1.2032	1.3715	1.4772	1.3028	1.3738	1.5936	1.3082	1.2499	1.6973	1.6402	1.6910	1.5298	1.6682	1.6894	1.6433	1.5547	1.5352	1.7411	1.5878	1.4683	1.4840	1.6249	1.7929	1.5834	1.3266	1.3001	1.2257	1.4347	1.5767	1.5189	1.6374	1.8373	1.4363	1.3489	1.3778	1.4211
