GENE	POSITION	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	B29.13MM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C30.13LM	C31.13MP	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_04838	673	316.47	341.63	299.70	353.53	310.20	325.63	275.51	240.73	271.82	535.35	576.29	270.46	317.12	685.77	1017.05	270.64	224.98	254.65	235.69	1173.43	443.05	367.47	302.57	247.17	848.76	887.56	957.15	804.23	860.48	794.43	747.19	801.05	783.62	659.79	765.26	777.28	497.75	503.25	0.00	0.69	0.15	0.00	0.00	0.00	771.73	1143.45	0.00	0.66	1.03	0.92	0.00	0.24	705.54	704.96	0.00
CLUG_04839	2776	228.33	275.69	217.78	252.86	248.93	258.16	212.91	171.68	223.97	388.86	457.37	212.71	231.67	511.38	704.26	190.63	180.70	194.27	185.45	893.20	334.83	284.53	222.05	235.94	663.50	711.15	746.06	623.75	701.41	612.61	554.05	640.96	612.47	509.68	605.36	610.35	475.94	493.92	0.11	0.77	0.26	0.00	0.14	0.00	624.48	915.21	0.00	1.02	0.67	2.32	0.00	0.00	610.16	565.99	0.37
CLUG_04840	4879	180.49	205.75	158.01	196.43	181.17	191.91	161.83	146.18	157.02	296.59	391.67	165.14	180.89	341.72	543.47	149.68	148.95	154.33	158.74	666.52	265.29	222.97	173.79	224.89	506.57	544.28	549.83	490.19	513.37	459.22	431.13	516.85	464.62	406.22	468.82	459.48	344.02	370.65	20.91	21.59	0.00	24.70	28.11	23.69	453.42	718.80	18.05	20.05	24.84	25.58	24.71	17.50	445.77	420.09	19.94
CLUG_04841	8130	156.61	191.65	139.91	199.95	184.98	179.00	156.71	130.62	150.16	301.83	389.08	161.47	173.81	363.13	542.87	144.57	134.25	138.72	139.35	634.87	250.89	217.34	180.56	222.49	494.51	515.47	544.95	493.94	524.77	454.04	427.99	485.01	442.21	390.50	439.07	445.43	298.31	330.81	0.00	0.44	0.00	0.00	0.00	0.35	471.65	668.00	0.00	0.00	0.00	0.78	0.00	0.00	440.06	420.10	0.33
CLUG_04842	13613	175.37	221.19	156.35	206.57	189.96	192.81	163.91	135.56	174.23	298.25	403.01	159.43	191.68	395.71	574.01	161.00	141.17	156.88	149.74	698.16	266.25	235.65	190.20	230.10	495.30	517.05	567.72	482.43	511.89	465.26	428.94	495.42	454.56	403.08	470.39	457.29	295.53	320.90	0.00	0.00	0.03	0.00	0.84	0.00	450.63	667.41	0.00	0.00	0.92	1.69	0.26	0.02	434.44	439.24	0.68
CLUG_04843	14980	163.40	190.54	146.02	181.58	181.71	194.25	146.09	115.89	173.89	261.55	363.95	146.01	178.22	368.69	525.90	138.97	125.85	145.78	128.96	632.86	224.93	204.15	165.70	227.29	462.07	445.16	514.70	424.63	483.18	418.00	413.95	486.14	404.26	362.16	427.44	410.79	275.79	288.52	0.00	0.00	0.68	0.00	0.00	0.00	425.55	629.12	0.05	0.59	1.25	1.51	0.00	0.00	398.45	402.30	0.00
CLUG_04844	18352	196.81	234.83	181.81	228.90	229.47	218.51	181.21	160.92	193.34	354.24	424.40	194.94	201.75	426.63	624.33	175.28	165.60	169.38	166.09	770.40	281.45	253.14	195.07	226.03	600.80	640.17	679.91	616.90	612.20	551.80	529.99	585.89	547.61	405.98	571.86	555.68	449.15	491.10	0.20	0.14	0.24	0.21	0.89	0.14	575.14	794.87	0.00	0.34	0.52	1.28	0.00	0.14	530.93	523.76	0.23
CLUG_04845	23494	122.57	154.72	126.44	151.63	143.46	140.53	120.76	105.72	123.83	242.35	301.61	120.91	141.77	289.69	414.00	111.17	105.65	121.77	112.26	520.38	192.90	169.92	142.17	178.17	446.01	470.15	485.62	425.06	446.51	396.07	373.80	428.67	391.53	349.47	382.36	396.30	329.66	345.78	0.15	0.34	0.00	0.11	0.33	0.05	416.12	574.64	0.06	0.01	0.32	1.35	0.00	0.05	380.47	369.01	0.20
CLUG_04846	25872	109.46	133.40	112.27	129.89	120.05	125.39	112.99	100.94	101.91	215.53	263.20	109.21	120.71	254.29	361.92	97.33	93.92	103.63	98.48	458.34	174.08	150.12	133.27	154.29	401.57	421.17	440.79	381.72	401.75	359.97	329.46	375.80	355.10	315.61	345.68	356.86	307.35	329.04	0.25	0.19	0.00	0.00	0.33	0.14	381.13	512.88	0.15	0.00	0.36	0.78	0.00	0.00	344.75	335.19	0.15
CLUG_04847	33948	150.17	178.43	129.55	176.76	179.29	156.93	138.47	128.85	151.48	260.72	319.68	136.32	165.62	341.29	496.18	135.35	126.10	134.17	137.38	603.46	209.90	196.10	165.49	210.93	466.28	511.70	547.90	490.30	493.76	423.76	426.39	458.47	434.54	367.48	447.87	427.81	363.00	374.95	413.20	467.71	633.61	478.30	580.21	466.81	465.54	603.70	422.72	475.01	545.02	480.81	518.84	400.31	416.60	413.29	403.16
