GENE	POSITION	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_02301	10383	8.9812	POSITION	UNK	P
CLUG_02301	10383	10.0666	A10.L4C	L	A
CLUG_02301	10383	10.2499	A11.L11G	L	A
CLUG_02301	10383	12.2774	A12.L10B	L	A
CLUG_02301	10383	9.6837	A13.L3B	L	A
CLUG_02301	10383	9.5376	A14.L4E	L	A
CLUG_02301	10383	9.3732	A15.L4G	L	A
CLUG_02301	10383	10.8796	A16.L7C	L	A
CLUG_02301	10383	9.2428	A17.L1B	L	A
CLUG_02301	10383	6.7374	A18.S4H	S	A
CLUG_02301	10383	3.8666	A19.S3B	S	A
CLUG_02301	10383	7.9836	A2.U10A	U	A
CLUG_02301	10383	10.5544	A20.S1E	S	A
CLUG_02301	10383	10.2515	A21.S8A	S	A
CLUG_02301	10383	9.7553	A22.UpperP	U	A
CLUG_02301	10383	8.8951	A23.LowerP	L	A
CLUG_02301	10383	10.3487	A24.SputuP	S	A
CLUG_02301	10383	9.5907	A3.U3G	U	A
CLUG_02301	10383	10.7681	A4.U3B	U	A
CLUG_02301	10383	8.1357	A5.U10D	U	A
CLUG_02301	10383	11.7217	A6.U5C	U	A
CLUG_02301	10383	9.6526	A7.U3E	U	A
CLUG_02301	10383	10.6299	A8.U2E	U	A
CLUG_02301	10383	12.0738	A9.L3D	L	A
CLUG_02301	10383	6.0233	ATCC42720	Blood	ATCC42720
CLUG_02301	10383	9.0853	B16.1310D	L	B
CLUG_02301	10383	7.6503	B17.1311G	L	B
CLUG_02301	10383	6.2081	B18.1312G	L	B
CLUG_02301	10383	4.8203	B19.1310A	L	B
CLUG_02301	10383	5.6642	B20.1311A	L	B
CLUG_02301	10383	6.3340	B21.1312A	L	B
CLUG_02301	10383	6.5010	B22.134E	U	B
CLUG_02301	10383	6.7632	B23.133H	U	B
CLUG_02301	10383	6.5113	B24.133F	U	B
CLUG_02301	10383	7.7164	B25.135C	U	B
CLUG_02301	10383	7.0514	B26.131A	U	B
CLUG_02301	10383	8.7421	B27.136A	U	B
CLUG_02301	10383	10.0248	B28.13UM	U	B
CLUG_02301	10383	14.8376	B29.13MM	M	B
CLUG_02301	10383	11.9401	C10.9M3	M	C
CLUG_02301	10383	12.5593	C11.9M41	M	C
CLUG_02301	10383	9.3160	C12.9U1	U	C
CLUG_02301	10383	10.7410	C13.9U2	U	C
CLUG_02301	10383	6.9272	C14.9U3	U	C
CLUG_02301	10383	6.5883	C15.9U4s	U	C
CLUG_02301	10383	7.1183	C30.13LM	L	C
CLUG_02301	10383	11.7630	C31.13MP	U	C
CLUG_02301	10383	14.8348	C4.9L1	L	C
CLUG_02301	10383	12.4909	C5.9L2	L	C
CLUG_02301	10383	13.2900	C6.9L3	L	C
CLUG_02301	10383	13.3897	C7.9L4	L	C
CLUG_02301	10383	10.5452	C8.9M1	M	C
CLUG_02301	10383	10.0338	C9.9M2	M	C
CLUG_02301	10383	10.3467	ctl1.AL1B	L	A
CLUG_02301	10383	11.7104	ctl2.AL1B	L	A
CLUG_02302	14102	1.3160	POSITION	UNK	P
CLUG_02302	14102	1.3470	A10.L4C	L	A
CLUG_02302	14102	1.3080	A11.L11G	L	A
CLUG_02302	14102	1.2695	A12.L10B	L	A
CLUG_02302	14102	1.6389	A13.L3B	L	A
CLUG_02302	14102	1.0097	A14.L4E	L	A
CLUG_02302	14102	1.3411	A15.L4G	L	A
CLUG_02302	14102	0.7446	A16.L7C	L	A
CLUG_02302	14102	1.2004	A17.L1B	L	A
CLUG_02302	14102	0.5036	A18.S4H	S	A
CLUG_02302	14102	0.5531	A19.S3B	S	A
CLUG_02302	14102	0.8064	A2.U10A	U	A
CLUG_02302	14102	1.1930	A20.S1E	S	A
CLUG_02302	14102	1.3447	A21.S8A	S	A
CLUG_02302	14102	1.1509	A22.UpperP	U	A
