GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_05234	170.54	200.98	164.58	209.85	200.21	193.91	158.61	141.19	160.72	310.92	209.83	154.59	177.21	369.92	565.58	146.52	136.30	144.73	142.33	669.29	252.26	220.73	180.30	229.40	515.11	556.48	574.39	512.46	535.25	477.70	464.80	535.46	473.70	421.23	449.11	466.03	340.75	456.73	533.76	683.67	533.09	614.48	501.66	481.41	527.50	605.17	513.69	593.05	465.06	456.29	434.76	461.62
CLUG_05235	176.58	206.26	170.88	206.12	194.69	192.25	165.39	143.70	177.38	294.35	198.53	163.09	172.99	385.93	574.45	145.42	140.86	155.52	157.01	684.31	255.00	221.73	197.39	235.11	501.00	532.03	576.39	518.44	520.03	461.46	446.11	510.81	452.01	404.58	475.46	458.84	328.48	434.21	493.45	655.81	498.59	608.97	490.46	431.75	527.71	560.75	490.24	552.30	415.25	431.06	417.45	438.57
CLUG_05236	181.18	191.91	158.37	205.42	176.81	187.04	161.23	139.38	163.79	301.94	193.43	163.37	175.39	379.44	554.12	153.47	131.07	148.48	137.49	659.62	257.53	227.32	175.84	229.16	503.01	531.68	577.12	508.64	522.24	461.00	442.57	502.16	443.26	413.21	473.65	448.80	319.37	432.07	501.17	654.48	524.05	616.18	496.67	454.03	487.29	573.08	523.05	558.77	415.45	423.32	408.58	444.08
CLUG_05237	121.55	148.95	127.99	152.65	148.96	153.65	122.49	111.05	130.52	243.99	156.28	134.78	137.74	279.01	402.83	106.07	111.84	124.68	125.74	534.63	190.65	178.65	138.76	187.41	451.42	486.61	491.23	471.86	509.94	429.69	390.73	439.42	415.36	371.73	415.82	390.30	408.79	401.37	462.36	610.25	446.78	535.59	435.99	406.23	457.37	515.98	456.14	476.58	380.99	380.04	371.70	384.61
CLUG_05238	163.59	199.33	147.10	186.08	185.35	169.81	145.38	132.75	152.89	267.30	175.12	150.20	168.69	350.75	521.18	133.26	125.00	139.81	127.38	606.91	226.58	212.27	163.61	212.31	493.30	478.72	546.42	478.27	518.54	455.68	421.62	493.54	438.62	404.76	469.13	442.31	348.45	431.98	478.69	633.88	512.52	576.61	492.55	429.94	479.22	558.39	493.46	533.89	412.04	403.52	441.94	452.51
CLUG_05239	153.87	191.06	142.99	185.28	171.65	157.14	140.81	122.54	149.68	284.92	186.05	152.38	166.88	338.81	493.18	148.37	128.17	137.08	136.35	606.97	235.68	193.87	162.68	210.82	484.66	503.67	544.26	495.21	490.34	444.54	417.83	484.89	417.32	381.01	440.03	430.90	340.58	405.47	475.44	631.14	481.06	583.74	472.42	441.60	480.37	574.64	481.83	541.56	412.36	418.26	413.89	435.55
CLUG_05240	149.64	179.61	145.03	184.70	165.14	162.59	130.19	121.55	149.05	269.01	177.37	141.22	166.33	321.22	484.06	129.77	126.85	134.72	123.65	602.15	223.33	195.73	165.78	210.48	465.66	504.95	525.64	489.78	495.44	429.68	419.63	466.88	422.51	394.83	454.06	424.89	353.09	416.59	476.06	630.88	476.25	573.99	465.34	418.97	488.78	554.63	489.69	516.07	401.89	406.99	404.21	421.18
CLUG_05241	155.35	182.61	145.42	181.16	172.34	156.45	136.15	124.78	150.37	287.99	172.10	144.57	171.51	330.94	480.62	136.83	125.26	132.37	133.65	605.25	232.09	206.79	169.32	207.37	484.01	517.50	559.39	509.11	522.57	453.70	435.19	501.42	432.02	412.34	471.46	467.29	365.84	436.45	492.51	656.60	497.77	605.33	503.66	442.60	498.60	579.74	492.59	542.30	419.48	429.35	427.86	440.17
CLUG_05242	151.71	180.77	141.91	176.89	180.05	166.76	139.47	119.82	151.18	278.31	176.40	142.54	172.40	338.30	493.90	137.27	129.47	137.71	133.94	594.37	230.69	204.61	160.72	218.74	457.85	513.22	532.24	521.89	498.86	442.12	418.40	490.73	429.14	397.31	439.78	457.37	354.92	419.22	498.04	652.58	496.08	575.29	476.55	450.63	500.24	555.22	482.77	529.96	423.93	418.19	412.14	445.60
CLUG_05243	141.76	179.50	143.37	187.62	161.58	161.20	137.26	133.38	143.65	286.30	177.09	150.97	167.55	330.19	528.45	132.11	125.38	133.68	141.16	598.34	223.56	198.65	149.34	225.51	461.37	507.83	558.10	525.31	467.83	422.60	416.93	482.81	418.72	398.48	452.49	472.88	324.81	433.36	472.88	639.61	485.03	593.54	452.04	429.63	497.37	578.57	483.73	496.18	381.26	400.10	421.61	412.57
