GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_05601	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	203.79	1.12	0.06	0.06	1.70	0.00	0.12	0.00	0.00	0.00	0.32	0.00	1.38	0.06	394.73	462.76	609.04	452.49	559.37	455.67	415.32	469.58	521.76	466.87	502.41	387.50	0.04	0.13	404.38
CLUG_05602	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	246.59	1.76	0.00	0.00	2.16	0.00	0.00	0.00	0.00	0.00	0.80	0.00	0.96	0.00	402.05	458.79	613.66	474.04	571.25	468.68	419.80	465.34	554.09	462.21	507.68	407.96	0.00	0.00	401.63
CLUG_05603	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	231.25	1.95	0.00	0.00	1.38	0.00	0.00	0.25	0.00	0.00	0.72	0.00	0.95	0.25	369.73	435.38	564.15	449.85	532.83	420.73	427.34	425.27	512.11	445.71	486.47	378.61	0.00	0.15	375.68
CLUG_05604	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	220.81	1.21	0.00	0.00	0.39	0.00	0.27	0.00	0.00	0.00	0.82	0.00	0.71	0.47	228.16	262.25	358.39	278.40	324.02	237.62	253.99	270.51	330.29	279.09	327.36	246.54	0.00	0.00	240.40
CLUG_05605	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	209.60	1.26	0.00	0.00	1.94	0.00	0.00	0.12	0.00	0.00	0.30	0.00	1.35	0.32	406.82	476.09	617.30	497.54	568.52	453.86	441.44	473.85	551.43	463.87	502.48	427.54	0.00	0.00	413.02
CLUG_05606	0.00	0.00	0.04	0.02	0.00	0.00	0.02	0.00	0.00	0.00	0.16	0.00	0.00	0.04	0.02	0.02	0.13	0.00	0.00	0.00	0.13	0.00	0.00	223.46	1.94	0.04	0.14	1.26	0.16	0.00	0.18	0.00	0.00	0.35	0.16	0.54	0.22	354.30	380.72	508.04	410.03	496.50	397.69	359.49	405.92	455.22	384.31	423.32	342.05	0.00	0.09	360.22
CLUG_05607	153.11	354.99	149.77	177.79	166.40	171.14	152.74	123.81	136.27	280.94	175.05	145.77	163.54	355.65	557.40	129.95	130.49	135.32	129.88	610.15	225.58	198.02	158.26	202.38	462.60	511.04	516.14	466.58	492.95	424.84	402.88	460.47	425.22	385.91	429.37	432.70	309.03	351.08	398.30	520.55	426.74	509.61	423.15	389.90	408.90	484.76	407.57	450.86	342.95	418.15	406.91	365.11
CLUG_05608	156.59	332.44	149.00	178.18	164.26	166.98	136.44	112.73	131.58	265.93	179.46	144.99	153.29	333.96	520.98	132.30	120.94	125.16	123.79	593.67	219.56	184.10	161.10	185.50	416.58	461.71	483.17	422.31	441.84	402.01	366.92	417.83	377.72	342.63	412.56	388.52	328.62	325.38	366.52	512.66	408.87	497.19	396.06	344.46	401.40	453.94	392.84	401.67	327.37	375.48	380.55	366.09
CLUG_05609	147.41	358.96	149.45	173.93	167.37	169.01	146.29	120.99	145.99	267.35	180.96	141.21	160.04	355.56	559.59	134.05	122.22	138.22	137.27	603.03	235.40	187.50	153.94	190.87	440.47	467.80	482.90	453.77	446.26	404.94	364.29	430.04	393.77	368.26	437.17	402.36	291.06	350.43	387.15	512.35	413.54	502.49	392.27	344.01	430.81	455.27	393.50	427.45	337.46	388.38	383.47	363.92
CLUG_05610	155.08	393.70	149.90	198.09	176.15	185.51	154.99	125.67	148.23	284.68	193.79	157.78	165.93	384.46	611.13	142.08	122.89	142.75	134.96	659.83	248.72	213.38	167.11	213.76	451.64	496.78	511.37	463.42	479.93	432.39	420.56	442.18	422.74	388.01	448.79	434.30	313.73	369.26	399.27	545.73	436.44	509.00	426.49	376.16	437.02	479.71	403.55	448.63	359.96	411.82	414.43	389.57
