GENE	POSITION	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_05601	1	0.0000	POSITION	UNK	P
CLUG_05601	1	0.0000	A10.L4C	L	A
CLUG_05601	1	0.0000	A11.L11G	L	A
CLUG_05601	1	0.0000	A12.L10B	L	A
CLUG_05601	1	0.0000	A13.L3B	L	A
CLUG_05601	1	0.0000	A14.L4E	L	A
CLUG_05601	1	0.0000	A15.L4G	L	A
CLUG_05601	1	0.0000	A16.L7C	L	A
CLUG_05601	1	0.0000	A17.L1B	L	A
CLUG_05601	1	0.0000	A18.S4H	S	A
CLUG_05601	1	0.0000	A19.S3B	S	A
CLUG_05601	1	0.0000	A2.U10A	U	A
CLUG_05601	1	0.0000	A20.S1E	S	A
CLUG_05601	1	0.0000	A21.S8A	S	A
CLUG_05601	1	0.0000	A22.UpperP	U	A
CLUG_05601	1	0.0000	A23.LowerP	L	A
CLUG_05601	1	0.0000	A24.SputuP	S	A
CLUG_05601	1	0.0001	A3.U3G	U	A
CLUG_05601	1	0.0000	A4.U3B	U	A
CLUG_05601	1	0.0000	A5.U10D	U	A
CLUG_05601	1	0.0000	A6.U5C	U	A
CLUG_05601	1	0.0000	A7.U3E	U	A
CLUG_05601	1	0.0000	A8.U2E	U	A
CLUG_05601	1	1.2442	A9.L3D	L	A
CLUG_05601	1	0.0033	ATCC42720	Blood	ATCC42720
CLUG_05601	1	0.0002	B16.1310D	L	B
CLUG_05601	1	0.0002	B17.1311G	L	B
CLUG_05601	1	0.0047	B18.1312G	L	B
CLUG_05601	1	0.0000	B19.1310A	L	B
CLUG_05601	1	0.0004	B20.1311A	L	B
CLUG_05601	1	0.0000	B21.1312A	L	B
CLUG_05601	1	0.0000	B22.134E	U	B
CLUG_05601	1	0.0000	B23.133H	U	B
CLUG_05601	1	0.0011	B24.133F	U	B
CLUG_05601	1	0.0000	B25.135C	U	B
CLUG_05601	1	0.0042	B26.131A	U	B
CLUG_05601	1	0.0002	B27.136A	U	B
CLUG_05601	1	0.0000	B28.13UM	U	B
CLUG_05601	1	1.5580	B29.13MM	M	B
CLUG_05601	1	1.6239	C10.9M3	M	C
CLUG_05601	1	1.8052	C11.9M41	M	C
CLUG_05601	1	1.2747	C12.9U1	U	C
CLUG_05601	1	1.4763	C13.9U2	U	C
CLUG_05601	1	1.3329	C14.9U3	U	C
CLUG_05601	1	0.0000	C15.9U4s	U	C
CLUG_05601	1	0.0002	C30.13LM	L	C
