GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	B29.13MM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C30.13LM	C31.13MP	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_01210	187.03	204.96	185.76	209.99	187.65	200.59	183.77	133.84	173.98	310.58	229.31	170.68	188.05	402.25	605.88	163.27	146.80	155.67	157.04	709.66	272.97	225.88	196.96	252.65	496.57	529.65	562.78	470.33	498.82	435.73	432.79	510.28	462.74	402.56	474.15	466.98	309.33	339.74	420.08	484.56	631.91	501.98	606.75	467.86	455.73	618.09	419.07	497.44	537.32	482.03	556.31	417.35	415.61	428.97	439.44
CLUG_01211	193.25	199.72	173.59	218.52	206.19	190.65	173.71	152.83	170.19	319.45	236.17	186.80	187.61	394.81	635.61	166.63	144.28	160.04	155.48	704.57	265.68	226.65	197.29	250.26	549.53	581.83	567.82	518.54	505.36	481.56	462.76	520.92	471.38	410.08	465.28	469.50	321.39	361.69	454.83	508.42	662.51	514.96	598.55	499.89	499.49	657.29	461.27	521.42	571.90	512.78	574.44	419.05	455.02	432.51	451.59
CLUG_01212	183.70	195.74	166.46	210.22	203.15	198.18	179.60	135.64	178.85	285.89	194.62	170.34	179.16	393.92	580.68	144.63	154.07	166.37	156.72	696.62	243.39	207.66	183.39	228.61	542.30	585.72	587.35	505.33	532.80	489.62	465.62	524.06	473.29	425.22	493.37	458.90	404.58	441.48	488.35	525.73	688.67	522.22	610.80	493.49	502.26	659.59	472.77	522.58	566.14	523.00	565.93	426.88	440.05	454.05	457.65
CLUG_01213	184.38	214.69	166.45	215.85	204.30	188.10	170.62	155.66	168.98	317.63	214.14	173.12	197.99	380.43	589.15	158.18	149.90	151.18	154.47	697.36	253.89	223.98	196.46	232.02	537.86	584.71	624.18	523.50	541.82	496.06	488.38	549.33	479.10	424.94	507.57	466.87	408.86	455.50	455.81	529.22	687.11	545.69	632.05	506.84	518.12	649.57	467.93	542.63	599.10	511.55	574.05	452.02	462.02	463.40	465.00
CLUG_01214	174.11	221.75	176.96	214.90	204.93	199.97	177.62	158.80	176.38	312.25	220.22	178.61	193.67	394.25	571.37	158.74	147.38	161.11	156.80	701.45	271.11	232.19	185.79	234.61	539.70	565.15	591.56	512.64	533.98	482.37	460.45	531.64	492.29	409.88	469.37	473.52	342.48	389.11	453.88	509.12	666.45	532.00	603.92	500.10	500.95	660.42	462.50	491.51	584.12	513.58	581.44	448.65	457.90	453.11	441.38
CLUG_01215	200.97	225.63	184.04	219.40	209.24	196.53	183.05	153.79	176.93	325.27	228.82	184.00	194.19	426.66	609.85	171.43	151.82	164.44	155.05	723.20	273.64	241.88	195.44	246.31	537.55	571.55	610.98	543.89	558.20	488.93	483.51	562.46	489.20	439.25	504.17	482.22	353.96	378.55	458.67	515.27	664.39	533.18	618.98	523.68	497.54	673.85	457.56	532.40	573.71	523.11	581.68	453.97	455.23	450.34	473.60
CLUG_01216	182.32	207.56	176.73	211.23	196.67	182.96	163.21	141.47	165.58	294.29	196.30	173.31	183.49	386.77	575.36	145.56	145.02	149.95	153.77	690.44	251.17	229.58	191.39	233.76	543.10	587.98	584.72	536.01	532.34	490.25	487.79	541.30	469.62	420.38	477.92	458.33	410.74	434.51	445.95	518.68	656.02	535.88	601.34	502.53	500.20	681.39	479.60	535.58	591.66	528.49	594.95	436.08	474.83	435.33	462.61
CLUG_01217	180.03	199.41	170.28	208.97	187.04	185.06	155.11	130.04	154.64	284.49	202.84	157.99	196.58	366.00	565.60	152.57	126.11	141.48	145.22	659.13	252.64	204.90	173.89	242.33	507.20	587.11	539.09	502.70	523.82	445.54	439.36	511.00	455.41	413.45	450.25	482.36	382.93	421.55	440.81	522.83	674.62	523.97	594.17	485.19	487.36	622.74	478.89	508.00	555.93	489.57	544.36	431.34	416.20	449.13	440.90
CLUG_01218	158.56	197.81	174.80	206.95	202.43	190.02	157.98	138.77	169.07	293.58	195.07	163.25	184.26	371.18	560.05	151.93	138.53	138.76	151.29	653.13	263.53	219.42	188.78	227.05	512.99	546.03	587.62	478.41	510.10	456.00	436.31	514.67	462.08	411.18	470.53	449.79	314.64	332.11	428.69	487.00	637.28	503.37	581.66	462.01	465.78	634.82	430.14	503.19	565.68	486.28	543.28	422.89	444.39	434.61	431.27
CLUG_01219	181.25	213.21	165.94	211.28	202.72	177.13	168.72	142.71	174.99	314.52	213.41	165.89	184.08	387.77	588.38	152.89	148.42	151.69	152.95	693.77	264.91	230.09	182.61	245.63	520.59	563.93	617.67	523.40	537.65	492.39	457.02	547.84	471.47	438.91	470.94	484.66	400.09	424.80	457.58	527.04	698.31	531.29	631.32	497.78	493.83	667.13	465.96	519.24	583.77	516.08	566.20	448.58	463.24	453.50	467.43
CLUG_01220	178.27	208.04	171.98	215.81	205.33	187.36	165.64	145.76	178.18	309.34	205.21	163.66	191.38	395.67	587.80	166.51	153.98	152.19	149.77	698.16	266.47	228.74	187.41	248.95	497.18	553.41	581.60	511.44	511.69	455.37	447.37	517.17	448.24	412.10	462.21	456.07	329.32	345.55	442.32	492.70	637.38	497.21	600.56	494.57	482.47	634.45	437.79	511.19	547.04	484.41	543.06	404.34	446.40	434.77	444.06
CLUG_01221	171.90	198.87	163.55	198.26	210.08	175.94	154.78	148.83	167.29	282.45	183.61	148.23	173.69	377.66	535.70	154.16	140.08	140.78	164.22	658.01	245.44	200.04	187.32	224.93	478.73	526.91	544.96	477.39	493.40	433.68	413.39	486.19	434.70	380.78	446.54	441.75	310.68	341.10	422.63	467.75	612.36	492.74	554.74	456.35	448.22	621.54	436.08	503.38	545.32	475.67	535.43	403.58	422.58	407.16	422.91
CLUG_01222	158.10	202.80	153.20	193.18	188.31	165.93	150.75	134.66	155.06	289.77	177.91	133.06	167.87	350.16	514.36	122.57	141.71	155.32	139.19	612.73	225.88	206.47	164.16	224.37	476.87	522.66	545.58	503.13	484.55	407.38	439.01	519.85	432.86	392.29	441.56	437.29	365.07	388.73	422.71	496.23	629.04	489.95	583.58	471.28	462.24	615.60	438.70	497.69	535.54	478.20	538.62	404.87	437.90	430.66	420.56
CLUG_01223	134.21	172.81	146.76	176.48	169.41	144.41	126.88	120.08	147.63	253.91	164.08	140.49	146.25	318.80	449.97	118.57	123.38	128.09	123.88	558.33	208.94	197.75	150.60	211.08	440.01	477.92	502.73	455.99	432.40	396.89	397.91	450.90	385.54	355.75	428.82	407.22	296.39	335.01	383.85	429.67	552.96	448.62	502.42	414.22	431.97	598.83	416.37	437.29	493.93	441.00	472.43	373.63	382.86	390.79	388.92
