GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	B29.13MM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C30.13LM	C31.13MP	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_04101	208.54	186.00	188.68	195.95	202.98	226.75	181.62	175.96	207.29	364.38	219.79	196.99	196.51	413.31	615.49	186.73	140.80	147.65	155.48	817.57	263.87	254.39	194.94	296.55	547.69	545.93	628.26	527.90	477.76	408.25	496.11	551.50	561.47	386.78	482.69	385.24	381.79	444.77	560.14	576.48	822.45	741.43	891.90	628.51	480.27	656.57	580.88	615.87	740.88	640.34	784.87	479.30	423.26	405.09	605.77
CLUG_04102	157.01	176.45	150.97	189.35	184.22	168.53	151.93	124.48	133.40	261.38	185.05	149.24	160.41	321.62	478.73	130.86	121.34	140.19	119.85	589.35	225.34	205.09	158.57	208.09	463.84	493.37	510.25	456.59	474.99	416.97	406.57	470.43	417.30	389.49	426.63	381.50	321.36	357.19	384.65	427.88	531.11	455.70	532.91	418.06	446.39	570.80	394.24	442.93	487.05	426.13	474.88	385.95	405.65	378.32	399.23
CLUG_04103	168.08	183.80	154.39	197.31	181.54	169.07	167.73	131.89	128.36	271.21	179.01	147.59	163.96	337.02	509.67	129.77	129.31	145.49	128.50	618.62	243.29	209.17	160.22	212.21	485.45	527.64	556.47	473.59	502.45	444.45	420.66	502.44	442.54	412.57	448.27	403.84	338.23	379.22	402.81	462.22	571.18	477.39	553.34	431.49	459.19	611.76	423.94	468.99	516.52	450.67	490.16	387.00	435.61	401.46	413.52
CLUG_04104	175.07	192.91	156.24	192.65	190.44	190.71	164.85	140.61	154.58	287.28	193.10	166.82	177.84	356.22	519.95	138.48	138.93	140.23	143.02	662.23	245.28	210.74	184.46	207.72	565.67	577.65	641.22	527.69	539.38	484.49	477.46	524.52	492.39	422.91	484.02	462.57	459.71	520.86	455.70	490.67	655.28	520.61	601.70	486.73	527.67	633.63	456.08	510.31	589.95	507.88	571.78	444.73	441.46	441.77	449.72
CLUG_04105	171.02	181.32	154.58	176.10	180.35	178.56	171.53	136.32	145.36	271.59	179.40	156.43	169.70	345.52	497.81	128.39	125.17	147.49	128.41	610.75	250.97	207.45	156.39	213.94	508.22	517.97	561.15	512.43	517.36	451.87	432.97	529.28	445.26	400.25	445.17	446.88	340.28	378.83	437.86	475.26	607.79	492.86	588.90	452.49	481.45	600.08	419.92	491.31	548.71	472.81	522.19	404.96	425.11	424.98	414.14
CLUG_04106	153.76	167.90	152.11	192.93	179.63	169.64	158.79	124.60	149.88	278.65	190.72	159.83	164.52	323.64	481.46	126.18	123.62	138.82	130.77	611.86	230.08	197.84	162.33	191.50	501.87	519.56	579.64	508.46	500.72	476.09	435.70	503.52	456.60	418.44	431.95	445.76	389.22	448.88	423.33	478.73	599.94	498.23	574.48	463.01	499.81	621.11	431.31	488.35	551.12	485.88	538.02	420.27	438.42	414.24	432.75
CLUG_04107	146.95	159.57	144.88	166.84	166.53	161.30	144.11	109.25	148.13	244.68	165.70	134.94	142.21	294.35	425.77	116.96	124.85	125.64	120.74	534.18	224.55	181.65	145.35	187.97	514.25	505.19	542.85	496.41	503.20	414.48	401.03	471.14	435.41	382.18	455.41	398.33	398.03	468.28	466.12	467.29	595.54	475.89	532.84	437.89	445.97	591.50	414.33	458.62	525.46	469.09	485.66	377.11	396.48	385.78	423.18
CLUG_04108	119.69	119.72	104.41	153.29	139.69	118.59	121.79	100.75	108.37	195.68	132.83	131.99	122.19	237.07	350.20	87.95	96.84	91.40	89.81	447.42	178.90	144.54	127.26	140.02	420.45	380.48	501.18	424.06	396.81	355.19	370.77	416.00	334.24	332.41	367.39	343.54	341.06	412.58	337.92	391.01	472.47	386.04	477.35	387.56	388.06	522.61	334.75	408.52	458.80	391.38	417.12	281.25	352.25	351.33	351.13
CLUG_04109	146.47	184.81	153.71	192.97	186.94	179.46	156.55	138.91	151.02	275.52	186.88	151.31	174.45	356.86	510.97	133.92	144.08	148.89	127.17	658.82	239.46	217.89	171.08	212.53	516.33	522.30	585.71	512.40	502.04	466.53	458.68	532.63	462.02	404.06	471.30	439.85	370.86	406.23	417.93	460.79	597.41	510.00	567.76	479.92	463.97	626.62	432.55	497.45	558.35	481.65	531.52	426.61	436.79	423.19	440.43
CLUG_04110	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	244.56	6.24	0.00	0.77	6.20	0.21	0.00	0.35	0.00	0.00	3.08	0.08	4.44	0.58	0.00	1005.83	1194.18	1277.55	1510.74	1444.76	1289.49	0.00	0.00	1149.07	1263.02	1412.32	1238.02	1322.43	1157.65	0.16	0.02	1265.85
