GENE	POSITION	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_04101	111	1.6522	POSITION	UNK	P
CLUG_04101	111	1.1862	A10.L4C	L	A
CLUG_04101	111	1.6025	A11.L11G	L	A
CLUG_04101	111	1.3094	A12.L10B	L	A
CLUG_04101	111	1.4228	A13.L3B	L	A
CLUG_04101	111	1.6052	A14.L4E	L	A
CLUG_04101	111	1.4593	A15.L4G	L	A
CLUG_04101	111	1.7396	A16.L7C	L	A
CLUG_04101	111	1.5917	A17.L1B	L	A
CLUG_04101	111	1.6572	A18.S4H	S	A
CLUG_04101	111	1.5828	A19.S3B	S	A
CLUG_04101	111	1.6197	A2.U10A	U	A
CLUG_04101	111	1.3734	A20.S1E	S	A
CLUG_04101	111	1.5190	A21.S8A	S	A
CLUG_04101	111	1.5723	A22.UpperP	U	A
CLUG_04101	111	1.5599	A23.LowerP	L	A
CLUG_04101	111	1.3461	A24.SputuP	S	A
CLUG_04101	111	1.3071	A3.U3G	U	A
CLUG_04101	111	1.3992	A4.U3B	U	A
CLUG_04101	111	1.6358	A5.U10D	U	A
CLUG_04101	111	1.4930	A6.U5C	U	A
CLUG_04101	111	1.5789	A7.U3E	U	A
CLUG_04101	111	1.5064	A8.U2E	U	A
CLUG_04101	111	1.8106	A9.L3D	L	A
CLUG_04101	111	1.6379	ATCC42720	Blood	ATCC42720
CLUG_04101	111	1.5791	B16.1310D	L	B
CLUG_04101	111	1.7050	B17.1311G	L	B
CLUG_04101	111	1.4750	B18.1312G	L	B
CLUG_04101	111	1.5395	B19.1310A	L	B
CLUG_04101	111	1.3182	B20.1311A	L	B
CLUG_04101	111	1.5935	B21.1312A	L	B
CLUG_04101	111	1.7043	B22.134E	U	B
CLUG_04101	111	1.7218	B23.133H	U	B
CLUG_04101	111	1.3590	B24.133F	U	B
CLUG_04101	111	1.4638	B25.135C	U	B
CLUG_04101	111	1.1589	B26.131A	U	B
CLUG_04101	111	1.5377	B27.136A	U	B
CLUG_04101	111	1.6750	B28.13UM	U	B
CLUG_04101	111	2.2108	B29.13MM	M	B
CLUG_04101	111	2.0230	C10.9M3	M	C
CLUG_04101	111	2.4377	C11.9M41	M	C
CLUG_04101	111	2.0887	C12.9U1	U	C
CLUG_04101	111	2.3540	C13.9U2	U	C
CLUG_04101	111	1.8385	C14.9U3	U	C
CLUG_04101	111	1.4723	C15.9U4s	U	C
CLUG_04101	111	1.8849	C30.13LM	L	C
CLUG_04101	111	2.0973	C31.13MP	U	C
CLUG_04101	111	1.9865	C4.9L1	L	C
CLUG_04101	111	2.1707	C5.9L2	L	C
CLUG_04101	111	2.1932	C6.9L3	L	C
CLUG_04101	111	2.5403	C7.9L4	L	C
CLUG_04101	111	1.7171	C8.9M1	M	C
CLUG_04101	111	1.3342	C9.9M2	M	C
CLUG_04101	111	1.2939	ctl1.AL1B	L	A
CLUG_04101	111	2.0282	ctl2.AL1B	L	A
CLUG_04102	2429	1.2439	POSITION	UNK	P
CLUG_04102	2429	1.1253	A10.L4C	L	A
CLUG_04102	2429	1.2822	A11.L11G	L	A
CLUG_04102	2429	1.2653	A12.L10B	L	A
CLUG_04102	2429	1.2913	A13.L3B	L	A
CLUG_04102	2429	1.1930	A14.L4E	L	A
CLUG_04102	2429	1.2207	A15.L4G	L	A
CLUG_04102	2429	1.2306	A16.L7C	L	A
CLUG_04102	2429	1.0243	A17.L1B	L	A
CLUG_04102	2429	1.1887	A18.S4H	S	A
CLUG_04102	2429	1.3326	A19.S3B	S	A
CLUG_04102	2429	1.2271	A2.U10A	U	A
CLUG_04102	2429	1.1211	A20.S1E	S	A
CLUG_04102	2429	1.1820	A21.S8A	S	A
