GENE	POSITION	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_03197	399	2.7596	POSITION	UNK	P
CLUG_03197	399	2.4435	A10.L4C	L	A
CLUG_03197	399	2.7313	A11.L11G	L	A
CLUG_03197	399	2.6803	A12.L10B	L	A
CLUG_03197	399	2.7193	A13.L3B	L	A
CLUG_03197	399	3.9113	A14.L4E	L	A
CLUG_03197	399	2.5492	A15.L4G	L	A
CLUG_03197	399	2.7549	A16.L7C	L	A
CLUG_03197	399	3.5870	A17.L1B	L	A
CLUG_03197	399	3.8722	A18.S4H	S	A
CLUG_03197	399	2.8833	A19.S3B	S	A
CLUG_03197	399	3.6806	A2.U10A	U	A
CLUG_03197	399	3.3797	A20.S1E	S	A
CLUG_03197	399	3.2146	A21.S8A	S	A
CLUG_03197	399	3.4315	A22.UpperP	U	A
CLUG_03197	399	3.5182	A23.LowerP	L	A
CLUG_03197	399	3.7492	A24.SputuP	S	A
CLUG_03197	399	2.7608	A3.U3G	U	A
CLUG_03197	399	3.7232	A4.U3B	U	A
CLUG_03197	399	3.9116	A5.U10D	U	A
CLUG_03197	399	2.8356	A6.U5C	U	A
CLUG_03197	399	3.9849	A7.U3E	U	A
CLUG_03197	399	2.8675	A8.U2E	U	A
CLUG_03197	399	1.5017	A9.L3D	L	A
CLUG_03197	399	2.7741	ATCC42720	Blood	ATCC42720
CLUG_03197	399	3.0846	B16.1310D	L	B
CLUG_03197	399	2.8934	B17.1311G	L	B
CLUG_03197	399	2.7002	B18.1312G	L	B
CLUG_03197	399	3.2572	B19.1310A	L	B
CLUG_03197	399	2.8954	B20.1311A	L	B
CLUG_03197	399	2.6698	B21.1312A	L	B
CLUG_03197	399	3.0615	B22.134E	U	B
CLUG_03197	399	2.7144	B23.133H	U	B
CLUG_03197	399	2.7507	B24.133F	U	B
CLUG_03197	399	4.1654	B25.135C	U	B
CLUG_03197	399	2.5802	B26.131A	U	B
CLUG_03197	399	2.6123	B27.136A	U	B
CLUG_03197	399	2.4170	B28.13UM	U	B
CLUG_03197	399	1.7431	B29.13MM	M	B
CLUG_03197	399	1.7403	C10.9M3	M	C
CLUG_03197	399	1.7737	C11.9M41	M	C
CLUG_03197	399	1.3471	C12.9U1	U	C
CLUG_03197	399	1.5749	C13.9U2	U	C
CLUG_03197	399	1.4680	C14.9U3	U	C
CLUG_03197	399	2.8064	C15.9U4s	U	C
CLUG_03197	399	3.7642	C30.13LM	L	C
CLUG_03197	399	1.6431	C31.13MP	U	C
CLUG_03197	399	1.5941	C4.9L1	L	C
CLUG_03197	399	1.5992	C5.9L2	L	C
CLUG_03197	399	1.6985	C6.9L3	L	C
CLUG_03197	399	1.8713	C7.9L4	L	C
CLUG_03197	399	1.4873	C8.9M1	M	C
CLUG_03197	399	2.6199	C9.9M2	M	C
CLUG_03197	399	2.6344	ctl1.AL1B	L	A
CLUG_03197	399	1.3831	ctl2.AL1B	L	A
CLUG_03198	4967	1.1489	POSITION	UNK	P
CLUG_03198	4967	1.1911	A10.L4C	L	A
CLUG_03198	4967	1.1960	A11.L11G	L	A
CLUG_03198	4967	1.1734	A12.L10B	L	A
CLUG_03198	4967	1.1839	A13.L3B	L	A
CLUG_03198	4967	1.2538	A14.L4E	L	A
CLUG_03198	4967	1.1257	A15.L4G	L	A
CLUG_03198	4967	1.1547	A16.L7C	L	A
CLUG_03198	4967	0.9676	A17.L1B	L	A
CLUG_03198	4967	1.1763	A18.S4H	S	A
CLUG_03198	4967	1.3334	A19.S3B	S	A
CLUG_03198	4967	1.1279	A2.U10A	U	A
CLUG_03198	4967	1.1058	A20.S1E	S	A
CLUG_03198	4967	1.2201	A21.S8A	S	A
CLUG_03198	4967	1.2262	A22.UpperP	U	A
CLUG_03198	4967	1.0340	A23.LowerP	L	A
CLUG_03198	4967	1.1598	A24.SputuP	S	A
CLUG_03198	4967	1.1320	A3.U3G	U	A
CLUG_03198	4967	1.1459	A4.U3B	U	A
CLUG_03198	4967	1.1690	A5.U10D	U	A
CLUG_03198	4967	1.1880	A6.U5C	U	A
CLUG_03198	4967	1.2002	A7.U3E	U	A
CLUG_03198	4967	1.1365	A8.U2E	U	A
CLUG_03198	4967	1.3021	A9.L3D	L	A
CLUG_03198	4967	1.2863	ATCC42720	Blood	ATCC42720
CLUG_03198	4967	1.3221	B16.1310D	L	B
CLUG_03198	4967	1.3301	B17.1311G	L	B
CLUG_03198	4967	1.2813	B18.1312G	L	B
CLUG_03198	4967	1.5311	B19.1310A	L	B
CLUG_03198	4967	1.3337	B20.1311A	L	B
CLUG_03198	4967	1.1944	B21.1312A	L	B
CLUG_03198	4967	1.2948	B22.134E	U	B
CLUG_03198	4967	1.1984	B23.133H	U	B
CLUG_03198	4967	1.2669	B24.133F	U	B
CLUG_03198	4967	1.2628	B25.135C	U	B
CLUG_03198	4967	1.2605	B26.131A	U	B
CLUG_03198	4967	1.4796	B27.136A	U	B
CLUG_03198	4967	1.3542	B28.13UM	U	B
CLUG_03198	4967	1.5428	B29.13MM	M	B
CLUG_03198	4967	1.5672	C10.9M3	M	C
CLUG_03198	4967	1.6897	C11.9M41	M	C
CLUG_03198	4967	1.2496	C12.9U1	U	C
CLUG_03198	4967	1.3774	C13.9U2	U	C
CLUG_03198	4967	1.2765	C14.9U3	U	C
CLUG_03198	4967	1.2686	C15.9U4s	U	C
CLUG_03198	4967	1.6808	C30.13LM	L	C
CLUG_03198	4967	1.5266	C31.13MP	U	C
CLUG_03198	4967	1.5245	C4.9L1	L	C
CLUG_03198	4967	1.4150	C5.9L2	L	C
CLUG_03198	4967	1.5263	C6.9L3	L	C
CLUG_03198	4967	1.6327	C7.9L4	L	C
CLUG_03198	4967	1.3950	C8.9M1	M	C
CLUG_03198	4967	1.2250	C9.9M2	M	C
CLUG_03198	4967	1.1571	ctl1.AL1B	L	A
CLUG_03198	4967	1.2988	ctl2.AL1B	L	A
CLUG_03199	7141	1.2957	POSITION	UNK	P
CLUG_03199	7141	1.1061	A10.L4C	L	A
CLUG_03199	7141	1.2995	A11.L11G	L	A
CLUG_03199	7141	1.2254	A12.L10B	L	A
CLUG_03199	7141	1.1675	A13.L3B	L	A
CLUG_03199	7141	1.1518	A14.L4E	L	A
CLUG_03199	7141	1.1053	A15.L4G	L	A
CLUG_03199	7141	1.1605	A16.L7C	L	A
CLUG_03199	7141	1.1201	A17.L1B	L	A
CLUG_03199	7141	1.2172	A18.S4H	S	A
CLUG_03199	7141	1.2626	A19.S3B	S	A
CLUG_03199	7141	1.1207	A2.U10A	U	A
CLUG_03199	7141	1.2028	A20.S1E	S	A
CLUG_03199	7141	1.2241	A21.S8A	S	A
CLUG_03199	7141	1.2931	A22.UpperP	U	A
CLUG_03199	7141	1.1127	A23.LowerP	L	A
CLUG_03199	7141	1.1415	A24.SputuP	S	A
CLUG_03199	7141	1.2103	A3.U3G	U	A
CLUG_03199	7141	1.2234	A4.U3B	U	A
CLUG_03199	7141	1.2159	A5.U10D	U	A
CLUG_03199	7141	1.2211	A6.U5C	U	A
CLUG_03199	7141	1.1821	A7.U3E	U	A
CLUG_03199	7141	1.2706	A8.U2E	U	A
CLUG_03199	7141	1.3075	A9.L3D	L	A
CLUG_03199	7141	1.3107	ATCC42720	Blood	ATCC42720
CLUG_03199	7141	1.3427	B16.1310D	L	B
CLUG_03199	7141	1.3927	B17.1311G	L	B
CLUG_03199	7141	1.2560	B18.1312G	L	B
CLUG_03199	7141	1.5290	B19.1310A	L	B
CLUG_03199	7141	1.3437	B20.1311A	L	B
CLUG_03199	7141	1.1887	B21.1312A	L	B
CLUG_03199	7141	1.3987	B22.134E	U	B
CLUG_03199	7141	1.2618	B23.133H	U	B
CLUG_03199	7141	1.2631	B24.133F	U	B
CLUG_03199	7141	1.3148	B25.135C	U	B
CLUG_03199	7141	1.2368	B26.131A	U	B
CLUG_03199	7141	1.3278	B27.136A	U	B
CLUG_03199	7141	1.2753	B28.13UM	U	B
CLUG_03199	7141	1.5679	B29.13MM	M	B
CLUG_03199	7141	1.6213	C10.9M3	M	C
CLUG_03199	7141	1.7693	C11.9M41	M	C
