GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_02301	1133.61	1578.45	1206.82	1837.31	1381.47	1347.28	1166.59	1100.47	1203.69	1481.42	536.92	970.96	1510.13	2789.43	3818.91	1064.83	1082.47	1083.37	1196.55	4066.23	2071.69	1555.23	1375.62	1977.56	2014.14	3140.98	2819.07	2221.88	1495.92	1754.21	1971.96	2103.66	2205.47	1853.11	2544.49	2343.96	2170.48	3759.25	3402.45	4237.26	3306.98	4069.64	2368.14	3257.99	4598.83	4263.14	3880.15	4137.01	2943.48	3183.23	3239.35	3497.65
CLUG_02302	166.10	211.21	154.00	189.98	233.81	142.63	166.91	75.32	156.33	110.73	76.81	98.08	170.69	365.90	450.54	136.37	137.66	147.90	162.99	499.02	289.98	200.05	187.04	3408.45	1453.32	2477.54	1945.53	1532.74	964.05	1205.75	1381.93	1583.48	1614.46	1235.97	1664.79	1614.27	1293.86	1947.14	2603.67	3661.39	3625.19	2629.37	2750.25	2058.96	3219.98	2716.09	2614.71	3217.69	1306.77	455.09	419.77	1890.82
CLUG_02303	270.26	420.56	282.59	380.25	349.62	294.69	252.46	194.96	307.45	286.34	123.67	204.88	359.36	650.49	948.38	267.13	248.86	301.57	315.78	974.99	528.24	385.91	350.57	3353.18	1692.16	2559.71	2142.18	1785.19	1359.33	1505.29	1684.39	1886.11	1868.76	1597.45	1863.25	1970.99	1544.67	3033.87	3508.63	4558.95	4330.92	3252.65	3285.91	3058.29	4332.18	3807.16	3656.83	4280.76	2051.36	1314.46	1248.71	2878.42
CLUG_02304	176.44	275.23	174.97	207.03	230.04	164.23	144.55	118.27	146.36	207.22	203.98	148.05	216.61	458.32	584.39	180.25	157.74	232.25	188.57	451.04	316.31	226.00	194.25	1721.47	2577.86	5122.46	3686.29	2635.99	1501.08	2286.06	2524.64	2781.11	3137.51	2246.64	2935.19	2982.21	2296.01	1738.34	1119.36	2044.25	1089.18	2107.32	1125.06	1627.65	2273.52	1417.74	1894.79	2359.60	1701.74	319.73	297.74	1624.18
CLUG_02305	130.31	144.86	111.34	156.95	144.76	106.30	97.39	92.56	133.47	153.22	165.59	150.15	155.61	307.89	439.87	132.26	106.73	105.97	112.01	492.71	183.62	229.92	145.42	198.41	506.80	540.73	581.03	512.90	502.18	467.53	465.14	528.69	469.97	404.12	478.94	474.24	356.23	272.78	505.10	206.11	372.69	415.06	352.18	316.45	361.90	501.93	433.19	337.68	328.90	294.80	278.29	318.16
CLUG_02306	122.97	144.20	119.37	153.90	140.84	112.58	87.32	95.48	133.26	149.15	158.53	141.10	145.62	298.08	418.65	132.57	104.30	103.48	109.55	527.35	183.51	222.94	141.74	188.79	499.10	540.99	570.49	501.25	510.43	462.83	451.68	508.19	446.73	400.49	481.75	488.63	332.78	271.58	491.78	220.39	373.94	413.00	351.21	313.57	346.05	505.80	409.80	339.54	307.80	286.64	288.68	295.74
CLUG_02307	143.32	165.83	129.38	179.28	160.10	141.79	106.00	106.07	158.36	183.76	180.28	171.86	169.73	330.00	487.73	139.27	114.54	124.87	135.89	584.71	197.31	258.94	159.19	193.09	545.24	587.42	633.35	558.82	583.31	506.64	493.78	562.10	502.58	432.14	519.33	501.54	393.86	274.81	512.96	210.79	389.24	404.46	337.14	316.98	349.15	506.47	411.47	339.38	320.14	344.61	351.86	300.54
CLUG_02308	117.74	133.18	108.98	146.82	140.39	107.95	93.41	87.32	123.18	145.00	144.55	130.31	144.96	268.07	402.26	118.38	100.59	98.28	107.04	484.16	175.70	222.68	141.00	185.64	471.00	497.66	564.80	484.17	512.90	441.38	428.64	496.43	458.40	379.91	463.67	453.09	327.01	259.81	469.91	210.60	366.77	398.47	336.40	290.13	337.05	473.38	379.84	319.55	309.24	271.50	266.65	302.23
CLUG_02309	138.63	143.52	105.95	146.25	150.22	123.37	104.69	89.76	135.96	152.44	149.28	135.81	159.46	281.83	452.83	119.45	104.82	111.66	113.59	524.71	183.73	232.06	147.16	186.92	528.16	552.24	570.39	517.33	564.75	483.00	464.06	535.96	477.34	417.78	492.33	496.73	363.05	285.87	516.61	221.95	388.61	426.11	359.79	317.53	376.52	531.47	428.83	347.73	334.41	295.52	289.82	329.96
CLUG_02310	115.17	146.40	112.32	151.80	133.38	114.23	87.34	91.64	131.81	150.23	149.32	140.50	151.80	291.69	419.28	118.76	106.56	105.51	118.25	495.98	173.06	223.76	139.83	176.31	513.80	550.29	588.99	516.58	534.24	468.34	462.49	511.01	451.70	425.94	489.24	490.95	409.81	282.03	511.21	232.45	397.73	425.85	351.59	329.06	377.16	511.75	419.86	356.46	330.44	295.25	297.23	321.37
