GENE	COVERAGE	STRAIN	GROUP
CLUG_00001	1.2492	A10.L4C	A
CLUG_00001	1.3788	A11.L11G	A
CLUG_00001	1.6765	A12.L10B	A
CLUG_00001	1.0089	A13.L3B	A
CLUG_00001	1.0340	A14.L4E	A
CLUG_00001	1.5297	A15.L4G	A
CLUG_00001	1.4790	A16.L7C	A
CLUG_00001	1.0219	A17.L1B	A
CLUG_00001	0.9936	A18.S4H	A
CLUG_00001	1.3638	A19.S3B	A
CLUG_00001	1.6078	A2.U10A	A
CLUG_00001	0.8716	A20.S1E	A
CLUG_00001	1.1448	A21.S8A	A
CLUG_00001	1.2822	A22.UpperP	A
CLUG_00001	1.2111	A23.LowerP	A
CLUG_00001	1.0985	A24.SputuP	A
CLUG_00001	1.5020	A3.U3G	A
CLUG_00001	1.0160	A4.U3B	A
CLUG_00001	1.0821	A5.U10D	A
CLUG_00001	1.3693	A6.U5C	A
CLUG_00001	1.5363	A7.U3E	A
CLUG_00001	0.9494	A8.U2E	A
CLUG_00001	1.4572	A9.L3D	A
CLUG_00001	1.5695	ATCC42720	ATCC42720
CLUG_00001	0.7844	B16.1310D	B
CLUG_00001	1.1649	B17.1311G	B
CLUG_00001	0.9141	B18.1312G	B
CLUG_00001	0.9853	B19.1310A	B
CLUG_00001	1.4064	B20.1311A	B
CLUG_00001	0.9365	B21.1312A	B
CLUG_00001	0.8579	B22.134E	B
CLUG_00001	0.9623	B23.133H	B
CLUG_00001	0.8693	B24.133F	B
CLUG_00001	0.9070	B25.135C	B
CLUG_00001	0.9311	B26.131A	B
CLUG_00001	0.9034	B27.136A	B
CLUG_00001	0.8749	B28.13UM	B
CLUG_00001	1.3729	C10.9M3	C
CLUG_00001	0.9926	C11.9M41	C
CLUG_00001	1.8552	C12.9U1	C
CLUG_00001	0.9249	C13.9U2	C
CLUG_00001	1.5949	C14.9U3	C
CLUG_00001	1.4705	C15.9U4s	C
CLUG_00001	1.3642	C4.9L1	C
CLUG_00001	1.2440	C5.9L2	C
CLUG_00001	1.3435	C6.9L3	C
CLUG_00001	1.1612	C7.9L4	C
CLUG_00001	1.1138	C8.9M1	C
CLUG_00001	1.0903	C9.9M2	C
CLUG_00001	1.0835	ctl1.AL1B	A
CLUG_00001	1.0895	ctl2.AL1B	A
CLUG_00001	1.1553	ctl3.C9L1	C
CLUG_00002	1.2188	A10.L4C	A
CLUG_00002	1.4057	A11.L11G	A
CLUG_00002	1.5574	A12.L10B	A
CLUG_00002	0.9693	A13.L3B	A
CLUG_00002	0.9406	A14.L4E	A
CLUG_00002	1.4705	A15.L4G	A
CLUG_00002	1.3840	A16.L7C	A
CLUG_00002	1.0395	A17.L1B	A
CLUG_00002	0.9539	A18.S4H	A
CLUG_00002	1.3420	A19.S3B	A
CLUG_00002	1.5842	A2.U10A	A
CLUG_00002	0.8112	A20.S1E	A
CLUG_00002	1.0923	A21.S8A	A
CLUG_00002	1.2177	A22.UpperP	A
CLUG_00002	1.2048	A23.LowerP	A
CLUG_00002	1.0966	A24.SputuP	A
CLUG_00002	1.4302	A3.U3G	A
CLUG_00002	1.0259	A4.U3B	A
CLUG_00002	1.0256	A5.U10D	A
CLUG_00002	1.3520	A6.U5C	A
CLUG_00002	1.5699	A7.U3E	A
CLUG_00002	0.9514	A8.U2E	A
CLUG_00002	1.4236	A9.L3D	A
CLUG_00002	1.5331	ATCC42720	ATCC42720
CLUG_00002	0.7798	B16.1310D	B
CLUG_00002	1.1334	B17.1311G	B
CLUG_00002	0.9032	B18.1312G	B
CLUG_00002	0.9436	B19.1310A	B
CLUG_00002	1.2918	B20.1311A	B
CLUG_00002	0.8893	B21.1312A	B
CLUG_00002	0.8301	B22.134E	B
CLUG_00002	1.0072	B23.133H	B
CLUG_00002	0.8717	B24.133F	B
CLUG_00002	0.8494	B25.135C	B
CLUG_00002	0.8633	B26.131A	B
CLUG_00002	0.9634	B27.136A	B
CLUG_00002	0.8451	B28.13UM	B
CLUG_00002	1.3053	C10.9M3	C
CLUG_00002	0.9825	C11.9M41	C
CLUG_00002	1.8374	C12.9U1	C
CLUG_00002	0.9407	C13.9U2	C
CLUG_00002	1.5280	C14.9U3	C
CLUG_00002	1.4219	C15.9U4s	C
CLUG_00002	1.3211	C4.9L1	C
CLUG_00002	1.2006	C5.9L2	C
CLUG_00002	1.2741	C6.9L3	C
CLUG_00002	1.1627	C7.9L4	C
CLUG_00002	1.1289	C8.9M1	C
CLUG_00002	1.0469	C9.9M2	C
CLUG_00002	1.0970	ctl1.AL1B	A
CLUG_00002	1.0747	ctl2.AL1B	A
CLUG_00002	1.1196	ctl3.C9L1	C
CLUG_00003	1.2120	A10.L4C	A
CLUG_00003	1.3065	A11.L11G	A
CLUG_00003	1.3796	A12.L10B	A
CLUG_00003	1.0210	A13.L3B	A
CLUG_00003	0.9650	A14.L4E	A
CLUG_00003	1.4579	A15.L4G	A
CLUG_00003	1.3808	A16.L7C	A
CLUG_00003	0.9555	A17.L1B	A
CLUG_00003	0.9830	A18.S4H	A
CLUG_00003	1.2677	A19.S3B	A
CLUG_00003	1.4535	A2.U10A	A
CLUG_00003	0.8353	A20.S1E	A
CLUG_00003	1.0831	A21.S8A	A
CLUG_00003	1.1826	A22.UpperP	A
CLUG_00003	1.1488	A23.LowerP	A
CLUG_00003	0.9702	A24.SputuP	A
CLUG_00003	1.4486	A3.U3G	A
CLUG_00003	0.9545	A4.U3B	A
CLUG_00003	1.2418	A5.U10D	A
CLUG_00003	1.2723	A6.U5C	A
CLUG_00003	1.3679	A7.U3E	A
CLUG_00003	0.9194	A8.U2E	A
CLUG_00003	1.3504	A9.L3D	A
CLUG_00003	1.4439	ATCC42720	ATCC42720
CLUG_00003	0.8177	B16.1310D	B
CLUG_00003	1.1334	B17.1311G	B
CLUG_00003	0.9113	B18.1312G	B
CLUG_00003	0.9627	B19.1310A	B
CLUG_00003	1.3004	B20.1311A	B
CLUG_00003	0.8751	B21.1312A	B
CLUG_00003	0.7886	B22.134E	B
CLUG_00003	0.9383	B23.133H	B
CLUG_00003	0.8507	B24.133F	B
CLUG_00003	0.8591	B25.135C	B
CLUG_00003	0.9299	B26.131A	B
CLUG_00003	0.9459	B27.136A	B
CLUG_00003	0.9780	B28.13UM	B
CLUG_00003	1.2394	C10.9M3	C
CLUG_00003	0.9372	C11.9M41	C
CLUG_00003	1.7719	C12.9U1	C
CLUG_00003	0.9425	C13.9U2	C
CLUG_00003	1.5151	C14.9U3	C
CLUG_00003	1.4213	C15.9U4s	C
CLUG_00003	1.3191	C4.9L1	C
CLUG_00003	1.1601	C5.9L2	C
CLUG_00003	1.2578	C6.9L3	C
CLUG_00003	1.1052	C7.9L4	C
CLUG_00003	1.0846	C8.9M1	C
CLUG_00003	0.9959	C9.9M2	C
CLUG_00003	1.0396	ctl1.AL1B	A
CLUG_00003	1.0330	ctl2.AL1B	A
CLUG_00003	1.0912	ctl3.C9L1	C
CLUG_00004	1.2798	A10.L4C	A
CLUG_00004	1.4856	A11.L11G	A
CLUG_00004	1.5552	A12.L10B	A
CLUG_00004	1.0996	A13.L3B	A
CLUG_00004	1.0803	A14.L4E	A
CLUG_00004	1.4185	A15.L4G	A
CLUG_00004	1.3842	A16.L7C	A
CLUG_00004	1.1152	A17.L1B	A
CLUG_00004	1.0655	A18.S4H	A
CLUG_00004	1.4010	A19.S3B	A
CLUG_00004	1.6092	A2.U10A	A
CLUG_00004	0.9458	A20.S1E	A
CLUG_00004	1.1382	A21.S8A	A
CLUG_00004	1.3019	A22.UpperP	A
CLUG_00004	1.2715	A23.LowerP	A
CLUG_00004	1.1883	A24.SputuP	A
CLUG_00004	1.4878	A3.U3G	A
CLUG_00004	1.0653	A4.U3B	A
CLUG_00004	1.1638	A5.U10D	A
CLUG_00004	1.4252	A6.U5C	A
CLUG_00004	1.5476	A7.U3E	A
CLUG_00004	1.0097	A8.U2E	A
CLUG_00004	1.4935	A9.L3D	A
CLUG_00004	1.6592	ATCC42720	ATCC42720
CLUG_00004	0.8799	B16.1310D	B
CLUG_00004	1.2426	B17.1311G	B
CLUG_00004	0.9439	B18.1312G	B
CLUG_00004	1.0296	B19.1310A	B
CLUG_00004	1.3554	B20.1311A	B
CLUG_00004	1.0101	B21.1312A	B
CLUG_00004	0.9036	B22.134E	B
CLUG_00004	1.0308	B23.133H	B
CLUG_00004	0.9030	B24.133F	B
CLUG_00004	0.9537	B25.135C	B
CLUG_00004	0.9379	B26.131A	B
CLUG_00004	1.0392	B27.136A	B
CLUG_00004	1.0260	B28.13UM	B
CLUG_00004	1.4115	C10.9M3	C
CLUG_00004	1.0952	C11.9M41	C
CLUG_00004	1.9424	C12.9U1	C
CLUG_00004	1.0279	C13.9U2	C
CLUG_00004	1.5922	C14.9U3	C
CLUG_00004	1.4543	C15.9U4s	C
CLUG_00004	1.4249	C4.9L1	C
CLUG_00004	1.2758	C5.9L2	C
CLUG_00004	1.3654	C6.9L3	C
CLUG_00004	1.2021	C7.9L4	C
CLUG_00004	1.1561	C8.9M1	C
CLUG_00004	1.0915	C9.9M2	C
CLUG_00004	1.1383	ctl1.AL1B	A
CLUG_00004	1.1457	ctl2.AL1B	A
CLUG_00004	1.2240	ctl3.C9L1	C
CLUG_00005	1.3514	A10.L4C	A
CLUG_00005	1.3837	A11.L11G	A
CLUG_00005	1.6828	A12.L10B	A
CLUG_00005	1.0471	A13.L3B	A
CLUG_00005	1.0309	A14.L4E	A
CLUG_00005	1.4961	A15.L4G	A
CLUG_00005	1.3834	A16.L7C	A
CLUG_00005	1.1772	A17.L1B	A
CLUG_00005	1.1513	A18.S4H	A
CLUG_00005	1.4501	A19.S3B	A
CLUG_00005	1.5481	A2.U10A	A
CLUG_00005	0.8650	A20.S1E	A
CLUG_00005	1.1095	A21.S8A	A
CLUG_00005	1.3232	A22.UpperP	A
CLUG_00005	1.3198	A23.LowerP	A
CLUG_00005	1.1506	A24.SputuP	A
CLUG_00005	1.6267	A3.U3G	A
CLUG_00005	1.0457	A4.U3B	A
CLUG_00005	1.1214	A5.U10D	A
CLUG_00005	1.4118	A6.U5C	A
CLUG_00005	1.6233	A7.U3E	A
CLUG_00005	1.0177	A8.U2E	A
CLUG_00005	1.5066	A9.L3D	A
CLUG_00005	1.6679	ATCC42720	ATCC42720
CLUG_00005	0.8585	B16.1310D	B
CLUG_00005	1.2284	B17.1311G	B
CLUG_00005	0.9998	B18.1312G	B
CLUG_00005	1.0133	B19.1310A	B
CLUG_00005	1.3465	B20.1311A	B
CLUG_00005	0.9254	B21.1312A	B
CLUG_00005	0.8802	B22.134E	B
CLUG_00005	1.0321	B23.133H	B
CLUG_00005	0.9331	B24.133F	B
CLUG_00005	0.9263	B25.135C	B
CLUG_00005	0.9407	B26.131A	B
CLUG_00005	1.0004	B27.136A	B
CLUG_00005	0.9024	B28.13UM	B
CLUG_00005	1.3444	C10.9M3	C
CLUG_00005	1.0675	C11.9M41	C
CLUG_00005	1.9106	C12.9U1	C
CLUG_00005	1.0831	C13.9U2	C
CLUG_00005	1.6062	C14.9U3	C
CLUG_00005	1.4347	C15.9U4s	C
