GENE	POSITION	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_04838	673	2.5073	POSITION	UNK	P
CLUG_04838	673	2.1788	A10.L4C	L	A
CLUG_04838	673	2.5454	A11.L11G	L	A
CLUG_04838	673	2.3624	A12.L10B	L	A
CLUG_04838	673	2.1744	A13.L3B	L	A
CLUG_04838	673	2.3052	A14.L4E	L	A
CLUG_04838	673	2.2136	A15.L4G	L	A
CLUG_04838	673	2.3799	A16.L7C	L	A
CLUG_04838	673	2.0872	A17.L1B	L	A
CLUG_04838	673	2.4347	A18.S4H	S	A
CLUG_04838	673	4.1502	A19.S3B	S	A
CLUG_04838	673	2.2238	A2.U10A	U	A
CLUG_04838	673	2.2164	A20.S1E	S	A
CLUG_04838	673	2.5203	A21.S8A	S	A
CLUG_04838	673	2.5980	A22.UpperP	U	A
CLUG_04838	673	2.2608	A23.LowerP	L	A
CLUG_04838	673	2.1509	A24.SputuP	S	A
CLUG_04838	673	2.2543	A3.U3G	U	A
CLUG_04838	673	2.1210	A4.U3B	U	A
CLUG_04838	673	2.3478	A5.U10D	U	A
CLUG_04838	673	2.5068	A6.U5C	U	A
CLUG_04838	673	2.2807	A7.U3E	U	A
CLUG_04838	673	2.3381	A8.U2E	U	A
CLUG_04838	673	1.5091	A9.L3D	L	A
CLUG_04838	673	2.5382	ATCC42720	Blood	ATCC42720
CLUG_04838	673	2.5673	B16.1310D	L	B
CLUG_04838	673	2.5975	B17.1311G	L	B
CLUG_04838	673	2.2471	B18.1312G	L	B
CLUG_04838	673	2.7727	B19.1310A	L	B
CLUG_04838	673	2.5652	B20.1311A	L	B
CLUG_04838	673	2.4000	B21.1312A	L	B
CLUG_04838	673	2.4755	B22.134E	U	B
CLUG_04838	673	2.4030	B23.133H	U	B
CLUG_04838	673	2.3183	B24.133F	U	B
CLUG_04838	673	2.3207	B25.135C	U	B
CLUG_04838	673	2.3383	B26.131A	U	B
CLUG_04838	673	2.0048	B27.136A	U	B
CLUG_04838	673	1.8952	B28.13UM	U	B
CLUG_04838	673	0.0000	B29.13MM	M	B
CLUG_04838	673	0.0024	C10.9M3	M	C
CLUG_04838	673	0.0004	C11.9M41	M	C
CLUG_04838	673	0.0000	C12.9U1	U	C
CLUG_04838	673	0.0000	C13.9U2	U	C
CLUG_04838	673	0.0000	C14.9U3	U	C
CLUG_04838	673	2.3658	C15.9U4s	U	C
CLUG_04838	673	3.2827	C30.13LM	L	C
CLUG_04838	673	0.0000	C31.13MP	U	C
CLUG_04838	673	0.0021	C4.9L1	L	C
CLUG_04838	673	0.0030	C5.9L2	L	C
CLUG_04838	673	0.0032	C6.9L3	L	C
CLUG_04838	673	0.0000	C7.9L4	L	C
CLUG_04838	673	0.0009	C8.9M1	M	C
CLUG_04838	673	2.2239	C9.9M2	M	C
CLUG_04838	673	2.2517	ctl1.AL1B	L	A
CLUG_04838	673	0.0000	ctl2.AL1B	L	A
CLUG_04839	2776	1.8090	POSITION	UNK	P
CLUG_04839	2776	1.7582	A10.L4C	L	A
CLUG_04839	2776	1.8497	A11.L11G	L	A
