STRAIN,READ,PAIR1_CHR,PAIR1_POSITION,PAIR2_CHR,PAIR2_POSITION
A21.S8A,NS500350:127:H7FHLBGXX:1:12108:7714:14074,Supercontig_1.6,726766,Supercontig_1.6,686767
A21.S8A,NS500350:127:H7FHLBGXX:1:12204:13999:12351,Supercontig_1.6,726766,Supercontig_1.6,686745
A21.S8A,NS500350:127:H7FHLBGXX:1:13305:5193:2296,Supercontig_1.6,726766,Supercontig_1.6,686874
A21.S8A,NS500350:127:H7FHLBGXX:1:21301:6960:18102,Supercontig_1.6,726766,Supercontig_1.6,686771
A21.S8A,NS500350:127:H7FHLBGXX:1:22105:17350:2629,Supercontig_1.6,726766,Supercontig_1.6,686891
A21.S8A,NS500350:127:H7FHLBGXX:2:12105:23585:3529,Supercontig_1.6,726766,Supercontig_1.6,686862
A21.S8A,NS500350:127:H7FHLBGXX:2:12203:6684:7550,Supercontig_1.6,726766,Supercontig_1.6,686870
A21.S8A,NS500350:127:H7FHLBGXX:2:21102:19525:5327,Supercontig_1.6,726766,Supercontig_1.6,686725
A21.S8A,NS500350:127:H7FHLBGXX:2:21105:16080:15320,Supercontig_1.6,726766,Supercontig_1.6,686780
A21.S8A,NS500350:127:H7FHLBGXX:2:22112:8592:4281,Supercontig_1.6,726766,Supercontig_1.6,686900
A21.S8A,NS500350:127:H7FHLBGXX:2:22203:14398:5831,Supercontig_1.6,726766,Supercontig_1.6,686805
A21.S8A,NS500350:127:H7FHLBGXX:2:22203:22661:17518,Supercontig_1.6,726766,Supercontig_1.6,686830
A21.S8A,NS500350:127:H7FHLBGXX:3:11408:12243:15690,Supercontig_1.6,726766,Supercontig_1.6,686771
A21.S8A,NS500350:127:H7FHLBGXX:3:11411:23030:1544,Supercontig_1.6,726766,Supercontig_1.6,686748
A21.S8A,NS500350:127:H7FHLBGXX:3:11504:18755:11848,Supercontig_1.6,726766,Supercontig_1.6,686764
A21.S8A,NS500350:127:H7FHLBGXX:3:12509:25397:4495,Supercontig_1.6,726766,Supercontig_1.6,686844
A21.S8A,NS500350:127:H7FHLBGXX:3:13407:9119:1574,Supercontig_1.6,726766,Supercontig_1.6,686714
A21.S8A,NS500350:127:H7FHLBGXX:3:13602:1862:11173,Supercontig_1.6,726766,Supercontig_1.6,686838
A21.S8A,NS500350:127:H7FHLBGXX:4:11502:18764:15371,Supercontig_1.6,726766,Supercontig_1.6,686833
A21.S8A,NS500350:127:H7FHLBGXX:4:11610:23732:10325,Supercontig_1.6,726766,Supercontig_1.6,686881
A21.S8A,NS500350:127:H7FHLBGXX:4:21508:11952:16348,Supercontig_1.6,726766,Supercontig_1.6,686891
A21.S8A,NS500350:127:H7FHLBGXX:4:22604:5696:11032,Supercontig_1.6,726766,Supercontig_1.6,686913
