STRAIN,READ,PAIR1_CHR,PAIR1_POSITION,PAIR2_CHR,PAIR2_POSITION
A22.UpperP,NS500350:127:H7FHLBGXX:2:12301:18161:10031,Supercontig_1.6,488606,Supercontig_1.7,104
A22.UpperP,NS500350:127:H7FHLBGXX:2:22206:6631:5839,Supercontig_1.6,488651,Supercontig_1.7,779613
C14.9U3,NS500537:44:HWF7VBGXX:4:12607:9474:1376,Supercontig_1.6,488919,Supercontig_1.3,1276826
C14.9U3,NS500537:44:HWF7VBGXX:4:12607:9474:1376,Supercontig_1.6,488940,Supercontig_1.3,1276826
C12.9U1,NS500537:44:HWF7VBGXX:3:13601:1335:8645,Supercontig_1.6,488324,Supercontig_1.5,1379999
C12.9U1,NS500537:44:HWF7VBGXX:1:13311:15397:16057,Supercontig_1.6,488919,Supercontig_1.1,441420
C12.9U1,NS500537:44:HWF7VBGXX:1:13311:15397:16057,Supercontig_1.6,488940,Supercontig_1.1,441420
A21.S8A,NS500350:127:H7FHLBGXX:2:12106:1351:9253,Supercontig_1.6,488781,Supercontig_1.2,454481
B28.13UM,NS500537:44:HWF7VBGXX:2:12212:18912:18443,Supercontig_1.6,488844,Supercontig_1.5,76649
B27.136A,NS500537:44:HWF7VBGXX:1:21106:7873:15112,Supercontig_1.6,488694,Supercontig_1.2,2158150
A19.S3B,NS500350:130:H7FJNBGXX:4:11508:12304:10680,Supercontig_1.6,488469,MT_CBS_6936,22854
A2.U10A,NS500350:127:H7FHLBGXX:4:21611:10379:16048,Supercontig_1.6,488577,Supercontig_1.7,78
A2.U10A,NS500350:127:H7FHLBGXX:4:13611:17101:5408,Supercontig_1.6,488581,Supercontig_1.7,779548
A2.U10A,NS500350:127:H7FHLBGXX:3:21410:3440:19951,Supercontig_1.6,488583,Supercontig_1.7,779653
A2.U10A,NS500350:127:H7FHLBGXX:2:21202:8292:10942,Supercontig_1.6,488584,Supercontig_1.7,779806
A2.U10A,NS500350:127:H7FHLBGXX:3:21408:12271:17479,Supercontig_1.6,488584,Supercontig_1.7,779803
A2.U10A,NS500350:127:H7FHLBGXX:2:11305:25629:13872,Supercontig_1.6,488585,Supercontig_1.3,1873918
A2.U10A,NS500350:127:H7FHLBGXX:2:22310:2622:12179,Supercontig_1.6,488589,Supercontig_1.7,338
A2.U10A,NS500350:127:H7FHLBGXX:1:11306:25970:1167,Supercontig_1.6,488591,Supercontig_1.7,779697
A2.U10A,NS500350:127:H7FHLBGXX:2:22102:20777:6859,Supercontig_1.6,488600,Supercontig_1.7,779440
A2.U10A,NS500350:127:H7FHLBGXX:2:23311:10409:13979,Supercontig_1.6,488601,Supercontig_1.4,1787586
A2.U10A,NS500350:127:H7FHLBGXX:1:23302:21852:17308,Supercontig_1.6,488602,Supercontig_1.7,779485
A2.U10A,NS500350:127:H7FHLBGXX:3:12401:17627:9136,Supercontig_1.6,488602,Supercontig_1.7,331
A2.U10A,NS500350:127:H7FHLBGXX:4:11501:25171:1541,Supercontig_1.6,488603,Supercontig_1.5,377
A2.U10A,NS500350:127:H7FHLBGXX:2:11302:9054:3406,Supercontig_1.6,488604,Supercontig_1.7,779529
A2.U10A,NS500350:127:H7FHLBGXX:4:12409:14310:13899,Supercontig_1.6,488606,Supercontig_1.7,779779
A2.U10A,NS500350:127:H7FHLBGXX:3:23411:1499:3317,Supercontig_1.6,488608,Supercontig_1.7,779799
A2.U10A,NS500350:127:H7FHLBGXX:1:23210:18018:20378,Supercontig_1.6,488610,Supercontig_1.7,353
A2.U10A,NS500350:127:H7FHLBGXX:3:13404:10657:10035,Supercontig_1.6,488612,Supercontig_1.7,332
A2.U10A,NS500350:127:H7FHLBGXX:2:23310:4597:6963,Supercontig_1.6,488617,Supercontig_1.7,779529
A2.U10A,NS500350:127:H7FHLBGXX:3:11507:9340:13680,Supercontig_1.6,488624,Supercontig_1.5,363
A2.U10A,NS500350:127:H7FHLBGXX:1:12305:3819:6433,Supercontig_1.6,488626,Supercontig_1.3,1873648
A2.U10A,NS500350:127:H7FHLBGXX:1:13103:23298:20204,Supercontig_1.6,488626,Supercontig_1.2,498
A2.U10A,NS500350:127:H7FHLBGXX:3:21402:20617:10458,Supercontig_1.6,488627,Supercontig_1.7,779807
A2.U10A,NS500350:127:H7FHLBGXX:4:11512:17865:2759,Supercontig_1.6,488629,Supercontig_1.4,1787393
A2.U10A,NS500350:127:H7FHLBGXX:4:23602:9704:3690,Supercontig_1.6,488629,Supercontig_1.7,350
A2.U10A,NS500350:127:H7FHLBGXX:4:23602:9704:3690,Supercontig_1.6,488629,Supercontig_1.7,350
A2.U10A,NS500350:127:H7FHLBGXX:3:22405:18313:11429,Supercontig_1.6,488633,Supercontig_1.3,1873671
A2.U10A,NS500350:127:H7FHLBGXX:3:12501:13391:12725,Supercontig_1.6,488635,Supercontig_1.5,197
A2.U10A,NS500350:127:H7FHLBGXX:3:12608:5288:8131,Supercontig_1.6,488638,Supercontig_1.4,1787414
A2.U10A,NS500350:127:H7FHLBGXX:2:11305:5221:2924,Supercontig_1.6,488639,Supercontig_1.3,1873672
A2.U10A,NS500350:127:H7FHLBGXX:3:23402:2061:4733,Supercontig_1.6,488640,Supercontig_1.4,1787528
A2.U10A,NS500350:127:H7FHLBGXX:1:22307:12428:12143,Supercontig_1.6,488641,Supercontig_1.4,1787325
A2.U10A,NS500350:127:H7FHLBGXX:3:21504:25637:6552,Supercontig_1.6,488641,Supercontig_1.7,779718
A2.U10A,NS500350:127:H7FHLBGXX:2:13201:18521:11648,Supercontig_1.6,488644,Supercontig_1.7,779508
A2.U10A,NS500350:127:H7FHLBGXX:3:11611:18216:11786,Supercontig_1.6,488646,Supercontig_1.4,1787411
A2.U10A,NS500350:127:H7FHLBGXX:1:22110:20891:8759,Supercontig_1.6,488647,Supercontig_1.7,779718
A2.U10A,NS500350:127:H7FHLBGXX:3:12504:19734:10701,Supercontig_1.6,488647,Supercontig_1.5,354
A2.U10A,NS500350:127:H7FHLBGXX:2:23212:21173:16080,Supercontig_1.6,488650,Supercontig_1.3,1873693
A2.U10A,NS500350:127:H7FHLBGXX:4:13610:10736:2854,Supercontig_1.6,488650,Supercontig_1.5,326
A2.U10A,NS500350:127:H7FHLBGXX:4:11603:11285:15067,Supercontig_1.6,488653,Supercontig_1.5,291
A2.U10A,NS500350:127:H7FHLBGXX:2:12307:11086:17066,Supercontig_1.6,488654,Supercontig_1.4,1787481
A2.U10A,NS500350:127:H7FHLBGXX:4:13402:7319:12157,Supercontig_1.6,488654,Supercontig_1.5,154
A2.U10A,NS500350:127:H7FHLBGXX:2:12103:24865:2501,Supercontig_1.6,488655,Supercontig_1.7,122
A2.U10A,NS500350:127:H7FHLBGXX:4:13611:3672:9699,Supercontig_1.6,488655,Supercontig_1.4,1787585
A2.U10A,NS500350:127:H7FHLBGXX:1:21104:15435:16600,Supercontig_1.6,488658,Supercontig_1.7,779571
ctl3.C9L1,NS500537:44:HWF7VBGXX:4:23612:21517:17739,Supercontig_1.6,488845,Supercontig_1.7,526476
ctl3.C9L1,NS500537:44:HWF7VBGXX:4:23612:21517:17739,Supercontig_1.6,488919,Supercontig_1.7,526476
C11.9M41,NS500537:44:HWF7VBGXX:3:22405:8210:10290,Supercontig_1.6,488843,Supercontig_1.5,416471
C11.9M41,NS500537:44:HWF7VBGXX:3:22405:8210:10290,Supercontig_1.6,488919,Supercontig_1.5,416471
B26.131A,NS500537:44:HWF7VBGXX:2:12110:13468:1920,Supercontig_1.6,488179,Supercontig_1.1,662657
B26.131A,NS500537:44:HWF7VBGXX:4:22412:24379:7881,Supercontig_1.6,488596,Supercontig_1.6,728330
