STRAIN,READ,PAIR1_CHR,PAIR1_POSITION,PAIR2_CHR,PAIR2_POSITION
A8.U2E,NS500350:127:H7FHLBGXX:1:12111:11617:2991,Supercontig_1.6,500081,Supercontig_1.8,466286
C5.9L2,NS500537:44:HWF7VBGXX:1:22210:22252:8014,Supercontig_1.6,500034,MT_CBS_6936,16000
C5.9L2,NS500537:44:HWF7VBGXX:4:21610:4530:17605,Supercontig_1.6,500034,Supercontig_1.7,526475
C5.9L2,NS500537:44:HWF7VBGXX:4:21610:4530:17605,Supercontig_1.6,500110,Supercontig_1.7,526475
C5.9L2,NS500537:44:HWF7VBGXX:1:22111:10628:17451,Supercontig_1.6,500382,Supercontig_1.6,263648
C5.9L2,NS500537:44:HWF7VBGXX:3:21504:10723:9573,Supercontig_1.6,500505,Supercontig_1.5,16639
C11.9M41,NS500537:44:HWF7VBGXX:4:11508:17160:12517,Supercontig_1.6,500034,Supercontig_1.4,1557711
C11.9M41,NS500537:44:HWF7VBGXX:4:11508:17160:12517,Supercontig_1.6,500110,Supercontig_1.4,1557711
C10.9M3,NS500537:44:HWF7VBGXX:4:23505:22169:4595,Supercontig_1.6,500034,MT_CBS_6936,23109
C10.9M3,NS500537:44:HWF7VBGXX:4:23505:22169:4595,Supercontig_1.6,500110,MT_CBS_6936,23109
C10.9M3,NS500537:44:HWF7VBGXX:1:23204:22005:11281,Supercontig_1.6,500187,Supercontig_1.2,1932778
C10.9M3,NS500537:44:HWF7VBGXX:2:12203:17235:18384,Supercontig_1.6,500886,Supercontig_1.7,430659
C10.9M3,NS500537:44:HWF7VBGXX:1:23103:20366:12883,Supercontig_1.6,500903,Supercontig_1.6,82897
C10.9M3,NS500537:44:HWF7VBGXX:1:23103:20366:12883,Supercontig_1.6,500903,Supercontig_1.6,82897
B26.131A,NS500537:44:HWF7VBGXX:3:11402:19282:5694,Supercontig_1.6,500765,MT_CBS_6936,14337
C4.9L1,NS500537:44:HWF7VBGXX:2:13111:11059:19567,Supercontig_1.6,500034,Supercontig_1.7,779702
C4.9L1,NS500537:44:HWF7VBGXX:4:23511:16899:6229,Supercontig_1.6,500034,Supercontig_1.7,131
C4.9L1,NS500537:44:HWF7VBGXX:2:13111:11059:19567,Supercontig_1.6,500110,Supercontig_1.7,779702
C4.9L1,NS500537:44:HWF7VBGXX:4:23511:16899:6229,Supercontig_1.6,500110,Supercontig_1.7,131
C4.9L1,NS500537:44:HWF7VBGXX:3:12511:24439:11739,Supercontig_1.6,500132,Supercontig_1.3,1873786
C13.9U2,NS500537:44:HWF7VBGXX:1:13103:8274:11608,Supercontig_1.6,500124,Supercontig_1.4,1384278
B22.134E,NS500537:44:HWF7VBGXX:1:11102:8439:2699,Supercontig_1.6,500745,Supercontig_1.5,1289654
B22.134E,NS500537:44:HWF7VBGXX:1:11102:8439:2699,Supercontig_1.6,500791,Supercontig_1.5,1289654
C6.9L3,NS500537:44:HWF7VBGXX:3:22503:25736:9264,Supercontig_1.6,500442,Supercontig_1.2,530139
