STRAIN,READ,PAIR1_CHR,PAIR1_POSITION,PAIR2_CHR,PAIR2_POSITION
B16.1310D,NS500537:44:HWF7VBGXX:1:11103:12681:1154,Supercontig_1.6,686969,MT_CBS_6936,193
A23.LowerP,NS500350:127:H7FHLBGXX:2:22207:15223:9886,Supercontig_1.6,686877,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:3:22404:19466:18957,Supercontig_1.6,686877,Supercontig_1.6,726775
A23.LowerP,NS500350:127:H7FHLBGXX:2:12308:8759:6957,Supercontig_1.6,686884,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:2:13107:4123:18867,Supercontig_1.6,686884,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:2:21310:18248:8809,Supercontig_1.6,686886,Supercontig_1.6,726842
A23.LowerP,NS500350:127:H7FHLBGXX:2:12305:13936:3994,Supercontig_1.6,686887,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:3:12508:15700:18422,Supercontig_1.6,686887,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:4:23607:12838:13264,Supercontig_1.6,686887,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:4:11407:1957:7945,Supercontig_1.6,686888,Supercontig_1.6,726896
A23.LowerP,NS500350:127:H7FHLBGXX:1:22106:4036:2965,Supercontig_1.6,686889,Supercontig_1.6,726772
A23.LowerP,NS500350:127:H7FHLBGXX:2:23206:15315:13418,Supercontig_1.6,686890,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:2:11310:15243:1421,Supercontig_1.6,686895,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:2:12203:16896:2995,Supercontig_1.6,686900,Supercontig_1.6,726797
A23.LowerP,NS500350:127:H7FHLBGXX:2:23108:25996:13022,Supercontig_1.6,686906,Supercontig_1.6,726792
A23.LowerP,NS500350:127:H7FHLBGXX:3:22610:6023:10526,Supercontig_1.6,686906,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:3:21510:23699:9056,Supercontig_1.6,686910,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:4:23404:4852:17243,Supercontig_1.6,686912,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:1:13107:15051:13877,Supercontig_1.6,686914,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:2:22102:4304:5536,Supercontig_1.6,686915,Supercontig_1.6,726822
A23.LowerP,NS500350:127:H7FHLBGXX:2:22208:16258:12079,Supercontig_1.6,686915,Supercontig_1.6,726791
A23.LowerP,NS500350:127:H7FHLBGXX:2:23205:1596:16450,Supercontig_1.6,686915,Supercontig_1.6,726886
A23.LowerP,NS500350:127:H7FHLBGXX:4:21609:4317:13896,Supercontig_1.6,686916,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:3:23401:11297:16779,Supercontig_1.6,686918,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:1:12211:1845:11720,Supercontig_1.6,686921,Supercontig_1.6,726833
A23.LowerP,NS500350:127:H7FHLBGXX:3:11410:6669:16673,Supercontig_1.6,686921,Supercontig_1.6,726893
A23.LowerP,NS500350:127:H7FHLBGXX:3:22504:20686:7184,Supercontig_1.6,686924,Supercontig_1.6,726823
A23.LowerP,NS500350:127:H7FHLBGXX:2:23302:15249:18609,Supercontig_1.6,686925,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:2:23302:15249:18609,Supercontig_1.6,686925,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:4:22512:14619:8024,Supercontig_1.6,686929,Supercontig_1.6,726795
A23.LowerP,NS500350:127:H7FHLBGXX:2:11110:19256:6538,Supercontig_1.6,686930,Supercontig_1.6,726814
A23.LowerP,NS500350:127:H7FHLBGXX:1:22105:7802:13318,Supercontig_1.6,686933,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:2:11201:12787:6129,Supercontig_1.6,686933,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:1:13309:21511:13299,Supercontig_1.6,686934,Supercontig_1.6,726936
A23.LowerP,NS500350:127:H7FHLBGXX:2:11201:12787:6129,Supercontig_1.6,686934,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:4:21408:16248:1785,Supercontig_1.6,686935,Supercontig_1.6,726861
A23.LowerP,NS500350:127:H7FHLBGXX:2:22104:10961:11820,Supercontig_1.6,686936,Supercontig_1.6,726821
A23.LowerP,NS500350:127:H7FHLBGXX:3:11609:19663:7194,Supercontig_1.6,686937,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:1:22105:7802:13318,Supercontig_1.6,686939,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:4:12503:18418:6469,Supercontig_1.6,686939,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:4:12503:18418:6469,Supercontig_1.6,686940,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:4:13505:20172:4406,Supercontig_1.6,686945,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:4:13505:20172:4406,Supercontig_1.6,686946,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:1:13102:13735:12263,Supercontig_1.6,686947,Supercontig_1.6,726833
A23.LowerP,NS500350:127:H7FHLBGXX:2:22208:17134:1640,Supercontig_1.6,686949,Supercontig_1.6,726768
A23.LowerP,NS500350:127:H7FHLBGXX:2:23102:5137:12832,Supercontig_1.6,686955,Supercontig_1.6,726796
A23.LowerP,NS500350:127:H7FHLBGXX:3:11510:8674:6851,Supercontig_1.6,686957,Supercontig_1.6,726777
A23.LowerP,NS500350:127:H7FHLBGXX:3:23401:11297:16779,Supercontig_1.6,686957,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:4:13508:6349:14521,Supercontig_1.6,686958,Supercontig_1.6,726777
A23.LowerP,NS500350:127:H7FHLBGXX:2:13108:15468:19949,Supercontig_1.6,686959,Supercontig_1.6,726914
A23.LowerP,NS500350:127:H7FHLBGXX:3:13502:23396:7184,Supercontig_1.6,686959,Supercontig_1.6,726766
A23.LowerP,NS500350:127:H7FHLBGXX:3:23610:25806:4538,Supercontig_1.6,686959,Supercontig_1.6,726772
A23.LowerP,NS500350:127:H7FHLBGXX:1:11103:19477:18685,Supercontig_1.6,686962,Supercontig_1.6,726913
A23.LowerP,NS500350:127:H7FHLBGXX:3:13502:23396:7184,Supercontig_1.6,686962,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:1:13103:10270:8781,Supercontig_1.6,686872,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:3:23604:8637:6458,Supercontig_1.6,686875,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:2:21211:20680:17773,Supercontig_1.6,686878,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:3:23405:17998:7593,Supercontig_1.6,686883,Supercontig_1.6,726806
A8.U2E,NS500350:127:H7FHLBGXX:3:12606:7524:5224,Supercontig_1.6,686888,Supercontig_1.6,726855
A8.U2E,NS500350:127:H7FHLBGXX:4:22505:23350:12897,Supercontig_1.6,686890,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:2:11101:4631:5890,Supercontig_1.6,686903,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:1:11305:23210:11807,Supercontig_1.6,686905,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:1:12111:5211:14246,Supercontig_1.6,686907,Supercontig_1.6,726868
A8.U2E,NS500350:127:H7FHLBGXX:4:13408:9415:11091,Supercontig_1.6,686907,Supercontig_1.6,726824
A8.U2E,NS500350:127:H7FHLBGXX:1:12302:14033:7469,Supercontig_1.6,686909,Supercontig_1.6,726853
